player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,2,1,0,0,21,8,1,0,619,19,14,9,2.9,2.9,2.0,39,2,428,516,82.9,45,310,16,21,9,428,516,82.9,6771,2452,225,253,88.9,170,189,89.9,22,47,46.8,1,2.0,1.5,18,28,13,1,45,516,482,33,9,2,0,12,8,5,1,2,0,428,1,8,19,15,6,11,2,7,14,50.0,7,9,1,8,14,33,11,0,619,61,185,273,166,29,619,21,9,42.9,11,52.4,310,1369,680,16,10,8,9,4,422,45,1,0,0,14,10,1,12,14,15,0,1,0,58,13,15,46.4
Alejandro Garnacho,0,0,0,0,4,1,0,0,33,2,1,0,0.4,0.4,0.0,3,0,19,23,82.6,3,28,0,2,0,19,23,82.6,242,37,14,15,93.3,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,3,23,23,0,0,0,0,0,0,0,0,0,0,19,0,0,2,1,2,0,0,0,2,0.0,2,0,0,0,1,3,1,0,33,0,4,9,20,4,33,2,0,0.0,1,50.0,28,121,28,0,1,1,2,1,26,4,0,0,0,1,2,0,0,1,1,0,0,0,4,1,0,100.0
Anthony Martial,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,2,5,0,0,0,2,3,66.7,26,23,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.1,0,0,2,0,2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,1,1,1,2,0,4,0,0,,0,,5,27,18,0,1,1,0,0,4,3,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1,50.0
Bruno Fernandes,1,0,0,0,3,2,0,0,55,1,1,0,0.7,0.7,0.4,6,0,28,48,58.3,5,23,4,1,0,28,48,58.3,416,142,16,18,88.9,8,16,50.0,3,11,27.3,0,0.4,0.2,6,2,4,1,5,48,41,7,2,0,0,7,0,4,1,2,0,28,0,1,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,55,0,7,19,29,5,55,1,0,0.0,1,100.0,23,107,53,4,0,2,0,0,38,6,0,0,0,0,0,0,7,1,1,0,0,0,7,0,3,0.0
Casemiro,0,0,0,0,3,1,0,0,55,1,0,1,0.1,0.1,0.4,6,1,40,50,80.0,6,26,1,1,1,40,50,80.0,673,377,21,25,84.0,16,19,84.2,3,4,75.0,0,0.4,0.3,2,7,1,0,6,50,50,0,0,1,0,0,0,0,0,0,0,40,0,2,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,55,0,12,32,13,1,55,1,1,100.0,0,0.0,26,90,56,1,1,0,0,0,45,0,0,0,0,1,1,0,0,0,1,0,1,0,7,0,3,0.0
Christian Eriksen,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,1,0,14,16,87.5,4,6,1,0,0,14,16,87.5,238,109,6,7,85.7,8,8,100.0,0,0,,0,0.0,0.0,1,1,1,0,4,16,16,0,0,0,0,1,0,0,0,0,0,14,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,16,0,5,8,3,0,16,0,0,,0,,6,37,27,1,1,0,0,0,13,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0.0
David de Gea,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,23,30,76.7,0,13,0,0,0,23,30,76.7,518,346,8,8,100.0,12,12,100.0,3,10,30.0,0,0.0,0.0,0,0,0,0,0,30,21,9,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,29,33,0,0,0,33,0,0,,0,,13,56,29,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Diogo Dalot,0,0,0,0,1,1,0,0,52,1,2,1,0.0,0.0,0.0,2,0,36,44,81.8,0,25,1,0,0,36,44,81.8,591,142,20,24,83.3,13,15,86.7,2,3,66.7,0,0.0,0.0,0,2,0,0,0,44,40,4,1,0,0,3,3,0,0,0,0,36,0,1,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,3,0,52,4,13,24,15,2,52,0,0,,0,,25,74,24,1,1,0,1,0,33,6,0,0,0,0,0,0,3,2,1,0,0,0,3,2,1,66.7
Facundo Pellistri,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,3,1,2,2,3,3,100.0,30,11,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,5,0,3,2,0,0,5,2,2,100.0,0,0.0,3,66,35,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
Fred,0,1,0,0,0,0,0,0,61,4,1,0,0.0,0.0,0.8,8,1,42,51,82.4,6,29,1,5,1,42,51,82.4,575,208,28,33,84.8,9,10,90.0,4,6,66.7,1,0.8,0.5,5,10,1,0,6,51,50,1,1,1,0,0,0,0,0,0,0,42,0,1,4,3,1,3,0,2,2,100.0,0,0,0,0,1,5,0,0,61,0,4,38,20,5,61,5,1,20.0,4,80.0,29,125,46,1,1,1,0,1,45,7,0,0,0,4,0,0,0,1,3,0,0,0,4,1,0,100.0
