player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,1,0,0,16,4,2,0,544,18,9,8,1.5,1.5,1.2,30,2,337,442,76.2,38,312,21,13,5,337,442,76.2,5721,2017,152,175,86.9,146,178,82.0,28,56,50.0,1,1.2,1.1,14,21,9,3,38,442,395,47,15,1,5,22,21,8,2,3,0,337,0,15,18,14,5,13,0,7,19,36.8,12,8,0,8,9,27,9,0,544,32,175,233,143,32,544,13,5,38.5,7,53.8,312,1684,948,21,11,6,16,11,332,36,2,0,0,9,11,0,22,9,14,0,0,0,55,10,6,62.5
Bruno Guimarães,0,1,0,0,3,0,0,0,57,2,1,0,0.3,0.3,0.1,4,1,36,46,78.3,9,38,2,2,1,36,46,78.3,563,247,20,22,90.9,13,16,81.3,2,3,66.7,1,0.1,0.1,2,2,3,1,9,46,46,0,0,1,0,1,0,0,0,0,0,36,0,2,2,1,0,2,0,1,2,50.0,1,0,0,0,1,3,0,0,57,1,12,33,12,2,57,2,1,50.0,1,50.0,38,217,119,2,1,1,0,0,44,0,0,0,0,3,3,0,1,1,1,0,0,0,8,0,0,
Callum Wilson,0,0,0,0,2,1,0,0,21,0,0,0,0.2,0.2,0.1,3,0,10,14,71.4,3,14,2,0,0,10,14,71.4,178,57,4,6,66.7,5,6,83.3,1,1,100.0,0,0.1,0.0,1,1,1,0,3,14,14,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,0,1,10,10,7,21,0,0,,0,,14,75,38,2,0,2,2,3,15,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,
Chris Wood,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,1,3,33.3,8,0,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0,0,,0,,2,3,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
Dan Burn,0,0,0,0,1,0,0,0,54,1,2,0,0.1,0.1,0.0,0,0,32,44,72.7,3,28,1,0,0,32,44,72.7,476,151,17,21,81.0,12,15,80.0,2,6,33.3,0,0.0,0.0,0,2,0,0,3,44,36,8,0,0,0,0,8,0,0,0,0,32,0,1,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,2,0,54,3,27,23,4,2,54,0,0,,0,,28,130,63,1,0,0,1,1,25,0,0,0,0,0,0,0,0,2,1,0,0,0,6,3,0,100.0
Elliot Anderson,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.1,3,0,4,5,80.0,1,5,2,1,0,4,5,80.0,67,23,2,2,100.0,2,2,100.0,0,0,,0,0.1,0.1,1,0,0,0,1,5,5,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,1,2,6,3,9,1,0,0.0,0,0.0,5,40,19,2,0,2,1,2,4,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,
Fabian Schär,0,0,0,0,2,2,1,0,67,1,1,0,0.2,0.2,0.0,2,0,45,60,75.0,1,42,1,0,0,45,60,75.0,862,280,17,19,89.5,26,30,86.7,2,10,20.0,0,0.0,0.0,0,3,0,0,1,60,57,3,3,0,2,0,0,0,0,0,0,45,0,1,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0,67,2,38,26,5,2,67,0,0,,0,,42,240,160,1,1,0,1,1,43,0,1,0,0,0,2,0,0,1,1,0,0,0,8,5,0,100.0
Jacob Murphy,0,0,0,0,1,0,0,0,21,0,0,2,0.0,0.0,0.1,2,0,9,14,64.3,0,17,2,1,1,9,14,64.3,108,38,4,5,80.0,2,4,50.0,1,2,50.0,0,0.1,0.1,1,0,1,1,0,14,14,0,0,0,0,2,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,21,0,2,8,12,1,21,1,1,100.0,0,0.0,17,98,51,2,3,0,3,2,19,4,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,
Joe Willock,0,0,0,0,3,0,0,0,23,2,2,0,0.3,0.3,0.0,1,0,14,16,87.5,3,11,3,3,2,14,16,87.5,246,52,7,9,77.8,6,6,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,3,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0,2,1,0,2,0,0,2,0.0,2,0,0,0,2,4,0,0,23,1,4,12,9,4,23,3,2,66.7,1,33.3,11,144,114,3,1,0,0,0,11,0,0,0,0,0,0,0,0,2,1,0,0,0,4,1,0,100.0
Joelinton,0,0,0,0,0,0,1,0,36,2,1,1,0.0,0.0,0.0,1,1,19,29,65.5,1,16,0,1,0,19,29,65.5,258,42,13,15,86.7,6,8,75.0,0,0,,0,0.0,0.0,0,0,1,0,1,29,29,0,0,0,0,0,0,0,0,0,0,19,0,4,2,2,2,0,0,1,2,50.0,1,1,0,1,1,3,0,0,36,0,8,24,4,2,36,1,0,0.0,1,100.0,16,51,6,0,0,0,2,0,19,4,1,0,0,2,0,0,0,1,2,0,0,0,5,0,0,
