player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,16,5,3,0,595,16,10,7,2.2,2.2,2.0,29,0,365,485,75.3,39,327,20,35,9,365,485,75.3,6922,2457,151,174,86.8,151,180,83.9,55,98,56.1,0,2.0,1.2,12,31,10,0,39,485,416,66,18,4,5,23,34,9,3,3,1,365,3,14,16,8,6,7,3,10,14,71.4,4,7,4,3,10,26,10,0,595,41,144,275,182,27,595,35,9,25.7,21,60.0,327,1750,850,20,14,5,16,11,360,39,3,0,0,13,19,3,23,10,8,0,0,0,60,15,12,55.6
Allan Saint-Maximin,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,1,0,12,13,92.3,0,15,5,7,3,12,13,92.3,140,21,10,10,100.0,2,2,100.0,0,0,,0,0.1,0.0,1,0,0,0,0,13,13,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,1,9,9,1,17,7,3,42.9,3,42.9,15,156,92,5,1,1,0,1,16,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Bruno Guimarães,0,0,0,0,0,0,1,0,66,5,1,0,0.0,0.0,0.0,2,0,42,52,80.8,5,40,0,6,2,42,52,80.8,755,225,22,27,81.5,11,12,91.7,8,9,88.9,0,0.0,0.1,0,4,1,0,5,52,47,3,1,0,2,0,1,1,0,0,0,42,2,0,5,3,2,3,0,2,3,66.7,1,0,0,0,1,6,0,0,66,1,11,40,17,1,66,6,2,33.3,2,33.3,40,216,61,0,2,0,3,4,44,0,1,0,0,0,5,0,0,1,3,0,0,0,5,3,1,75.0
Callum Wilson,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,1,0,0,4,4,100.0,54,9,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,1,4,1,5,0,0,,0,,3,18,6,1,0,1,1,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Chris Wood,0,0,0,0,2,1,0,0,14,0,0,0,0.4,0.4,0.0,1,0,7,10,70.0,1,5,0,0,0,7,10,70.0,97,16,3,5,60.0,2,2,100.0,1,2,50.0,0,0.0,0.0,1,0,1,0,1,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,14,1,1,4,9,2,14,0,0,,0,,5,16,7,0,0,0,1,1,12,4,0,0,0,0,1,2,0,0,0,0,0,0,1,1,3,25.0
Dan Burn,0,0,0,0,1,0,0,0,72,1,0,1,0.4,0.4,0.1,2,0,48,66,72.7,5,37,1,0,0,48,66,72.7,715,271,30,32,93.8,13,23,56.5,4,9,44.4,0,0.1,0.0,1,4,2,0,5,66,57,9,0,0,0,1,9,0,0,0,0,48,0,1,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,2,0,72,4,18,38,16,1,72,0,0,,0,,37,147,109,1,2,0,0,0,45,2,0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0.0
Fabian Schär,0,0,0,0,3,1,0,0,71,0,3,0,0.3,0.3,0.0,3,0,43,63,68.3,6,46,1,1,0,43,63,68.3,1010,341,7,10,70.0,25,32,78.1,9,17,52.9,0,0.0,0.2,0,6,1,0,6,63,60,2,0,1,2,1,2,0,0,0,0,43,1,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,1,0,71,3,29,34,8,5,71,1,0,0.0,0,0.0,46,216,117,1,2,1,1,0,44,1,0,0,0,0,1,0,1,3,0,0,0,0,10,1,0,100.0
Jacob Murphy,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe Willock,0,0,0,0,1,1,0,0,27,2,0,0,0.0,0.0,0.0,2,0,15,18,83.3,2,18,2,4,1,15,18,83.3,256,115,9,9,100.0,4,4,100.0,2,3,66.7,0,0.0,0.0,0,4,0,0,2,18,17,1,0,0,0,0,1,0,0,0,0,15,0,1,2,0,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,27,0,3,10,14,1,27,4,1,25.0,3,75.0,18,124,89,2,2,1,2,0,19,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,
Joelinton,0,0,0,0,4,1,0,0,55,3,1,1,0.2,0.2,0.8,4,0,27,33,81.8,2,29,4,8,1,27,33,81.8,363,99,16,18,88.9,9,9,100.0,1,1,100.0,0,0.8,0.4,2,2,2,0,2,33,31,2,0,0,0,0,2,0,0,0,0,27,0,4,3,2,0,3,0,0,0,,0,1,1,0,1,4,1,0,55,3,6,26,24,5,55,8,1,12.5,6,75.0,29,214,114,4,2,0,5,2,35,6,0,0,0,3,1,0,0,1,2,0,0,0,7,2,2,50.0
