,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Luis Sinisterra,Leeds United,0.08,0.05,Saved,11.0,Right Foot,Volley,Luis Sinisterra,Take-On,Tyler Adams,Pass (Live)
1,7,Luke Ayling,Leeds United,0.05,,Blocked,22.0,Right Foot,Deflected,Wilfried Gnonto,Pass (Live),Wilfried Gnonto,Take-On
2,14,Brennan Johnson,Nott'ham Forest,0.06,0.18,Goal,19.0,Right Foot,Volley,Brennan Johnson,Fouled,Scott McKenna,Pass (Live)
3,21,Morgan Gibbs-White,Nott'ham Forest,0.07,,Blocked,20.0,Right Foot,,Brennan Johnson,Pass (Live),Danilo,Pass (Live)
4,31,Luis Sinisterra,Leeds United,0.16,,Off Target,8.0,Left Foot,,Wilfried Gnonto,Pass (Live),Luke Ayling,Pass (Live)
5,36,Patrick Bamford,Leeds United,0.1,,Off Target,15.0,Left Foot,,Wilfried Gnonto,Pass (Live),Patrick Bamford,Pass (Live)
6,36,Luke Ayling,Leeds United,0.16,0.08,Saved,16.0,Left Foot,,Patrick Bamford,Shot,,
7,43,Wilfried Gnonto,Leeds United,0.1,0.13,Saved,15.0,Right Foot,,Tyler Adams,Pass (Live),Maximilian Wöber,Pass (Dead)
8,43,Jack Harrison,Leeds United,0.03,,Blocked,24.0,Left Foot,Volley,Wilfried Gnonto,Shot,,
9,,,,,,,,,,,,,
10,48,Morgan Gibbs-White,Nott'ham Forest,0.06,0.1,Saved,14.0,Head,,Brennan Johnson,Pass (Live),Willy Boly,Pass (Live)
11,50,Luis Sinisterra,Leeds United,0.11,0.48,Saved,9.0,Head,,Marc Roca,Pass (Dead),Wilfried Gnonto,Fouled
12,51,Renan Lodi,Nott'ham Forest,0.04,,Blocked,26.0,Left Foot,,Remo Freuler,Pass (Live),,
13,54,Neco Williams,Nott'ham Forest,0.06,,Off Target,16.0,Left Foot,,Morgan Gibbs-White,Pass (Live),Serge Aurier,Pass (Dead)
14,64,Patrick Bamford,Leeds United,0.09,,Blocked,21.0,Left Foot,,Crysencio Summerville,Pass (Live),Wilfried Gnonto,Pass (Live)
15,78,Sam Surridge,Nott'ham Forest,0.1,,Off Target,18.0,Right Foot,,Serge Aurier,Pass (Live),Morgan Gibbs-White,Pass (Live)
16,90+3,Crysencio Summerville,Leeds United,0.01,,Off Target,30.0,Right Foot,,Wilfried Gnonto,Pass (Live),Wilfried Gnonto,Fouled
