player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,0,0,0,0,7,0,1,0,713,16,3,20,0.5,0.5,0.2,14,0,492,621,79.2,51,472,25,21,12,492,621,79.2,8014,2642,253,284,89.1,186,211,88.2,40,88,45.5,0,0.2,0.5,4,39,10,4,51,621,576,44,10,1,2,31,22,3,2,1,0,492,1,16,16,6,8,6,2,7,17,41.2,10,20,4,16,3,19,13,0,713,70,198,353,169,21,713,21,12,57.1,6,28.6,472,2212,1219,25,15,3,12,14,488,51,1,0,0,14,8,1,31,3,6,0,0,0,61,17,23,42.5
Armel Bella Kotchap,0,0,0,0,0,0,0,0,88,2,0,2,0.0,0.0,0.0,0,0,71,82,86.6,9,66,1,0,0,71,82,86.6,1132,408,44,46,95.7,22,24,91.7,5,10,50.0,0,0.0,0.0,0,4,1,0,9,82,77,5,4,0,1,0,0,0,0,0,0,71,0,2,2,1,2,0,0,1,1,100.0,0,2,2,0,0,2,2,0,88,9,37,49,3,0,88,0,0,,0,,66,386,270,1,3,0,0,0,65,0,0,0,0,1,3,0,0,0,1,0,0,0,5,3,3,50.0
Carlos Alcaraz,0,0,0,0,1,0,0,0,41,1,0,3,0.0,0.0,0.0,1,0,25,28,89.3,4,25,0,1,0,25,28,89.3,406,71,10,11,90.9,12,13,92.3,1,2,50.0,0,0.0,0.0,0,1,2,0,4,28,28,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,0,1,1,100.0,0,3,1,2,0,1,3,0,41,4,5,26,10,0,41,1,0,0.0,1,100.0,25,88,29,0,2,0,2,3,30,5,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7
Che Adams,0,0,0,0,2,0,0,0,29,0,0,4,0.3,0.3,0.1,3,0,14,21,66.7,2,18,1,2,1,14,21,66.7,209,24,6,11,54.5,6,7,85.7,1,1,100.0,0,0.1,0.0,1,0,0,0,2,21,20,1,0,1,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,1,0.0,1,4,1,3,0,0,0,0,29,2,5,13,11,4,29,2,1,50.0,0,0.0,18,83,22,1,0,0,0,1,22,5,0,0,0,2,1,1,0,0,0,0,0,0,2,1,3,25.0
Gavin Bazunu,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,29,43,67.4,0,28,0,0,0,29,43,67.4,662,468,12,12,100.0,9,9,100.0,8,21,38.1,0,0.0,0.0,0,1,0,0,0,43,36,7,2,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,45,35,45,0,0,0,45,0,0,,0,,28,74,25,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Ibrahima Diallo,0,0,0,0,0,0,0,0,63,0,0,2,0.0,0.0,0.0,3,0,51,58,87.9,5,52,4,2,2,51,58,87.9,780,171,29,31,93.5,20,23,87.0,2,4,50.0,0,0.0,0.0,1,4,0,0,5,58,58,0,0,0,0,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,63,1,6,49,8,0,63,2,2,100.0,0,0.0,52,266,143,4,0,0,0,1,53,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,
James Bree,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,1,0,19,30,63.3,2,16,2,0,0,19,30,63.3,362,151,9,13,69.2,5,8,62.5,4,8,50.0,0,0.0,0.1,0,2,1,1,2,30,26,4,0,0,1,4,4,0,0,0,0,19,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,33,1,9,9,15,1,33,0,0,,0,,16,49,27,2,1,0,1,0,15,4,0,0,0,0,0,0,4,0,1,0,0,0,6,2,0,100.0
James Ward-Prowse,0,0,0,0,2,0,0,0,89,2,0,0,0.1,0.1,0.0,3,0,73,85,85.9,11,60,1,0,0,73,85,85.9,1105,323,38,40,95.0,34,36,94.4,1,8,12.5,0,0.0,0.0,0,14,0,0,11,85,77,8,2,0,0,7,1,3,2,1,0,73,0,1,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,2,0,89,2,9,63,18,1,89,0,0,,0,,60,235,113,1,0,0,1,4,67,1,0,0,0,1,0,0,7,0,1,0,0,0,4,1,4,20.0
Jan Bednarek,0,0,0,0,0,0,1,0,74,1,0,2,0.0,0.0,0.0,0,0,61,70,87.1,3,47,1,0,0,61,70,87.1,1110,392,24,27,88.9,30,31,96.8,7,9,77.8,0,0.0,0.0,0,1,0,0,3,70,68,2,1,0,0,0,1,0,0,0,0,61,0,2,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0,74,8,35,38,2,1,74,0,0,,0,,47,183,132,1,0,0,0,0,46,0,1,0,0,2,0,0,0,0,1,0,0,0,8,4,2,66.7
Kamaldeen Sulemana,0,0,0,0,1,0,0,0,49,1,1,2,0.1,0.1,0.0,2,0,30,39,76.9,6,35,4,6,4,30,39,76.9,465,89,17,19,89.5,7,9,77.8,3,6,50.0,0,0.0,0.1,1,3,2,1,6,39,37,1,0,0,0,4,1,0,0,0,0,30,1,1,1,1,0,0,1,0,1,0.0,1,2,0,2,1,2,0,0,49,0,1,21,27,6,49,6,4,66.7,2,33.3,35,233,117,4,1,2,1,3,36,10,0,0,0,2,2,0,4,1,1,0,0,0,4,0,2,0.0
