player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,0,0,0,0,5,1,2,0,475,16,9,17,0.4,0.4,0.3,6,0,294,384,76.6,23,224,17,13,6,294,384,76.6,4865,1770,152,181,84.0,122,140,87.1,17,42,40.5,0,0.3,0.4,3,22,6,3,23,384,341,39,12,1,1,9,19,1,1,0,0,294,4,9,16,9,12,2,2,6,16,37.5,10,17,5,12,9,25,26,0,475,71,157,224,100,11,475,13,6,46.2,5,38.5,224,1421,688,17,8,2,7,5,291,23,2,0,0,17,9,4,9,9,9,0,0,0,50,14,8,63.6
Adam Armstrong,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,2,4,50.0,12,4,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0,0,,0,,1,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,39,1,2,3,0.0,0.0,0.0,0,0,23,27,85.2,2,10,2,1,1,23,27,85.2,311,121,18,18,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,2,27,21,6,0,0,0,1,6,0,0,0,0,23,0,2,1,0,0,0,1,0,2,0.0,2,3,0,3,2,3,4,0,39,6,12,18,10,0,39,1,1,100.0,0,0.0,10,50,18,2,1,0,1,0,18,3,0,0,0,1,1,0,1,2,0,0,0,0,3,0,0,
Alex McCarthy,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,15,26,57.7,0,15,0,0,0,15,26,57.7,408,351,5,6,83.3,6,7,85.7,4,12,33.3,0,0.0,0.0,0,1,0,0,0,26,19,6,2,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,21,27,0,0,0,27,0,0,,0,,15,79,41,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Alcaraz,0,0,0,0,1,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,14,0,0,0,12,17,70.6,189,24,6,7,85.7,4,6,66.7,1,1,100.0,0,0.0,0.0,0,1,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,12,0,1,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,21,0,4,12,6,0,21,0,0,,0,,14,78,24,0,0,0,0,2,16,1,0,0,0,1,1,1,0,0,1,0,0,0,3,0,2,0.0
James Ward-Prowse,0,0,0,0,0,0,0,0,65,3,2,1,0.0,0.0,0.0,2,0,47,55,85.5,5,27,1,0,0,47,55,85.5,777,201,22,23,95.7,24,25,96.0,1,5,20.0,0,0.0,0.1,0,2,2,1,5,55,45,9,5,0,0,3,0,1,1,0,0,47,1,0,3,3,3,0,0,0,1,0.0,1,1,1,0,2,5,3,0,65,5,12,35,18,0,65,0,0,,0,,27,110,60,1,1,0,2,0,40,2,0,0,0,1,3,0,3,2,3,0,0,0,6,0,0,
Jan Bednarek,0,0,0,0,0,0,0,0,52,0,2,3,0.0,0.0,0.0,0,0,34,41,82.9,0,23,1,0,0,34,41,82.9,728,292,8,9,88.9,21,23,91.3,5,8,62.5,0,0.0,0.0,0,0,0,0,0,41,39,2,0,0,1,0,2,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0.0,1,3,1,2,2,2,7,0,52,14,30,20,3,0,52,0,0,,0,,23,138,74,1,0,0,0,0,28,0,0,0,0,1,0,0,0,2,0,0,0,0,9,1,1,50.0
Kamaldeen Sulemana,0,0,0,0,1,0,0,0,18,1,1,0,0.1,0.1,0.0,0,0,11,15,73.3,2,12,1,0,0,11,15,73.3,156,24,8,9,88.9,2,4,50.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,15,15,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,18,0,0,10,8,0,18,0,0,,0,,12,115,38,1,0,0,0,1,13,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,
Kyle Walker-Peters,0,0,0,0,0,0,0,0,53,2,0,2,0.0,0.0,0.2,2,0,37,46,80.4,3,24,5,4,2,37,46,80.4,516,191,23,28,82.1,13,15,86.7,1,2,50.0,0,0.2,0.1,1,5,1,1,3,46,38,8,0,0,0,1,8,0,0,0,0,37,0,1,2,1,1,1,0,0,0,,0,2,0,2,0,2,2,0,53,4,18,26,10,0,53,4,2,50.0,0,0.0,24,219,158,5,4,0,0,0,30,3,0,0,0,1,0,0,1,0,1,0,0,0,5,0,0,
Lyanco,0,0,0,0,0,0,0,0,49,2,0,4,0.0,0.0,0.0,0,0,32,39,82.1,3,20,0,0,0,32,39,82.1,631,222,8,12,66.7,22,22,100.0,2,4,50.0,0,0.0,0.0,0,1,0,0,3,39,35,4,3,0,0,0,1,0,0,0,0,32,0,1,2,2,2,0,0,1,1,100.0,0,4,3,1,0,2,6,0,49,14,23,24,2,0,49,0,0,,0,,20,106,63,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,0,100.0
Mohamed Elyounoussi,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,1,0,1,2,50.0,11,9,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,2,0,2,0,4,1,0,0.0,1,100.0,1,37,3,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Moussa Djenepo,0,0,0,0,0,0,1,0,15,0,0,1,0.0,0.0,0.0,1,0,10,12,83.3,1,8,1,1,0,10,12,83.3,135,36,5,6,83.3,4,4,100.0,0,0,,0,0.0,0.0,1,0,0,0,1,12,11,1,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,15,1,2,9,4,1,15,1,0,0.0,1,100.0,8,43,16,1,1,1,0,0,9,3,1,0,0,3,1,1,0,0,0,0,0,0,3,0,0,
Paul Onuachu,0,0,0,0,2,1,0,0,25,1,0,2,0.2,0.2,0.0,0,0,5,14,35.7,2,8,0,2,1,5,14,35.7,55,21,3,7,42.9,1,5,20.0,0,1,0.0,0,0.0,0.0,0,0,1,0,2,14,14,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,,0,2,0,2,0,1,0,0,25,0,3,10,12,5,25,2,1,50.0,1,50.0,8,26,3,0,0,0,3,1,15,0,0,0,0,1,0,1,0,0,0,0,0,0,5,7,2,77.8
Roméo Lavia,0,0,0,0,1,0,1,0,48,2,1,1,0.0,0.0,0.0,0,0,34,39,87.2,3,28,2,1,1,34,39,87.2,557,153,18,19,94.7,15,16,93.8,1,2,50.0,0,0.0,0.0,0,7,0,0,3,39,37,1,1,0,0,0,0,0,0,0,0,34,1,0,2,0,2,0,0,2,4,50.0,2,1,0,1,1,3,1,0,48,3,13,32,4,0,48,1,1,100.0,0,0.0,28,169,65,2,0,0,0,1,33,0,1,0,0,4,0,0,0,1,0,0,0,0,3,1,1,50.0
Sekou Mara,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,6,33.3,0,4,0,0,0,2,6,33.3,18,0,2,4,50.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,2,4,2,6,0,0,,0,,4,26,7,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,100.0
Stuart Armstrong,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,1,0,20,24,83.3,1,18,3,1,0,20,24,83.3,250,91,15,16,93.8,5,6,83.3,0,1,0.0,0,0.0,0.1,1,3,1,1,1,24,22,2,1,1,0,3,1,0,0,0,0,20,0,1,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,2,0,28,1,5,14,10,1,28,1,0,0.0,1,100.0,18,158,76,3,1,1,0,0,20,4,0,0,0,2,1,0,3,1,1,0,0,0,4,0,0,
Theo Walcott,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.0,0,0,9,17,52.9,1,11,1,2,1,9,17,52.9,111,30,8,12,66.7,1,2,50.0,0,3,0.0,0,0.0,0.0,0,1,0,0,1,17,17,0,0,0,0,1,0,0,0,0,0,9,0,0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,1,0,21,2,6,9,6,2,21,2,1,50.0,1,50.0,11,66,41,1,0,0,0,0,14,3,0,0,0,0,0,1,1,0,1,0,0,0,4,0,1,0.0
