player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,1,1,0,0,16,5,1,0,637,21,13,9,1.7,1.7,1.7,29,2,386,519,74.4,54,344,30,21,13,386,519,74.4,6786,2517,187,216,86.6,150,189,79.4,42,80,52.5,1,1.7,1.1,13,39,3,1,54,519,469,46,10,1,6,26,19,8,4,4,0,386,4,14,21,15,9,10,2,10,12,83.3,2,9,1,8,13,34,17,0,637,46,160,287,198,28,637,21,13,61.9,8,38.1,344,2104,1088,30,16,9,9,7,381,53,1,0,0,7,9,4,26,13,15,0,0,0,63,8,9,47.1
Adam Armstrong,0,0,0,0,1,1,0,0,14,0,1,0,0.0,0.0,0.1,2,0,9,11,81.8,0,9,1,1,1,9,11,81.8,126,2,6,6,100.0,3,5,60.0,0,0,,0,0.1,0.0,2,0,0,0,0,11,9,2,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,0,0,3,11,1,14,1,1,100.0,0,0.0,9,74,36,1,1,0,0,0,9,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,69,3,1,2,0.0,0.0,0.1,6,0,45,56,80.4,6,26,2,1,1,45,56,80.4,704,235,21,24,87.5,19,23,82.6,4,7,57.1,0,0.1,0.1,3,6,1,1,6,56,50,6,1,0,0,2,5,0,0,0,0,45,0,0,3,2,0,3,0,1,2,50.0,1,2,0,2,1,4,1,0,69,0,18,35,16,2,69,1,1,100.0,0,0.0,26,132,77,2,2,1,0,1,41,4,0,0,0,0,0,0,2,1,2,0,0,0,2,0,1,0.0
Armel Bella Kotchap,0,0,0,0,0,0,0,0,52,1,3,1,0.0,0.0,0.0,1,0,31,37,83.8,5,22,0,1,0,31,37,83.8,666,176,10,10,100.0,15,16,93.8,6,10,60.0,0,0.0,0.0,1,1,0,0,5,37,37,0,0,0,2,0,0,0,0,0,0,31,0,0,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,7,0,52,10,23,27,3,2,52,1,0,0.0,1,100.0,22,96,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,1,0,0,0,11,1,0,100.0
Che Adams,0,0,0,0,2,0,0,0,24,0,0,0,0.2,0.2,0.1,2,0,11,18,61.1,2,13,0,1,1,11,18,61.1,176,22,7,10,70.0,3,5,60.0,1,1,100.0,0,0.1,0.0,1,1,0,0,2,18,18,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,24,1,2,8,14,5,24,1,1,100.0,0,0.0,13,54,7,0,0,1,1,0,20,6,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,66.7
Duje Ćaleta-Car,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,1,0,7,8,87.5,0,4,0,0,0,7,8,87.5,130,58,2,2,100.0,5,6,83.3,0,0,,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,9,0,4,4,1,0,9,0,0,,0,,4,14,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Gavin Bazunu,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,19,34,55.9,0,22,0,0,0,19,34,55.9,731,645,2,2,100.0,6,6,100.0,11,25,44.0,0,0.0,0.0,0,1,0,0,0,34,28,5,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,35,21,34,1,0,0,35,0,0,,0,,22,137,68,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
James Ward-Prowse,0,0,0,0,1,1,0,0,91,2,1,0,0.0,0.0,0.2,4,0,67,86,77.9,12,48,1,0,0,67,86,77.9,1151,356,28,31,90.3,29,33,87.9,7,16,43.8,0,0.2,0.2,3,8,0,0,12,86,70,16,7,0,1,11,0,8,4,4,0,67,0,3,2,1,1,1,0,0,0,,0,0,0,0,1,3,1,0,91,2,10,49,32,0,91,0,0,,0,,48,161,90,1,2,0,1,2,60,2,0,0,0,0,1,0,11,1,1,0,0,0,5,1,2,33.3
Joe Aribo,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,0,8,0,2,1,6,8,75.0,69,3,5,5,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,6,5,0,10,2,1,50.0,1,50.0,8,34,19,0,1,0,0,0,10,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0.0
Juan Larios,0,0,0,0,0,0,0,0,19,4,0,0,0.0,0.0,0.0,0,0,11,13,84.6,2,6,2,1,1,11,13,84.6,150,60,6,7,85.7,5,6,83.3,0,0,,0,0.0,0.0,0,0,0,0,2,13,11,2,0,0,0,0,2,0,0,0,0,11,0,0,4,4,4,0,0,3,3,100.0,0,0,0,0,0,4,1,0,19,1,8,7,5,1,19,1,1,100.0,0,0.0,6,46,33,2,1,0,2,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,
Mohamed Elyounoussi,0,0,0,0,4,0,0,0,63,3,2,1,0.8,0.8,0.1,1,0,30,47,63.8,10,38,11,1,1,30,47,63.8,447,130,20,28,71.4,9,12,75.0,1,3,33.3,0,0.1,0.1,1,2,0,0,10,47,45,2,0,0,0,4,1,0,0,0,0,30,0,1,3,1,0,2,1,0,0,,0,1,0,1,2,5,0,0,63,1,5,31,29,6,63,1,1,100.0,0,0.0,38,397,222,11,3,3,2,0,38,11,0,0,0,2,1,1,4,2,1,0,0,0,10,2,1,66.7
Mohammed Salisu,0,1,0,0,3,1,0,0,69,3,1,2,0.2,0.2,0.3,2,1,38,52,73.1,3,31,0,0,0,38,52,73.1,688,416,16,19,84.2,19,24,79.2,3,6,50.0,1,0.3,0.1,1,7,0,0,3,52,46,5,1,1,1,0,4,0,0,0,0,38,1,2,3,1,1,2,0,2,2,100.0,0,2,0,2,1,4,4,0,69,8,28,32,9,3,69,0,0,,0,,31,119,65,0,1,0,0,0,29,0,0,0,0,1,0,0,0,1,1,0,0,0,9,2,2,50.0
Romain Perraud,1,0,0,0,5,2,0,0,70,2,1,0,0.5,0.5,0.0,4,1,40,58,69.0,4,40,3,4,2,40,58,69.0,546,123,27,30,90.0,10,16,62.5,2,4,50.0,0,0.0,0.0,0,4,0,0,4,58,50,6,0,0,0,5,6,0,0,0,0,40,2,4,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0,70,1,16,21,33,2,70,4,2,50.0,2,50.0,40,208,133,3,0,1,1,0,42,16,0,0,0,1,0,0,5,1,2,0,0,0,3,0,1,0.0
Roméo Lavia,0,0,0,0,0,0,1,0,43,1,1,1,0.0,0.0,0.0,0,0,33,37,89.2,5,28,1,1,1,33,37,89.2,537,82,17,18,94.4,12,13,92.3,3,3,100.0,0,0.0,0.0,0,4,1,0,5,37,37,0,0,0,0,0,0,0,0,0,0,33,0,1,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,0,0,43,0,3,30,11,0,43,1,1,100.0,0,0.0,28,149,61,1,0,0,0,1,31,1,1,0,0,1,1,0,0,1,1,0,0,0,7,0,0,
