player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,3,2,0,0,9,6,2,0,542,17,18,19,1.3,1.3,1.0,16,6,304,400,76.0,19,294,17,24,13,304,400,76.0,4966,1881,163,197,82.7,106,119,89.1,24,59,40.7,2,1.0,0.4,7,27,6,0,19,400,360,39,9,2,0,5,11,1,1,0,0,304,1,7,17,12,10,5,2,10,20,50.0,10,19,8,11,18,35,37,0,542,86,174,265,107,17,542,24,13,54.2,8,33.3,294,1587,713,17,9,10,12,9,302,18,2,0,0,9,7,1,5,18,12,0,0,0,50,10,21,32.3
Adam Smith,0,0,0,0,0,0,0,0,17,0,1,1,0.0,0.0,0.0,0,0,7,10,70.0,1,6,0,1,0,7,10,70.0,123,75,3,4,75.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0,1,1,0,1,10,10,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,17,3,6,10,1,0,17,1,0,0.0,0,0.0,6,11,3,0,0,0,0,0,7,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0.0
Chris Mepham,0,0,0,0,0,0,0,0,51,1,5,4,0.0,0.0,0.0,0,0,25,34,73.5,1,18,0,0,0,25,34,73.5,399,127,13,18,72.2,10,11,90.9,1,3,33.3,0,0.0,0.0,0,0,0,0,1,34,33,1,1,0,0,0,0,0,0,0,0,25,0,0,1,1,1,0,0,1,2,50.0,1,4,2,2,5,6,9,0,51,11,28,21,2,0,51,0,0,,0,,18,48,11,0,0,0,0,0,23,0,0,0,0,0,0,0,0,5,1,0,0,0,3,3,3,50.0
Dango Ouattara,1,0,0,0,1,1,0,0,5,0,0,1,0.4,0.4,0.0,3,1,2,2,100.0,0,2,1,2,2,2,2,100.0,22,2,2,2,100.0,0,0,,0,0,,0,0.0,0.0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,5,0,3,0,2,2,5,2,2,100.0,0,0.0,2,22,7,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Dominic Solanke,1,2,0,0,1,1,0,0,35,1,0,0,0.2,0.2,0.7,4,3,17,24,70.8,3,25,1,2,0,17,24,70.8,231,76,11,15,73.3,3,4,75.0,2,2,100.0,2,0.7,0.3,2,3,2,0,3,24,22,2,0,1,0,0,0,0,0,0,0,17,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,35,0,3,14,18,2,35,2,0,0.0,1,50.0,25,168,14,1,0,0,4,3,27,5,0,0,0,0,2,1,0,0,0,0,0,0,2,2,7,22.2
Jack Stephens,0,0,0,0,0,0,1,0,47,0,4,3,0.0,0.0,0.0,1,0,30,35,85.7,2,27,0,0,0,30,35,85.7,582,270,11,12,91.7,16,17,94.1,3,6,50.0,0,0.0,0.0,0,1,0,0,2,35,35,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,3,3,0,4,4,4,0,47,11,25,22,0,0,47,0,0,,0,,27,138,61,0,0,0,1,0,25,0,1,0,0,2,0,0,0,4,0,0,0,0,7,0,2,0.0
Jaidon Anthony,0,0,0,0,1,1,0,0,12,1,0,1,0.1,0.1,0.0,1,0,4,6,66.7,0,6,1,2,1,4,6,66.7,48,2,3,3,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,12,0,1,7,4,1,12,2,1,50.0,1,50.0,6,36,25,1,1,1,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
Jefferson Lerma,0,0,0,0,2,1,0,0,48,0,4,1,0.1,0.1,0.0,0,0,29,38,76.3,2,29,0,0,0,29,38,76.3,475,132,12,20,60.0,13,14,92.9,2,2,100.0,0,0.0,0.0,0,5,0,0,2,38,37,1,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,1,0,1,4,4,3,0,48,2,10,32,7,1,48,0,0,,0,,29,104,18,0,1,0,0,0,28,0,0,0,0,1,0,0,0,4,0,0,0,0,4,1,1,50.0
Joe Rothwell,0,0,0,0,0,0,0,0,56,2,1,0,0.0,0.0,0.0,0,0,44,49,89.8,3,30,1,1,1,44,49,89.8,788,270,21,25,84.0,18,18,100.0,4,5,80.0,0,0.0,0.0,0,8,1,0,3,49,44,5,3,0,0,2,0,1,1,0,0,44,0,0,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,3,0,56,1,10,44,2,0,56,1,1,100.0,0,0.0,30,166,88,1,0,0,0,0,33,2,0,0,0,1,0,0,2,1,1,0,0,0,3,0,0,
Lloyd Kelly,0,0,0,0,0,0,0,0,55,2,0,2,0.0,0.0,0.0,1,0,31,42,73.8,0,30,0,1,0,31,42,73.8,509,148,16,17,94.1,12,15,80.0,3,8,37.5,0,0.0,0.0,1,3,0,0,0,42,39,2,0,0,0,1,2,0,0,0,0,31,1,0,2,2,1,1,0,1,1,100.0,0,2,1,1,0,2,7,0,55,8,17,35,3,0,55,1,0,0.0,1,100.0,30,131,37,0,0,0,1,0,34,0,0,0,0,0,0,0,1,0,2,0,0,0,5,2,0,100.0
