player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,2,1,0,0,23,10,3,0,635,19,8,9,3.1,3.1,2.0,39,3,443,520,85.2,46,454,15,20,7,443,520,85.2,7182,2606,228,245,93.1,156,175,89.1,35,59,59.3,1,2.0,1.4,15,32,18,2,46,520,475,42,5,0,5,21,18,10,3,2,0,443,3,11,19,9,14,4,1,4,12,33.3,8,9,1,8,8,27,18,0,635,67,228,244,166,36,635,20,7,35.0,12,60.0,454,2186,1006,15,17,4,13,6,442,45,3,0,0,9,6,3,21,8,9,0,0,0,46,17,11,60.7
Clément Lenglet,0,0,0,0,1,0,0,0,68,1,0,1,0.1,0.1,0.0,3,0,55,61,90.2,2,58,0,0,0,55,61,90.2,883,345,28,28,100.0,23,25,92.0,4,8,50.0,0,0.0,0.0,0,1,0,0,2,61,61,0,0,0,0,1,0,0,0,0,0,55,0,0,1,0,1,0,0,0,0,,0,1,1,0,0,1,3,0,68,8,41,24,3,1,68,0,0,,0,,58,263,125,0,0,0,1,0,57,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,3,50.0
Cristian Romero,0,0,0,0,2,2,1,0,63,2,3,0,0.4,0.4,0.0,0,0,50,53,94.3,2,52,0,1,1,50,53,94.3,857,367,24,25,96.0,20,20,100.0,5,6,83.3,0,0.0,0.0,0,5,1,0,2,53,52,1,1,0,1,0,0,0,0,0,0,50,0,1,2,1,1,1,0,1,2,50.0,1,0,0,0,3,5,4,0,63,14,34,24,5,2,63,1,1,100.0,0,0.0,52,242,76,0,2,0,0,0,47,1,1,0,0,1,0,0,0,3,1,0,0,0,4,3,0,100.0
Dejan Kulusevski,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,8,0,2,0,3,4,75.0,71,7,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,1,3,1,5,1,9,2,0,0.0,2,100.0,8,31,7,0,0,0,2,1,7,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
Emerson,0,0,0,0,0,0,0,0,61,3,0,1,0.0,0.0,0.0,1,0,36,49,73.5,4,29,1,2,2,36,49,73.5,623,242,23,25,92.0,6,11,54.5,5,7,71.4,0,0.0,0.1,0,3,4,1,4,49,39,10,0,0,0,6,10,0,0,0,0,36,0,2,3,1,3,0,0,0,1,0.0,1,1,0,1,0,3,4,0,61,6,24,17,21,1,61,2,2,100.0,0,0.0,29,93,53,1,0,0,2,0,30,7,0,0,0,0,1,0,6,0,1,0,0,0,4,2,1,66.7
Eric Dier,0,0,0,0,2,0,0,0,57,1,2,0,0.2,0.2,0.0,2,0,50,51,98.0,6,48,0,0,0,50,51,98.0,1007,422,14,14,100.0,30,30,100.0,5,5,100.0,0,0.0,0.0,0,2,1,0,6,51,51,0,0,0,1,0,0,0,0,0,0,50,0,1,1,0,1,0,0,0,0,,0,0,0,0,2,3,1,0,57,3,29,25,3,1,57,0,0,,0,,48,201,88,0,1,0,0,0,46,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,1,75.0
Harry Kane,1,0,0,0,3,2,0,0,33,1,0,1,1.0,1.0,0.4,3,0,19,24,79.2,10,21,1,4,1,19,24,79.2,295,143,13,14,92.9,5,6,83.3,1,1,100.0,0,0.4,0.3,3,4,4,0,10,24,21,2,0,0,1,1,1,0,0,0,0,19,1,2,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,33,0,1,14,18,4,33,4,1,25.0,2,50.0,21,90,23,1,3,0,0,2,26,5,0,0,0,1,0,1,1,0,1,0,0,0,3,0,3,0.0
Hugo Lloris,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,17,24,70.8,0,15,0,0,0,17,24,70.8,313,154,7,7,100.0,8,8,100.0,2,9,22.2,0,0.0,0.0,0,0,0,0,0,24,16,8,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,25,26,0,0,0,26,0,0,,0,,15,89,64,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ivan Perišić,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,2,2,100.0,40,16,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,3,0,2,1,0,0,3,0,0,,0,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Pierre Højbjerg,1,0,0,0,1,1,0,0,67,1,0,1,0.2,0.2,0.0,3,1,56,62,90.3,5,53,0,2,1,56,62,90.3,1073,316,22,24,91.7,23,24,95.8,7,9,77.8,0,0.0,0.2,0,7,2,0,5,62,59,2,2,0,1,0,0,0,0,0,0,56,1,0,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0,67,2,18,36,14,2,67,2,1,50.0,1,50.0,53,213,93,0,2,0,0,1,53,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,100.0
