player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,1,0,0,17,4,4,0,627,17,7,9,1.7,1.7,1.6,29,2,397,511,77.7,44,348,18,20,11,397,511,77.7,7007,2331,201,217,92.6,151,192,78.6,40,73,54.8,1,1.6,1.6,15,29,10,4,44,511,455,53,10,3,4,19,28,6,2,2,0,397,3,16,17,10,8,6,3,7,13,53.8,6,9,4,5,7,24,19,1,627,62,265,237,131,21,627,20,11,55.0,7,35.0,348,1912,1085,18,12,3,14,8,393,43,4,0,0,12,6,3,19,7,10,0,0,0,54,19,16,54.3
Ben Davies,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,1,7,0,0,0,8,9,88.9,126,42,6,6,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,1,2,6,1,0,9,0,0,,0,,7,23,17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clément Lenglet,0,1,0,0,1,0,0,0,64,0,0,3,0.1,0.1,0.4,1,1,48,56,85.7,3,43,1,1,0,48,56,85.7,826,235,26,26,100.0,18,24,75.0,4,6,66.7,1,0.4,0.2,1,2,0,0,3,56,56,0,0,0,0,1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,2,0.0,2,3,2,1,0,0,0,0,64,8,37,23,5,1,64,1,0,0.0,1,100.0,43,125,92,1,0,0,1,0,47,0,0,0,0,1,1,0,1,0,0,0,0,0,6,2,1,66.7
Davinson Sánchez,0,0,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.1,1,0,31,40,77.5,2,23,1,1,1,31,40,77.5,599,170,7,7,100.0,20,22,90.9,2,5,40.0,0,0.1,0.1,1,1,1,1,2,40,37,3,1,0,0,1,2,0,0,0,0,31,0,3,2,0,1,1,0,1,1,100.0,0,0,0,0,0,2,3,0,48,3,28,14,7,2,48,1,1,100.0,0,0.0,23,106,37,1,0,0,0,1,25,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,4,33.3
Emerson,0,0,0,0,0,0,1,0,78,1,0,1,0.0,0.0,0.1,5,0,54,67,80.6,10,37,1,2,2,54,67,80.6,993,292,21,24,87.5,29,36,80.6,3,4,75.0,0,0.1,0.2,2,5,0,0,10,67,54,13,1,0,2,4,12,0,0,0,0,54,0,2,1,0,1,0,0,0,0,,0,1,0,1,0,1,4,0,78,5,26,27,25,4,78,2,2,100.0,0,0.0,37,146,86,1,1,1,2,1,43,8,1,0,0,1,1,0,4,0,0,0,0,0,9,1,2,33.3
Eric Dier,0,0,0,0,1,0,0,0,91,0,2,1,0.1,0.1,0.0,0,0,57,77,74.0,4,55,1,0,0,57,77,74.0,1142,442,26,27,96.3,22,28,78.6,9,19,47.4,0,0.0,0.0,0,5,0,0,4,77,73,4,4,0,2,0,0,0,0,0,0,57,0,2,0,0,0,0,0,0,0,,0,1,1,0,2,2,9,0,91,14,65,24,2,1,91,0,0,,0,,55,258,160,1,0,0,0,0,59,1,0,0,0,0,0,1,0,2,0,0,0,0,4,5,1,83.3
Harry Kane,1,0,0,0,5,2,0,0,38,0,0,0,0.6,0.6,0.4,6,0,15,24,62.5,7,17,2,5,2,15,24,62.5,237,129,8,10,80.0,6,8,75.0,1,3,33.3,0,0.4,0.3,3,4,2,0,7,24,20,3,0,1,0,0,3,0,0,0,0,15,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,38,2,3,25,12,5,38,5,2,40.0,2,40.0,17,115,84,2,2,1,1,1,26,4,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,80.0
Hugo Lloris,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,19,26,73.1,0,20,0,0,0,19,26,73.1,581,406,4,4,100.0,5,5,100.0,10,16,62.5,0,0.0,0.0,0,0,0,0,0,26,18,7,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,29,25,29,0,0,0,29,0,0,,0,,20,140,98,0,0,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0
Ivan Perišić,0,0,0,0,1,1,0,0,20,0,0,1,0.1,0.1,0.0,1,0,7,14,50.0,1,9,2,2,1,7,14,50.0,129,35,3,4,75.0,3,7,42.9,1,1,100.0,0,0.0,0.0,1,1,1,1,1,14,11,2,0,0,0,2,2,0,0,0,0,7,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,20,0,6,5,9,1,20,2,1,50.0,1,50.0,9,109,71,2,2,0,2,1,12,5,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0.0
Lucas Moura,0,0,0,0,0,0,0,0,16,3,0,0,0.0,0.0,0.0,0,0,7,10,70.0,2,9,0,3,1,7,10,70.0,68,20,5,5,100.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,2,0,2,10,9,1,0,0,0,1,0,1,0,0,0,7,0,0,3,2,1,1,1,1,1,100.0,0,0,0,0,0,3,0,0,16,0,2,8,6,1,16,3,1,33.3,2,66.7,9,41,3,0,0,0,1,1,9,3,0,0,0,1,1,0,1,0,2,0,0,0,4,1,0,100.0
Matt Doherty,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,7,1,0,0,9,10,90.0,157,12,4,4,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,10,8,2,0,0,0,0,2,0,0,0,0,9,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,13,0,7,1,5,0,13,0,0,,0,,7,26,16,1,1,0,0,0,8,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0
Oliver Skipp,0,0,0,0,0,0,1,0,17,0,0,0,0.0,0.0,0.2,3,0,12,17,70.6,2,8,0,0,0,12,17,70.6,178,45,8,8,100.0,3,4,75.0,1,2,50.0,0,0.2,0.1,3,2,1,1,2,17,17,0,0,0,0,2,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,2,5,11,0,17,0,0,,0,,8,41,40,0,2,0,0,0,13,3,1,0,0,1,0,0,2,0,0,0,0,0,2,1,1,50.0
Rodrigo Bentancur,0,0,0,0,1,0,1,0,72,6,4,1,0.1,0.1,0.2,2,0,46,57,80.7,6,43,3,4,4,46,57,80.7,708,173,28,31,90.3,14,16,87.5,3,6,50.0,0,0.2,0.2,2,5,1,0,6,57,56,1,1,1,0,0,0,0,0,0,0,46,0,2,6,4,2,3,1,3,5,60.0,2,1,0,1,4,10,0,0,72,1,21,43,8,1,72,4,4,100.0,0,0.0,43,295,120,3,3,0,1,1,48,2,1,0,0,0,0,0,0,4,4,0,0,0,7,2,1,66.7
Ryan Sessegnon,0,0,0,0,2,0,1,0,42,2,0,2,0.2,0.2,0.1,3,0,20,30,66.7,1,16,1,0,0,20,30,66.7,345,123,13,17,76.5,5,10,50.0,2,2,100.0,0,0.1,0.4,1,1,2,1,1,30,24,6,0,1,0,3,6,0,0,0,0,20,0,1,2,2,1,1,0,2,4,50.0,2,2,1,1,0,2,2,0,42,3,21,11,10,1,42,0,0,,0,,16,70,46,1,0,0,2,0,19,5,1,0,0,1,0,1,3,0,2,0,0,0,4,1,1,50.0
Son Heung-min,0,0,0,0,5,1,0,0,30,0,0,0,0.5,0.5,0.1,3,1,15,21,71.4,0,18,4,2,0,15,21,71.4,171,43,14,16,87.5,0,1,0.0,1,3,33.3,0,0.1,0.1,1,0,0,0,0,21,14,7,0,0,0,5,1,5,2,2,0,15,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,0,1,9,21,4,30,2,0,0.0,1,50.0,18,166,121,4,1,1,1,1,20,8,0,0,0,2,1,1,5,0,0,0,0,0,2,0,1,0.0
Yves Bissouma,0,0,0,0,1,0,0,0,60,2,1,0,0.0,0.0,0.0,4,0,49,53,92.5,4,36,1,0,0,49,53,92.5,747,164,28,28,100.0,19,21,90.5,2,4,50.0,0,0.0,0.0,0,2,0,0,4,53,49,4,2,0,0,0,0,0,0,0,0,49,0,0,2,1,1,0,1,0,0,,0,0,0,0,1,3,0,0,60,0,15,36,9,0,60,0,0,,0,,36,251,94,1,0,0,2,1,44,2,0,0,0,3,0,0,0,1,1,0,0,0,6,0,0,
