player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,0,1,1,16,4,1,0,514,18,12,13,2.2,1.4,1.2,31,2,318,409,77.8,31,289,16,16,9,318,409,77.8,5935,2124,137,152,90.1,137,159,86.2,37,67,55.2,0,1.2,0.6,13,25,7,5,31,409,365,38,6,1,5,31,13,12,8,3,0,318,6,12,18,10,10,7,1,10,20,50.0,10,13,4,9,12,30,22,0,514,52,170,226,122,29,513,16,9,56.3,4,25.0,289,1668,887,16,9,7,6,8,316,31,1,0,0,9,6,6,31,12,10,1,0,0,48,12,8,60.0
Alphonse Areola,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,0,11,0,0,0,14,17,82.4,275,179,8,8,100.0,4,4,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,17,12,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,16,17,0,0,0,17,0,0,,0,,11,72,58,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Danny Ings,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,0,4,4,100.0,1,6,0,0,0,4,4,100.0,50,15,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,0,3,7,0,9,0,0,,0,,6,26,0,0,1,0,1,1,4,3,0,0,0,0,1,3,0,0,0,0,0,0,3,0,1,0.0
Declan Rice,0,0,0,0,0,0,0,0,61,7,2,1,0.0,0.0,0.5,2,0,43,50,86.0,1,36,0,1,0,43,50,86.0,808,224,21,22,95.5,17,17,100.0,5,10,50.0,0,0.5,0.1,2,2,0,0,1,50,46,4,2,0,0,3,0,2,2,0,0,43,0,1,7,4,6,1,0,3,4,75.0,1,1,0,1,2,9,1,0,61,6,23,32,7,0,61,1,0,0.0,1,100.0,36,186,74,0,2,0,0,1,40,0,0,0,0,0,0,0,3,2,4,0,0,0,4,0,0,
Emerson Palmieri,0,0,0,0,1,0,0,0,61,5,1,3,0.1,0.1,0.1,1,0,37,50,74.0,5,28,1,0,0,37,50,74.0,525,199,22,23,95.7,11,13,84.6,2,6,33.3,0,0.1,0.0,1,3,0,0,5,50,39,10,0,0,0,7,5,5,1,3,0,37,1,3,5,3,2,3,0,3,4,75.0,1,3,2,1,1,6,3,0,61,6,17,27,17,1,61,0,0,,0,,28,95,57,1,0,0,0,0,31,1,0,0,0,1,0,0,7,1,3,0,0,0,7,2,0,100.0
Jarrod Bowen,0,0,0,0,1,0,0,0,38,0,1,1,0.0,0.0,0.2,9,0,11,27,40.7,0,21,8,10,7,11,27,40.7,200,38,6,7,85.7,3,7,42.9,2,7,28.6,0,0.2,0.1,2,0,1,1,0,27,22,5,0,0,0,10,0,5,5,0,0,11,0,5,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,1,0,38,0,2,14,22,8,38,10,7,70.0,1,10.0,21,302,134,8,3,5,0,4,25,10,0,0,0,1,3,0,10,1,0,0,0,0,4,1,0,100.0
Kurt Zouma,0,0,0,0,1,0,0,0,59,1,1,2,0.2,0.2,0.1,2,0,44,46,95.7,4,35,0,0,0,44,46,95.7,903,344,13,13,100.0,25,25,100.0,5,6,83.3,0,0.1,0.0,1,2,0,0,4,46,45,1,1,0,2,0,0,0,0,0,0,44,0,0,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,5,0,59,11,34,22,3,3,59,0,0,,0,,35,143,66,0,0,0,2,0,42,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,50.0
Lucas Paquetá,0,0,0,0,2,0,1,0,50,2,1,1,0.2,0.2,0.1,5,2,33,42,78.6,5,24,1,1,1,33,42,78.6,609,213,11,14,78.6,14,16,87.5,5,7,71.4,0,0.1,0.1,2,4,2,1,5,42,39,2,0,1,0,2,0,0,0,0,0,33,1,1,2,1,0,1,1,1,3,33.3,2,1,0,1,1,3,0,0,50,0,3,32,16,4,50,1,1,100.0,0,0.0,24,136,78,1,1,1,1,2,30,3,1,0,0,4,1,0,2,1,1,1,0,0,5,0,0,
Maxwel Cornet,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,1,0,1,1,100.0,11,12,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,3,0,1,2,0,0,3,1,0,0.0,1,100.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,
Nayef Aguerd,0,0,0,0,1,0,0,0,78,0,0,1,0.4,0.4,0.0,2,0,57,66,86.4,0,60,0,0,0,57,66,86.4,1236,470,20,20,100.0,31,33,93.9,6,11,54.5,0,0.0,0.0,0,4,0,0,0,66,63,1,1,0,2,0,0,0,0,0,0,57,2,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,7,0,78,11,46,30,2,2,78,0,0,,0,,60,297,175,0,0,0,0,0,60,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3,3,50.0
