player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,11,2,3,0,476,17,6,6,0.7,0.7,0.5,17,0,295,385,76.6,26,261,24,15,9,295,385,76.6,5185,1802,149,167,89.2,116,144,80.6,25,51,49.0,0,0.5,0.6,6,25,7,1,26,385,341,41,6,4,3,15,18,6,0,3,1,295,3,7,17,9,8,7,2,11,20,55.0,9,6,4,2,6,23,24,0,476,57,178,196,114,15,476,15,9,60.0,5,33.3,261,1725,803,24,19,3,10,5,292,26,3,0,0,5,6,3,15,6,9,0,0,0,47,20,9,69.0
Adama Traoré,0,0,0,0,1,0,0,0,34,0,0,1,0.0,0.0,0.3,5,0,15,24,62.5,2,22,4,6,3,15,24,62.5,246,31,7,11,63.6,6,9,66.7,1,2,50.0,0,0.3,0.3,3,1,1,0,2,24,24,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,34,0,5,14,17,4,34,6,3,50.0,2,33.3,22,203,78,4,3,1,2,2,25,4,0,0,0,2,1,0,3,0,0,0,0,0,5,5,2,71.4
Boubacar Traoré,0,0,0,0,1,0,1,0,28,2,1,0,0.0,0.0,0.0,1,0,20,25,80.0,2,18,1,2,2,20,25,80.0,361,152,10,12,83.3,8,10,80.0,2,2,100.0,0,0.0,0.0,0,4,0,0,2,25,24,0,0,0,0,0,0,0,0,0,0,20,1,0,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,0,0,28,0,2,21,7,1,28,2,2,100.0,0,0.0,18,122,65,1,1,0,0,0,20,0,1,0,0,1,0,0,0,1,1,0,0,0,4,2,1,66.7
Daniel Podence,0,0,0,0,2,1,0,0,13,1,0,0,0.2,0.2,0.1,3,0,7,10,70.0,1,6,0,0,0,7,10,70.0,104,32,2,2,100.0,2,4,50.0,1,1,100.0,0,0.1,0.0,1,0,1,0,1,10,7,3,0,1,0,1,0,2,0,1,0,7,0,1,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,13,0,0,5,9,2,13,0,0,,0,,6,24,15,0,1,0,0,0,7,3,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,100.0
Dexter Lembikisa,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,10,13,76.9,3,7,2,0,0,10,13,76.9,180,73,5,5,100.0,5,5,100.0,0,0,,0,0.0,0.0,0,2,0,0,3,13,12,1,0,0,0,1,1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,3,7,3,0,13,0,0,,0,,7,29,21,2,0,0,0,0,8,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
Gonçalo Guedes,0,0,0,0,4,1,0,0,41,3,1,0,0.3,0.3,0.0,3,0,19,30,63.3,1,24,5,2,1,19,30,63.3,350,98,12,15,80.0,4,8,50.0,3,4,75.0,0,0.0,0.0,0,1,1,0,1,30,26,4,0,0,1,5,0,4,0,2,1,19,0,0,3,3,0,2,1,2,3,66.7,1,0,0,0,1,4,0,0,41,0,3,13,27,6,41,2,1,50.0,1,50.0,24,249,77,5,3,1,3,1,28,10,0,0,0,0,1,2,5,1,3,0,0,0,7,0,0,
Hugo Bueno,0,0,0,0,1,0,1,0,56,5,1,0,0.1,0.1,0.0,2,0,31,42,73.8,2,24,6,2,2,31,42,73.8,392,106,24,29,82.8,7,9,77.8,0,2,0.0,0,0.0,0.1,0,3,1,1,2,42,33,8,0,0,0,2,8,0,0,0,0,31,1,1,5,2,5,0,0,4,6,66.7,2,0,0,0,1,6,3,0,56,3,25,19,12,2,56,2,2,100.0,0,0.0,24,216,135,6,3,1,2,0,26,1,1,0,0,1,1,0,2,1,2,0,0,0,6,1,1,50.0
José Sá,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,11,20,55.0,0,9,0,0,0,11,20,55.0,400,362,1,1,100.0,5,5,100.0,5,14,35.7,0,0.0,0.0,0,0,0,0,0,20,10,10,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,23,21,23,0,0,0,23,0,0,,0,,9,106,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
João Moutinho,0,0,0,0,0,0,0,0,39,1,1,0,0.0,0.0,0.0,0,0,27,33,81.8,6,22,0,0,0,27,33,81.8,454,137,13,14,92.9,13,15,86.7,1,3,33.3,0,0.0,0.1,0,2,2,0,6,33,32,1,0,0,0,0,1,0,0,0,0,27,0,1,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,0,0,39,0,16,17,7,0,39,0,0,,0,,22,94,35,0,1,0,0,0,26,1,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,100.0
Matheus Nunes,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,2,1,0,2,3,66.7,34,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,1,0,0.0,1,100.0,4,55,45,2,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
