player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,1,0,0,0,9,4,4,0,359,13,8,11,1.0,1.0,0.6,15,0,138,254,54.3,13,139,4,2,0,138,254,54.3,3203,1837,53,84,63.1,52,76,68.4,32,77,41.6,0,0.6,0.6,7,13,3,0,13,254,205,47,9,1,2,11,14,4,3,1,0,138,2,9,13,6,9,4,0,8,17,47.1,9,11,6,5,8,21,32,0,359,80,169,124,67,8,359,2,0,0.0,2,100.0,139,560,190,4,5,0,14,6,138,13,4,0,0,10,9,2,11,8,6,0,0,0,30,22,19,53.7
Christian Nørgaard,0,0,0,0,1,1,0,0,9,0,1,0,0.0,0.0,0.0,0,0,4,6,66.7,0,2,0,0,0,4,6,66.7,66,0,1,3,33.3,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,9,0,3,5,1,1,9,0,0,,0,,2,8,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Frank Onyeka,0,0,0,0,0,0,1,0,19,0,1,1,0.0,0.0,0.0,0,0,6,10,60.0,0,9,0,1,0,6,10,60.0,86,16,4,6,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,19,2,9,7,3,0,19,1,0,0.0,1,100.0,9,29,2,0,1,0,4,0,6,0,1,0,0,1,4,0,0,1,0,0,0,0,3,0,3,0.0
Ivan Toney,0,0,0,0,1,1,0,0,37,2,1,1,0.0,0.0,0.1,1,0,6,23,26.1,1,18,1,0,0,6,23,26.1,63,22,6,15,40.0,0,3,0.0,0,1,0.0,0,0.1,0.0,2,0,1,0,1,23,20,1,1,0,0,1,0,0,0,0,0,6,2,1,2,2,1,1,0,1,1,100.0,0,1,1,0,1,3,2,0,37,3,9,14,14,1,37,0,0,,0,,18,35,13,1,0,0,4,2,25,5,0,0,0,1,0,0,1,1,2,0,0,0,0,7,4,63.6
Keane Lewis-Potter,0,0,0,0,1,0,0,0,31,0,0,2,0.0,0.0,0.0,0,0,11,19,57.9,1,13,1,0,0,11,19,57.9,151,51,8,10,80.0,2,4,50.0,1,4,25.0,0,0.0,0.0,0,0,0,0,1,19,17,2,1,1,0,2,1,0,0,0,0,11,0,1,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,4,0,31,4,11,7,13,1,31,0,0,,0,,13,49,26,1,1,0,1,2,17,2,0,0,0,0,1,0,2,0,0,0,0,0,2,1,1,50.0
Kristoffer Ajer,0,0,0,0,0,0,0,0,29,2,0,1,0.0,0.0,0.4,2,0,9,16,56.3,4,9,1,0,0,9,16,56.3,190,108,2,3,66.7,5,7,71.4,2,6,33.3,0,0.4,0.4,1,4,1,0,4,16,16,0,0,0,0,1,0,0,0,0,0,9,0,0,2,1,1,1,0,1,1,100.0,0,1,1,0,0,2,7,0,29,8,17,11,1,0,29,0,0,,0,,9,48,17,1,0,0,1,0,6,0,0,0,0,2,2,0,1,0,1,0,0,0,3,3,1,75.0
Mads Roerslev,0,0,0,0,0,0,0,0,29,1,0,1,0.0,0.0,0.0,0,0,9,19,47.4,0,13,0,1,0,9,19,47.4,149,15,4,6,66.7,4,6,66.7,1,3,33.3,0,0.0,0.0,0,0,0,0,0,19,16,3,0,0,0,1,3,0,0,0,0,9,0,2,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,5,0,29,4,11,14,4,0,29,1,0,0.0,1,100.0,13,45,17,0,0,0,1,0,12,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0.0
Mark Flekken,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,21,44,47.7,0,21,0,0,0,21,44,47.7,1056,941,0,0,,3,4,75.0,18,40,45.0,0,0.0,0.0,0,3,0,0,0,44,20,24,7,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,47,35,44,3,0,0,47,0,0,,0,,21,149,56,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Mathias Jensen,0,0,0,0,0,0,0,0,27,0,1,2,0.0,0.0,0.0,3,0,10,25,40.0,0,8,0,0,0,10,25,40.0,207,90,4,9,44.4,4,7,57.1,2,8,25.0,0,0.0,0.0,1,0,0,0,0,25,18,7,0,0,0,3,3,3,2,1,0,10,0,1,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,0,0,27,1,5,16,6,0,27,0,0,,0,,8,22,7,0,0,0,0,0,8,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,
Mathias Jørgensen,0,0,0,0,1,0,1,0,35,2,1,0,0.0,0.0,0.0,1,0,21,26,80.8,2,10,0,0,0,21,26,80.8,364,160,10,11,90.9,10,12,83.3,1,2,50.0,0,0.0,0.0,0,1,0,0,2,26,21,5,0,0,0,0,5,0,0,0,0,21,0,1,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,4,0,35,5,17,16,2,1,35,0,0,,0,,10,24,9,0,1,0,0,0,12,0,1,0,0,1,0,0,0,1,2,0,0,0,6,2,1,66.7
