player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,0,0,0,0,13,3,4,0,570,24,4,9,1.5,1.5,0.6,22,0,414,480,86.3,27,383,18,20,8,414,480,86.3,6766,2146,227,246,92.3,139,155,89.7,38,57,66.7,0,0.6,0.6,10,30,10,4,27,480,438,40,11,2,5,15,15,4,3,0,1,414,2,9,24,14,6,13,5,9,20,45.0,11,9,2,7,4,28,13,1,570,46,172,283,118,19,570,20,8,40.0,9,45.0,383,2030,1172,18,12,2,13,7,412,27,4,0,0,19,10,2,15,4,14,0,0,0,40,11,8,57.9
Boubacar Traoré,0,0,0,0,0,0,0,0,17,1,1,1,0.0,0.0,0.0,1,0,11,12,91.7,1,9,0,1,0,11,12,91.7,176,38,6,7,85.7,3,3,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,12,11,1,0,0,1,0,1,0,0,0,0,11,0,0,1,1,0,1,0,0,0,,0,1,1,0,1,2,0,0,17,1,4,12,1,0,17,1,0,0.0,1,100.0,9,36,10,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,
Hugo Bueno,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.1,1,0,9,10,90.0,0,8,3,0,0,9,10,90.0,175,46,4,4,100.0,3,3,100.0,2,2,100.0,0,0.1,0.1,1,0,2,2,0,10,8,2,0,0,0,2,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,11,1,1,5,5,0,11,0,0,,0,,8,90,70,3,1,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
José Sá,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,18,22,81.8,0,12,0,0,0,18,22,81.8,349,177,6,6,100.0,9,9,100.0,2,6,33.3,0,0.0,0.0,0,0,0,0,0,22,14,8,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,23,21,23,0,0,0,23,0,0,,0,,12,107,80,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
João Gomes,0,0,0,0,0,0,0,0,49,7,1,2,0.0,0.0,0.0,2,0,34,37,91.9,2,31,2,3,1,34,37,91.9,394,61,24,24,100.0,8,10,80.0,0,1,0.0,0,0.0,0.0,0,1,0,0,2,37,35,2,2,0,0,0,0,0,0,0,0,34,0,0,7,5,1,5,1,1,4,25.0,3,2,0,2,1,8,1,0,49,1,10,26,13,0,49,3,1,33.3,0,0.0,31,156,97,2,1,0,1,3,36,1,0,0,0,1,3,0,0,1,5,0,0,0,2,1,0,100.0
Leon Chiwome,0,0,0,0,1,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,7,8,87.5,0,7,1,0,0,7,8,87.5,79,0,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,2,0,15,3,3,7,5,2,15,0,0,,0,,7,40,24,1,0,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3
Mario Lemina,0,0,0,0,3,1,0,0,39,3,0,0,0.2,0.2,0.0,2,0,29,31,93.5,0,24,0,3,2,29,31,93.5,397,70,15,15,100.0,12,13,92.3,0,1,0.0,0,0.0,0.0,1,1,0,0,0,31,29,2,2,1,0,0,0,0,0,0,0,29,0,0,3,2,0,3,0,1,2,50.0,1,0,0,0,0,3,1,0,39,0,4,26,9,4,39,3,2,66.7,1,33.3,24,88,31,0,0,1,1,2,34,3,0,0,0,2,1,1,0,0,2,0,0,0,3,2,2,50.0
Matt Doherty,0,0,0,0,1,0,0,0,16,2,0,0,0.1,0.1,0.1,1,0,10,13,76.9,2,7,0,0,0,10,13,76.9,175,50,6,9,66.7,3,3,100.0,1,1,100.0,0,0.1,0.0,1,0,1,0,2,13,11,2,1,0,1,0,1,0,0,0,0,10,0,0,2,0,2,0,0,1,1,100.0,0,0,0,0,0,2,1,0,16,1,7,6,3,2,16,0,0,,0,,7,45,31,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0
Max Kilman,0,0,0,0,1,0,1,0,68,0,0,1,0.0,0.0,0.0,0,0,57,63,90.5,1,52,0,0,0,57,63,90.5,1125,453,23,25,92.0,26,27,96.3,7,8,87.5,0,0.0,0.0,0,5,0,0,1,63,63,0,0,0,1,0,0,0,0,0,0,57,0,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,2,1,68,8,37,30,1,1,68,0,0,,0,,52,244,151,0,0,0,0,0,59,0,1,0,0,2,0,0,0,0,0,0,0,0,1,4,2,66.7
Nathan Fraser,0,0,0,0,1,0,0,0,5,1,0,0,0.1,0.1,0.0,0,0,3,3,100.0,1,2,1,0,0,3,3,100.0,33,17,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,5,0,1,2,2,1,5,0,0,,0,,2,13,9,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
