player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,0,0,0,0,2,1,1,0,565,18,9,11,0.1,0.1,0.0,1,0,399,480,83.1,26,398,16,17,5,399,480,83.1,6787,2015,166,183,90.7,204,231,88.3,21,48,43.8,0,0.0,0.1,1,16,4,0,26,480,432,47,17,1,3,16,17,3,3,0,0,399,1,6,18,14,10,6,2,5,15,33.3,10,11,4,7,9,27,14,0,565,84,240,243,86,9,565,17,5,29.4,9,52.9,398,2100,1200,16,10,1,13,8,389,25,1,0,0,10,13,1,16,9,14,0,1,0,29,7,7,50.0
Calum Chambers,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0,2,3,66.7,35,17,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,5,1,2,3,0,0,5,0,0,,0,,2,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Diego Carlos,0,0,0,0,0,0,0,0,95,2,0,2,0.0,0.0,0.0,0,0,72,85,84.7,1,73,0,0,0,72,85,84.7,1300,422,25,25,100.0,45,50,90.0,2,9,22.2,0,0.0,0.0,0,2,0,0,1,85,82,3,3,0,0,0,0,0,0,0,0,72,0,1,2,2,2,0,0,0,0,,0,2,2,0,0,2,5,0,95,16,64,30,2,1,95,0,0,,0,,73,306,165,0,0,0,1,0,72,0,0,0,0,2,0,0,0,0,2,0,0,0,3,2,0,100.0
Douglas Luiz,0,0,0,0,0,0,0,0,51,2,2,1,0.0,0.0,0.0,0,0,36,45,80.0,0,34,1,0,0,36,45,80.0,527,55,21,23,91.3,14,17,82.4,1,5,20.0,0,0.0,0.0,0,1,0,0,0,45,42,3,2,0,0,3,0,1,1,0,0,36,0,0,2,2,1,0,1,1,2,50.0,1,1,1,0,2,4,0,0,51,3,12,33,7,0,51,0,0,,0,,34,185,105,1,1,0,2,1,34,1,0,0,0,2,0,0,3,2,2,0,0,0,6,1,0,100.0
Ezri Konsa,0,0,0,0,0,0,0,0,53,3,0,1,0.0,0.0,0.0,0,0,41,49,83.7,5,38,1,0,0,41,49,83.7,674,207,21,25,84.0,18,22,81.8,2,2,100.0,0,0.0,0.0,0,3,0,0,5,49,44,5,0,0,0,0,5,0,0,0,0,41,0,0,3,3,2,1,0,1,1,100.0,0,1,0,1,0,3,0,0,53,1,21,28,4,0,53,0,0,,0,,38,119,61,1,1,0,1,0,37,0,0,0,0,2,2,0,0,0,3,0,1,0,4,0,0,
Jhon Durán,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,3,3,100.0,45,4,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,4,0,0,,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
John McGinn,0,0,0,0,0,0,0,0,41,2,0,3,0.0,0.0,0.0,0,0,28,34,82.4,4,28,1,2,0,28,34,82.4,558,125,10,10,100.0,15,15,100.0,3,8,37.5,0,0.0,0.0,0,3,1,0,4,34,31,3,3,0,2,2,0,0,0,0,0,28,0,1,2,1,0,2,0,0,2,0.0,2,3,1,2,0,2,0,0,41,1,10,29,2,0,41,2,0,0.0,1,50.0,28,160,79,1,1,0,0,3,28,1,0,0,0,0,2,1,2,0,1,0,0,0,3,0,1,0.0
Leon Bailey,0,0,0,0,0,0,0,0,37,2,1,1,0.0,0.0,0.0,0,0,16,24,66.7,3,24,1,5,1,16,24,66.7,202,34,12,12,100.0,3,6,50.0,0,3,0.0,0,0.0,0.0,0,1,1,0,3,24,22,1,0,0,0,3,0,1,1,0,0,16,1,0,2,1,1,1,0,0,1,0.0,1,1,0,1,1,3,0,0,37,2,8,13,16,1,37,5,1,20.0,3,60.0,24,70,34,1,1,0,5,1,23,3,0,0,0,0,2,0,3,1,1,0,0,0,4,0,2,0.0
Lucas Digne,0,0,0,0,0,0,0,0,58,1,1,3,0.0,0.0,0.0,0,0,38,48,79.2,2,40,2,3,1,38,48,79.2,609,158,17,18,94.4,18,23,78.3,2,5,40.0,0,0.0,0.0,0,3,0,0,2,48,39,9,0,0,0,2,8,1,1,0,0,38,0,1,1,0,1,0,0,0,0,,0,3,0,3,1,2,3,0,58,4,20,25,13,0,58,3,1,33.3,1,33.3,40,206,110,2,0,0,0,0,38,2,0,0,0,1,1,0,2,1,0,0,0,0,2,1,0,100.0
Matty Cash,0,0,0,0,1,0,1,0,37,3,0,0,0.0,0.0,0.0,0,0,18,26,69.2,1,20,2,1,1,18,26,69.2,287,78,7,12,58.3,10,12,83.3,1,1,100.0,0,0.0,0.0,0,0,1,0,1,26,22,4,1,0,0,3,3,0,0,0,0,18,0,1,3,2,2,0,1,2,4,50.0,2,0,0,0,0,3,3,0,37,1,11,14,12,1,37,1,1,100.0,0,0.0,20,112,60,2,1,0,1,0,19,8,1,0,0,1,0,0,3,0,2,0,0,0,1,0,0,
