player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,1,1,0,0,9,2,4,0,564,18,3,11,1.2,1.2,1.2,17,2,391,469,83.4,33,345,17,23,13,391,469,83.4,7222,2307,149,161,92.5,187,210,89.0,47,76,61.8,1,1.2,0.6,9,21,6,0,33,469,424,45,19,1,2,11,12,3,2,0,0,391,0,10,18,9,11,6,1,9,19,47.4,10,11,4,7,3,21,14,1,564,66,210,262,96,20,564,23,13,56.5,3,13.0,345,1792,775,17,13,8,11,5,388,33,4,0,0,17,14,0,11,3,9,0,0,0,34,5,12,29.4
Alexander Isak,0,0,0,0,4,0,0,0,25,0,0,0,0.4,0.4,0.0,2,0,11,16,68.8,2,19,3,6,5,11,16,68.8,179,56,6,7,85.7,4,6,66.7,1,1,100.0,0,0.0,0.0,0,2,1,0,2,16,14,2,0,0,0,1,0,0,0,0,0,11,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,25,1,2,7,16,5,25,6,5,83.3,1,16.7,19,190,111,3,2,3,2,0,19,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Anthony Gordon,0,0,0,0,1,0,1,0,38,3,0,1,0.2,0.2,0.1,2,0,27,30,90.0,1,23,3,2,1,27,30,90.0,376,51,16,17,94.1,8,9,88.9,1,2,50.0,0,0.1,0.0,1,0,0,0,1,30,30,0,0,0,1,1,0,0,0,0,0,27,0,0,3,1,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0,38,1,5,22,12,2,38,2,1,50.0,0,0.0,23,131,53,3,1,1,1,0,28,6,1,0,0,1,1,0,1,0,1,0,0,0,3,1,0,100.0
Bruno Guimarães,0,0,0,0,0,0,0,0,61,3,0,1,0.0,0.0,0.2,2,0,48,53,90.6,9,44,1,4,1,48,53,90.6,818,219,24,25,96.0,19,21,90.5,4,5,80.0,0,0.2,0.2,1,4,3,0,9,53,51,2,2,1,0,1,0,0,0,0,0,48,0,1,3,2,3,0,0,0,1,0.0,1,1,0,1,0,3,0,0,61,5,19,33,10,0,61,4,1,25.0,0,0.0,44,268,102,1,0,0,1,1,47,1,0,0,0,1,4,0,1,0,2,0,0,0,3,0,0,
Callum Wilson,1,0,0,0,1,1,0,0,10,0,0,0,0.4,0.4,0.0,2,1,5,5,100.0,0,4,0,1,1,5,5,100.0,63,3,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,6,4,1,10,1,1,100.0,0,0.0,4,24,13,0,0,0,4,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
Dan Burn,0,0,0,0,0,0,1,0,48,0,0,3,0.0,0.0,0.0,0,0,37,42,88.1,1,27,0,0,0,37,42,88.1,826,251,4,8,50.0,27,27,100.0,6,7,85.7,0,0.0,0.0,0,0,0,0,1,42,37,5,2,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,1,0,48,7,28,17,3,2,48,0,0,,0,,27,158,57,0,0,0,0,0,30,0,1,0,0,4,1,0,0,0,0,0,0,0,4,3,2,60.0
Elliot Anderson,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.2,1,0,7,7,100.0,0,8,1,1,0,7,7,100.0,98,12,5,5,100.0,2,2,100.0,0,0,,0,0.2,0.1,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,6,6,1,11,1,0,0.0,0,0.0,8,41,25,1,3,0,1,1,8,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Fabian Schär,0,0,0,0,1,1,1,0,83,4,1,2,0.0,0.0,0.0,0,0,59,71,83.1,5,58,0,0,0,59,71,83.1,1252,408,12,14,85.7,35,37,94.6,11,17,64.7,0,0.0,0.0,0,2,1,0,5,71,70,1,1,0,1,0,0,0,0,0,0,59,0,1,4,3,2,2,0,1,2,50.0,1,2,2,0,1,5,3,0,83,12,38,41,4,2,83,0,0,,0,,58,229,104,0,1,0,0,0,63,0,1,0,0,4,0,0,0,1,3,0,0,0,4,0,2,0.0
Harvey Barnes,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,1,1,0,2,2,100.0,16,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,3,2,1,5,1,0,0.0,0,0.0,3,17,13,1,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jamaal Lascelles,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,13,16,81.3,0,14,0,0,0,13,16,81.3,267,72,4,4,100.0,7,9,77.8,2,3,66.7,0,0.0,0.0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,17,4,7,10,0,0,17,0,0,,0,,14,46,4,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0
Joelinton,0,0,0,0,1,0,0,0,29,2,0,0,0.1,0.1,0.0,1,0,17,21,81.0,1,19,1,3,2,17,21,81.0,211,57,13,13,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,1,0,0,1,21,21,0,0,0,0,0,0,0,0,0,0,17,0,3,2,2,2,0,0,0,1,0.0,1,0,0,0,0,2,0,0,29,2,8,18,3,2,29,3,2,66.7,1,33.3,19,47,26,1,0,1,1,0,19,1,0,0,0,2,0,0,0,0,2,0,0,0,3,0,2,0.0
Kieran Trippier,0,0,0,0,0,0,0,0,82,3,1,2,0.0,0.0,0.0,2,0,60,75,80.0,5,36,1,0,0,60,75,80.0,1112,424,21,21,100.0,31,35,88.6,7,16,43.8,0,0.0,0.0,1,3,0,0,5,75,57,18,8,0,0,5,7,3,2,0,0,60,0,0,3,1,1,2,0,3,4,75.0,1,2,2,0,1,4,2,0,82,5,34,38,10,0,82,0,0,,0,,36,88,42,1,2,0,0,0,51,2,0,0,0,2,2,0,5,1,1,0,0,0,2,0,1,0.0
Matt Targett,0,0,0,0,0,0,1,0,44,2,0,1,0.0,0.0,0.0,1,0,29,34,85.3,2,28,1,2,0,29,34,85.3,518,174,11,11,100.0,14,15,93.3,4,7,57.1,0,0.0,0.0,1,2,0,0,2,34,31,3,0,0,0,0,3,0,0,0,0,29,0,1,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,2,0,44,1,22,20,3,0,44,2,0,0.0,1,50.0,28,112,56,1,1,0,0,0,27,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0.0
Miguel Almirón,0,0,0,0,0,0,0,0,33,0,1,1,0.0,0.0,0.0,0,0,21,28,75.0,0,19,2,1,1,21,28,75.0,310,48,10,12,83.3,9,11,81.8,1,2,50.0,0,0.0,0.0,0,0,0,0,0,28,28,0,0,0,0,1,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,33,1,9,14,10,1,33,1,1,100.0,0,0.0,19,176,71,2,2,1,0,0,24,2,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,
Nick Pope,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,24,29,82.8,0,17,0,0,0,24,29,82.8,637,355,3,3,100.0,15,15,100.0,6,11,54.5,0,0.0,0.0,0,1,0,0,0,29,18,11,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,33,25,31,2,0,0,33,0,0,,0,,17,119,55,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Sandro Tonali,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.3,2,0,19,24,79.2,2,14,2,1,1,19,24,79.2,299,52,8,9,88.9,7,10,70.0,2,2,100.0,0,0.3,0.1,2,2,0,0,2,24,23,1,0,0,0,2,1,0,0,0,0,19,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,27,2,6,12,9,3,27,1,1,100.0,0,0.0,14,90,23,2,0,1,1,1,22,8,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,
Sean Longstaff,0,1,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.5,2,1,12,16,75.0,5,12,1,1,1,12,16,75.0,240,125,6,6,100.0,4,7,57.1,2,3,66.7,1,0.5,0.0,2,3,1,0,5,16,16,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,18,0,1,13,4,0,18,1,1,100.0,0,0.0,12,56,20,1,1,0,0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
