player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,1,1,0,0,10,3,2,0,532,24,4,6,0.8,0.8,0.6,19,2,353,432,81.7,13,333,11,24,8,353,432,81.7,6275,2149,162,182,89.0,153,172,89.0,35,61,57.4,1,0.6,0.7,8,9,3,1,13,432,382,46,9,1,1,9,20,7,4,0,0,353,4,7,24,15,14,4,6,14,22,63.6,8,6,2,4,4,28,10,0,532,78,250,190,96,8,532,24,8,33.3,12,50.0,333,1710,887,11,7,2,13,10,350,12,2,0,0,11,8,4,9,4,15,0,1,1,41,10,9,52.6
Aaron Ramsey,0,0,0,0,0,0,0,0,11,3,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,4,0,0,0,8,8,100.0,129,0,5,5,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,3,2,1,1,1,1,2,50.0,1,0,0,0,0,3,0,0,11,0,3,6,2,0,11,0,0,,0,,4,9,2,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Ameen Al-Dakhil,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,0,0,18,19,94.7,0,19,0,0,0,18,19,94.7,323,42,7,7,100.0,10,11,90.9,1,1,100.0,0,0.0,0.0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,18,0,0,1,1,1,0,0,0,0,,0,1,1,0,0,1,0,0,23,4,18,5,0,0,23,0,0,,0,,19,125,61,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,
Charlie Taylor,0,0,0,0,2,0,0,0,74,2,0,1,0.1,0.1,0.0,2,0,48,64,75.0,3,41,0,2,1,48,64,75.0,752,309,30,34,88.2,14,20,70.0,4,9,44.4,0,0.0,0.0,1,2,0,0,3,64,51,13,2,0,0,1,11,0,0,0,0,48,0,1,2,0,1,1,0,2,2,100.0,0,1,0,1,0,2,2,0,74,3,28,35,13,0,74,2,1,50.0,1,50.0,41,181,73,0,1,0,2,1,49,1,0,0,0,2,0,0,1,0,0,0,0,0,7,1,0,100.0
Connor Roberts,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.1,3,0,14,18,77.8,2,10,0,1,0,14,18,77.8,255,103,4,5,80.0,8,8,100.0,2,3,66.7,0,0.1,0.0,3,0,0,0,2,18,13,4,0,0,0,0,4,0,0,0,0,14,1,0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,21,0,4,9,8,0,21,1,0,0.0,1,100.0,10,21,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
Dara O'Shea,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.0,0,0,21,25,84.0,0,17,0,0,0,21,25,84.0,385,128,9,11,81.8,10,11,90.9,2,3,66.7,0,0.0,0.0,0,1,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0,27,2,14,13,0,0,27,0,0,,0,,17,107,56,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,66.7
Hannes Delcroix,0,0,0,0,0,0,0,0,72,3,0,3,0.0,0.0,0.0,0,0,53,62,85.5,0,51,0,0,0,53,62,85.5,948,287,20,22,90.9,31,33,93.9,2,7,28.6,0,0.0,0.0,0,1,0,0,0,62,61,1,1,0,0,0,0,0,0,0,0,53,0,0,3,2,2,1,0,2,2,100.0,0,3,1,2,0,3,1,0,72,11,51,21,0,0,72,0,0,,0,,51,200,103,0,0,0,0,1,53,0,0,0,0,2,0,0,0,0,2,0,0,0,5,2,0,100.0
Jacob Bruun Larsen,0,0,0,0,1,0,0,0,13,1,0,0,0.1,0.1,0.0,1,0,5,7,71.4,0,10,1,3,1,5,7,71.4,83,1,1,1,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,0,7,5,1,0,0,0,0,1,0,0,0,0,5,1,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,13,0,1,6,6,0,13,3,1,33.3,1,33.3,10,56,31,1,1,0,1,1,7,2,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,0.0
James Trafford,0,0,0,0,0,0,0,0,71,0,0,0,0.0,0.0,0.0,0,0,59,70,84.3,0,55,0,0,0,59,70,84.3,1327,869,21,21,100.0,22,22,100.0,16,25,64.0,0,0.0,0.0,0,1,0,0,0,70,62,6,1,0,0,0,0,0,0,0,0,59,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,71,46,71,0,0,0,71,0,0,,0,,55,242,124,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Brownhill,0,0,0,0,0,0,0,0,43,2,2,0,0.0,0.0,0.1,5,0,26,35,74.3,1,10,0,0,0,26,35,74.3,359,42,17,18,94.4,8,9,88.9,0,4,0.0,0,0.1,0.0,1,0,1,0,1,35,25,10,1,0,0,4,0,7,4,0,0,26,0,2,2,2,1,1,0,0,1,0.0,1,0,0,0,2,4,3,0,43,3,9,14,20,1,43,0,0,,0,,10,22,8,0,0,0,1,1,15,0,0,0,0,0,1,0,4,2,2,0,0,0,3,1,1,50.0
