player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,0,0,0,0,14,2,0,0,702,18,2,11,0.7,0.7,0.6,24,0,487,594,82.0,51,444,26,16,9,487,594,82.0,8370,2611,220,250,88.0,218,249,87.6,41,74,55.4,0,0.6,0.7,11,48,9,1,51,594,544,50,12,1,2,22,23,8,3,2,0,487,0,6,18,9,8,6,4,8,13,61.5,5,11,0,11,2,20,19,0,702,69,235,301,168,23,702,16,9,56.3,5,31.3,444,2272,1326,26,9,5,16,7,483,50,0,0,0,9,8,0,22,2,9,0,0,0,33,22,24,47.8
Ameen Al-Dakhil,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,0,0,19,22,86.4,1,11,0,0,0,19,22,86.4,257,59,10,10,100.0,9,11,81.8,0,1,0.0,0,0.0,0.0,0,0,0,0,1,22,15,7,1,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,26,0,7,13,6,0,26,0,0,,0,,11,39,13,0,2,0,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Benson Manuel,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,1,0,0,4,5,80.0,89,22,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0,5,4,1,0,0,0,2,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,,0,,4,24,17,1,0,0,0,1,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0
Dara O'Shea,0,0,0,0,0,0,0,0,104,2,0,1,0.0,0.0,0.0,0,0,88,97,90.7,15,80,9,1,1,88,97,90.7,1839,679,24,26,92.3,51,52,98.1,12,17,70.6,0,0.0,0.0,0,19,0,0,15,97,95,2,2,0,1,0,0,0,0,0,0,88,0,0,2,1,2,0,0,0,0,,0,1,0,1,0,2,3,0,104,9,36,66,2,0,104,1,1,100.0,0,0.0,80,500,390,9,1,0,1,0,86,0,0,0,0,1,1,0,0,0,1,0,0,0,4,2,1,66.7
Hannes Delcroix,0,0,0,0,0,0,0,0,57,3,0,0,0.0,0.0,0.0,1,0,44,51,86.3,4,32,0,2,1,44,51,86.3,653,141,21,21,100.0,22,23,95.7,1,5,20.0,0,0.0,0.0,1,6,1,0,4,51,42,9,0,0,0,0,9,0,0,0,0,44,0,1,3,1,2,1,0,1,1,100.0,0,0,0,0,0,3,2,0,57,1,19,28,10,0,57,2,1,50.0,0,0.0,32,55,21,0,0,0,1,0,37,1,0,0,0,1,0,0,0,0,1,0,0,0,5,1,3,25.0
Jacob Bruun Larsen,0,0,0,0,2,0,0,0,50,1,1,0,0.2,0.2,0.2,4,0,23,39,59.0,2,34,3,3,0,23,39,59.0,355,61,12,17,70.6,9,16,56.3,2,5,40.0,0,0.2,0.1,3,0,1,0,2,39,31,8,2,0,0,12,0,6,2,2,0,23,0,1,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0,50,1,7,5,38,6,50,3,0,0.0,2,66.7,34,175,68,3,1,2,2,0,35,20,0,0,0,0,2,0,12,1,0,0,0,0,1,0,3,0.0
James Trafford,0,0,0,0,0,0,0,0,66,0,0,0,0.0,0.0,0.0,0,0,48,57,84.2,0,45,0,0,0,48,57,84.2,910,643,25,25,100.0,16,16,100.0,7,16,43.8,0,0.0,0.0,0,1,0,0,0,57,52,5,1,0,1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,66,34,65,1,0,0,66,0,0,,0,,45,118,82,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Jay Rodriguez,0,0,0,0,2,0,0,0,15,0,0,1,0.2,0.2,0.0,2,0,4,9,44.4,1,8,0,0,0,4,9,44.4,62,3,2,3,66.7,2,5,40.0,0,0,,0,0.0,0.0,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,15,1,2,8,5,2,15,0,0,,0,,8,13,7,0,0,0,1,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,4,50.0
Jordan Beyer,0,0,0,0,1,0,0,0,108,0,0,0,0.1,0.1,0.0,1,0,87,101,86.1,5,74,3,1,1,87,101,86.1,1543,409,33,38,86.8,47,52,90.4,6,8,75.0,0,0.0,0.1,0,4,1,0,5,101,98,3,3,1,0,0,0,0,0,0,0,87,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,108,11,44,58,6,2,108,1,1,100.0,0,0.0,74,473,340,3,2,0,1,0,79,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,72.7
Josh Brownhill,0,0,0,0,0,0,0,0,57,4,0,2,0.0,0.0,0.1,4,0,39,46,84.8,1,23,0,0,0,39,46,84.8,542,110,26,30,86.7,8,10,80.0,2,2,100.0,0,0.1,0.2,3,1,0,0,1,46,41,5,1,0,0,2,3,1,1,0,0,39,0,0,4,2,1,1,2,1,2,50.0,1,2,0,2,0,4,1,0,57,5,18,21,19,0,57,0,0,,0,,23,82,3,0,0,0,0,1,30,0,0,0,0,1,0,0,2,0,2,0,0,0,3,0,1,0.0
