,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,4,Erling Haaland,Manchester City,0.17,0.62,Goal,8.0,Left Foot,Volley,Rodri,Pass (Live),Kevin De Bruyne,Pass (Live)
1,6,Kevin De Bruyne,Manchester City,0.02,,Off Target,32.0,Right Foot,,Phil Foden,Pass (Live),Nathan Aké,Pass (Live)
2,11,Erling Haaland,Manchester City,0.21,,Off Target,6.0,Right Foot,Volley,Kevin De Bruyne,Pass (Live),Rodri,Pass (Live)
3,15,Luca Koleosho,Burnley,0.08,,Off Target,15.0,Right Foot,,Vitinho,Pass (Live),Lyle Foster,Pass (Live)
4,18,Zeki Amdouni,Burnley,0.03,0.02,Saved,15.0,Left Foot,,Luca Koleosho,Pass (Live),Vitinho,Pass (Live)
5,29,Lyle Foster,Burnley,0.03,,Off Target,16.0,Right Foot,,Lyle Foster,Take-On,,
6,36,Erling Haaland,Manchester City,0.14,0.5,Goal,13.0,Left Foot,,Julián Álvarez,Pass (Live),Kyle Walker,Pass (Live)
7,37,Lyle Foster,Burnley,0.12,,Blocked,16.0,Right Foot,,Luca Koleosho,Pass (Live),Zeki Amdouni,Tackle
8,45+1,Phil Foden,Manchester City,0.24,0.33,Saved,10.0,Left Foot,,Phil Foden,Take-On,Mateo Kovačić,Pass (Live)
9,,,,,,,,,,,,,
10,52,Erling Haaland,Manchester City,0.05,,Blocked,11.0,Left Foot,,Julián Álvarez,Pass (Live),Rodri,Pass (Live)
11,53,Phil Foden,Manchester City,0.04,,Blocked,8.0,Left Foot,Volley,,,,
12,55,Rodri,Manchester City,0.02,0.05,Saved,34.0,Right Foot,,,,,
13,55,Rodri,Manchester City,0.01,0.26,Saved,15.0,Head,,Julián Álvarez,Pass (Dead),Rodri,Shot
14,60,Julián Álvarez,Manchester City,0.06,,Off Target,15.0,Right Foot,,Erling Haaland,Pass (Live),Phil Foden,Pass (Live)
15,67,Rodri,Manchester City,0.05,,Blocked,16.0,Right Foot,,Julián Álvarez,Pass (Live),Rico Lewis,Pass (Live)
16,75,Nathan Aké,Manchester City,0.31,,Blocked,5.0,Left Foot,Volley,Erling Haaland,Fouled,Ederson,Pass (Live)
17,75,Rodri,Manchester City,0.42,0.93,Goal,5.0,Right Foot,,Nathan Aké,Shot,,
18,79,Julián Álvarez,Manchester City,0.2,,Blocked,13.0,Right Foot,,Erling Haaland,Pass (Live),Rodri,Pass (Live)
19,80,Anass Zaroury,Burnley,0.04,,Blocked,21.0,Left Foot,,Lyle Foster,Pass (Live),Jacob Bruun Larsen,Pass (Live)
20,82,Jacob Bruun Larsen,Burnley,0.02,,Off Target,7.0,Head,,Anass Zaroury,Pass (Dead),,
21,86,Julián Álvarez,Manchester City,0.09,0.02,Saved,14.0,Right Foot,,Phil Foden,Pass (Live),Manuel Akanji,Pass (Live)
22,88,Phil Foden,Manchester City,0.02,,Off Target,21.0,Left Foot,,Julián Álvarez,Pass (Dead),Mateo Kovačić,Fouled
23,90+5,Aymeric Laporte,Manchester City,0.04,0.02,Saved,11.0,Head,,Julián Álvarez,Pass (Dead),Kyle Walker,Fouled
