player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,5,4,0,0,19,7,2,0,695,10,1,5,1.8,1.8,1.6,37,10,502,615,81.6,73,371,31,25,14,502,615,81.6,9061,3139,190,212,89.6,248,285,87.0,46,80,57.5,4,1.6,1.2,16,59,13,1,73,615,574,38,13,2,2,23,14,6,2,3,0,502,3,10,10,6,2,5,3,7,13,53.8,6,5,0,5,1,11,9,0,695,42,151,319,227,41,695,25,14,56.0,6,24.0,371,2276,1274,31,13,12,11,5,483,69,2,0,0,10,12,3,23,1,6,0,0,0,47,22,15,59.5
Charlie Taylor,0,1,0,0,0,0,0,0,70,0,0,0,0.0,0.0,0.1,1,1,54,66,81.8,6,31,2,0,0,54,66,81.8,1009,282,22,24,91.7,28,33,84.8,4,7,57.1,1,0.1,0.2,1,7,1,1,6,66,58,8,1,0,0,2,7,0,0,0,0,54,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,70,2,12,38,20,1,70,0,0,,0,,31,151,64,2,0,1,0,0,42,3,0,0,0,0,0,0,2,0,0,0,0,0,5,3,2,60.0
Dara O'Shea,0,1,0,0,1,0,1,0,80,0,0,0,0.0,0.0,0.4,1,1,60,77,77.9,15,45,2,0,0,60,77,77.9,1330,595,11,12,91.7,38,44,86.4,10,18,55.6,1,0.4,0.2,1,16,0,0,15,77,74,2,2,0,0,2,0,0,0,0,0,60,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,80,2,21,54,6,2,80,0,0,,0,,45,354,290,2,3,0,0,0,53,0,1,0,0,2,2,0,2,0,0,0,0,0,5,7,0,100.0
Hjalmar Ekdal,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,14,16,87.5,1,9,1,0,0,14,16,87.5,234,107,3,3,100.0,9,9,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,1,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,6,10,1,1,17,0,0,,0,,9,94,83,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,50.0
Jacob Bruun Larsen,1,0,0,0,4,1,0,0,42,0,0,0,0.5,0.5,0.1,4,0,23,36,63.9,5,20,4,2,1,23,36,63.9,331,102,13,18,72.2,9,14,64.3,0,2,0.0,0,0.1,0.1,3,2,0,0,5,36,31,5,1,1,0,4,0,4,0,3,0,23,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,42,0,2,17,23,6,42,2,1,50.0,0,0.0,20,107,70,4,0,4,1,0,29,15,0,0,0,2,1,0,4,0,0,0,0,0,4,0,1,0.0
James Trafford,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,1,0,45,53,84.9,0,31,0,0,0,45,53,84.9,991,751,11,11,100.0,26,26,100.0,8,16,50.0,0,0.0,0.0,0,1,0,0,0,53,48,5,1,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,54,30,51,3,0,0,54,0,0,,0,,31,97,57,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jay Rodriguez,1,0,0,0,2,1,0,0,34,0,0,1,0.2,0.2,0.0,2,0,20,29,69.0,5,11,0,0,0,20,29,69.0,281,78,12,15,80.0,6,8,75.0,1,3,33.3,0,0.0,0.0,0,2,0,0,5,29,29,0,0,0,0,1,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,34,2,4,15,15,2,34,0,0,,0,,11,28,3,0,0,0,1,0,24,4,0,0,0,1,0,1,1,0,0,0,0,0,4,3,4,42.9
Jordan Beyer,0,1,0,0,1,0,1,0,62,3,0,0,0.1,0.1,0.2,1,1,54,58,93.1,3,33,1,0,0,54,58,93.1,1151,244,12,13,92.3,34,34,100.0,8,10,80.0,1,0.2,0.0,1,4,0,0,3,58,55,3,2,0,1,0,1,0,0,0,0,54,0,1,3,3,1,2,0,2,2,100.0,0,0,0,0,0,3,0,0,62,2,22,37,3,1,62,0,0,,0,,33,161,99,1,0,0,0,0,41,0,1,0,0,1,0,0,0,0,3,0,0,0,6,0,1,0.0
Josh Brownhill,1,0,0,0,2,2,0,0,66,3,1,0,0.1,0.1,0.0,1,0,53,60,88.3,8,31,1,0,0,53,60,88.3,860,186,18,20,90.0,30,35,85.7,1,1,100.0,0,0.0,0.0,0,3,1,0,8,60,57,3,3,0,0,0,0,0,0,0,0,53,0,0,3,1,1,1,1,3,3,100.0,0,0,0,0,1,4,1,0,66,2,14,32,20,0,66,0,0,,0,,31,154,80,1,1,0,0,0,48,2,0,0,0,0,2,0,0,1,1,0,0,0,3,3,1,75.0
Jóhann Berg Guðmundsson,0,0,0,0,1,0,0,0,27,0,0,0,0.1,0.1,0.3,6,0,18,23,78.3,6,21,1,1,0,18,23,78.3,330,174,8,8,100.0,7,8,87.5,3,6,50.0,0,0.3,0.1,5,4,3,0,6,23,19,3,1,0,1,3,0,2,2,0,0,18,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,0,0,10,17,3,27,1,0,0.0,1,100.0,21,118,44,1,1,0,2,0,24,6,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,
