,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Nicolas Jackson,Chelsea,0.05,0.06,Saved,10.0,Left Foot,,Raheem Sterling,Pass (Live),Raheem Sterling,Take-On
1,3,Cole Palmer,Chelsea,0.11,,Off Target,15.0,Left Foot,,Cole Palmer,Take-On,Raheem Sterling,Pass (Live)
2,7,Antoine Semenyo,Bournemouth,0.1,0.12,Saved,17.0,Right Foot,Volley,Antoine Semenyo,Pass (Live),Max Aarons,Pass (Dead)
3,14,Conor Gallagher,Chelsea,0.05,,Off Target,30.0,Right Foot,,Moisés Caicedo,Tackle,,
4,17,Moisés Caicedo,Chelsea,0.04,0.4,Goal,55.0,Right Foot,,,,,
5,19,Marcos Senesi,Bournemouth,0.11,,Off Target,8.0,Head,,Marcus Tavernier,Pass (Dead),Max Aarons,Pass (Dead)
6,19,Justin Kluivert,Bournemouth,0.05,,Off Target,11.0,Right Foot,Volley,Marcos Senesi,Shot,,
7,22,Nicolas Jackson,Chelsea,0.03,,Blocked,10.0,Right Foot,,Nicolas Jackson,Take-On,Benoît Badiashile,Pass (Live)
8,23,Enes Ünal,Bournemouth,0.08,0.02,Saved,9.0,Head,,Milos Kerkez,Pass (Live),Antoine Semenyo,Pass (Live)
9,26,Ryan Christie,Bournemouth,0.1,,Blocked,21.0,Left Foot,,Marcus Tavernier,Pass (Live),Marcus Tavernier,Tackle
10,31,Raheem Sterling,Chelsea,0.01,,Off Target,26.0,Right Foot,Volley,Cole Palmer,Pass (Live),Noni Madueke,Pass (Live)
11,34,Antoine Semenyo,Bournemouth,0.02,,Off Target,29.0,Right Foot,,Marcos Senesi,Pass (Live),Marcus Tavernier,Pass (Live)
12,43,Ryan Christie,Bournemouth,0.03,,Off Target,31.0,Left Foot,,Marcus Tavernier,Pass (Live),Illia Zabarnyi,Pass (Live)
13,43,Noni Madueke,Chelsea,0.05,,Blocked,18.0,Left Foot,,Raheem Sterling,Pass (Live),,
14,45,Marcus Tavernier,Bournemouth,0.1,,Blocked,16.0,Left Foot,,Enes Ünal,Pass (Live),Antoine Semenyo,Pass (Live)
15,45+1,Justin Kluivert,Bournemouth,0.08,,Off Target,16.0,Right Foot,,Marcus Tavernier,Pass (Live),Marcus Tavernier,Shot
16,45+2,Nicolas Jackson,Chelsea,0.16,,Blocked,4.0,Right Foot,,Cole Palmer,Pass (Live),Noni Madueke,Pass (Live)
17,45+2,Marcus Tavernier,Bournemouth,0.03,0.31,Saved,22.0,Left Foot,,Lewis Cook,Pass (Live),,
18,,,,,,,,,,,,,
19,47,Enes Ünal,Bournemouth,0.51,,Off Target,8.0,Left Foot,,Lewis Cook,Shot,,
20,47,Lewis Cook,Bournemouth,0.03,,Off Target,24.0,Right Foot,,Marcus Tavernier,Pass (Live),Justin Kluivert,Pass (Live)
21,48,Raheem Sterling,Chelsea,0.18,0.18,Goal,8.0,Left Foot,,Raheem Sterling,Take-On,Cole Palmer,Pass (Live)
22,49,Enes Ünal,Bournemouth,0.08,,Off Target,13.0,Left Foot,,Milos Kerkez,Pass (Live),Marcos Senesi,Pass (Live)
23,53,Antoine Semenyo,Bournemouth,0.08,,Off Target,21.0,Left Foot,,Marcos Senesi,Pass (Live),Marcos Senesi,Tackle
24,54,Cole Palmer,Chelsea,0.04,,Blocked,23.0,Left Foot,,Nicolas Jackson,Pass (Live),Noni Madueke,Pass (Live)
25,60,Dango Ouattara,Bournemouth,0.02,,Blocked,15.0,Right Foot,Volley,Ryan Christie,Pass (Dead),Marcos Senesi,Fouled
26,62,Enes Ünal,Bournemouth,0.03,,Off Target,11.0,Head,,Marcos Senesi,Pass (Live),Illia Zabarnyi,Pass (Live)
27,68,Christopher Nkunku,Chelsea,0.05,,Off Target,11.0,Head,,Cole Palmer,Pass (Dead),Marc Cucurella,Fouled
28,73,Philip Billing,Bournemouth,0.02,,Off Target,24.0,Left Foot,Volley,,,,
29,79,Dominic Solanke,Bournemouth,0.04,,Woodwork,13.0,Right Foot,,Dango Ouattara,Pass (Live),Dango Ouattara,Tackle
30,81,Nicolas Jackson,Chelsea,0.03,,Blocked,21.0,Right Foot,,Marc Cucurella,Pass (Live),Cole Palmer,Pass (Live)
31,82,Malo Gusto,Chelsea,0.02,0.1,Saved,14.0,Right Foot,,Lesley Ugochukwu,Pass (Live),Conor Gallagher,Pass (Live)
32,83,Christopher Nkunku,Chelsea,0.07,0.05,Saved,15.0,Right Foot,,Nicolas Jackson,Pass (Live),Christopher Nkunku,Pass (Live)
33,87,Cole Palmer,Chelsea,0.03,,Blocked,17.0,Left Foot,,Lesley Ugochukwu,Pass (Live),Malo Gusto,Pass (Live)
34,88,Dango Ouattara,Bournemouth,0.05,0.08,Saved,25.0,Left Foot,,Ryan Christie,Pass (Live),Philip Billing,Pass (Live)
35,90+3,Conor Gallagher,Chelsea,0.21,0.85,Saved,14.0,Left Foot,,Conor Gallagher,Take-On,Cesare Casadei,Tackle
36,90+4,Dango Ouattara,Bournemouth,0.15,0.06,Saved,16.0,Left Foot,,Antoine Semenyo,Pass (Live),Lewis Cook,Pass (Live)
37,90+4,Ryan Christie,Bournemouth,0.27,,Blocked,10.0,Right Foot,,Dango Ouattara,Shot,,
38,90+4,Dominic Solanke,Bournemouth,0.44,,Off Target,10.0,Left Foot,,Ryan Christie,Shot,,
