player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,6,1,3,0,369,28,13,11,0.4,0.4,0.3,10,0,150,246,61.0,16,122,6,18,7,150,246,61.0,2778,1387,80,110,72.7,52,71,73.2,17,58,29.3,0,0.3,0.2,5,10,4,1,16,246,210,35,11,0,3,8,8,5,2,1,1,150,1,6,28,15,22,4,2,13,25,52.0,12,11,5,6,13,41,25,2,369,65,172,134,67,13,369,18,7,38.9,8,44.4,122,900,406,6,4,4,10,8,149,16,3,0,0,14,9,1,8,13,15,0,0,0,51,12,10,54.5
Andre Brooks,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,0,0,4,10,40.0,0,6,0,3,2,4,10,40.0,42,13,4,7,57.1,0,0,,0,2,0.0,0,0.0,0.0,0,1,0,0,0,10,10,0,0,0,0,1,0,0,0,0,0,4,0,2,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,1,0,17,1,6,8,3,0,17,3,2,66.7,1,33.3,6,38,2,0,0,0,1,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0.0
Anel Ahmedhodžić,0,0,0,0,1,0,0,0,33,0,0,1,0.1,0.1,0.0,0,0,15,20,75.0,0,10,0,1,1,15,20,75.0,283,124,6,7,85.7,8,11,72.7,1,2,50.0,0,0.0,0.0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,7,0,33,6,17,16,1,1,33,1,1,100.0,0,0.0,10,121,58,0,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,1,66.7
Anis Ben Slimane,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,2,5,40.0,0,5,1,4,0,2,5,40.0,15,10,2,5,40.0,0,0,,0,0,,0,0.1,0.0,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10,0,2,4,4,1,10,4,0,0.0,2,50.0,5,62,38,1,1,1,0,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,
Auston Trusty,0,0,0,0,0,0,0,0,24,2,0,2,0.0,0.0,0.0,0,0,9,15,60.0,0,8,0,0,0,9,15,60.0,178,95,4,4,100.0,3,5,60.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,9,0,2,2,2,2,0,0,0,1,0.0,1,2,2,0,0,2,4,1,24,6,21,2,1,0,24,0,0,,0,,8,34,15,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,
Cameron Archer,0,0,0,0,3,0,0,0,34,4,0,1,0.2,0.2,0.0,1,0,19,24,79.2,1,19,3,1,1,19,24,79.2,287,86,12,15,80.0,4,4,100.0,2,3,66.7,0,0.0,0.0,0,1,0,0,1,24,21,3,0,0,0,0,0,0,0,0,0,19,0,1,4,4,3,1,0,2,2,100.0,0,1,1,0,0,4,0,0,34,1,12,14,9,2,34,1,1,100.0,0,0.0,19,143,74,3,1,2,2,4,18,4,0,0,0,1,0,0,0,0,4,0,0,0,9,0,0,
Gustavo Hamer,0,0,0,0,1,1,1,0,29,0,1,0,0.0,0.0,0.1,4,0,14,23,60.9,1,10,0,1,0,14,23,60.9,232,83,8,11,72.7,5,5,100.0,1,7,14.3,0,0.1,0.1,3,1,0,0,1,23,16,7,3,0,0,3,0,4,1,1,1,14,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,29,1,5,13,11,1,29,1,0,0.0,1,100.0,10,83,22,0,0,0,0,1,10,2,1,0,0,2,0,1,3,1,0,0,0,0,5,0,0,
James Mcatee,0,0,0,0,0,0,1,0,35,1,2,0,0.0,0.0,0.1,2,0,11,20,55.0,1,14,1,5,2,11,20,55.0,145,44,8,12,66.7,3,6,50.0,0,1,0.0,0,0.1,0.0,1,0,1,0,1,20,19,0,0,0,0,1,0,0,0,0,0,11,1,0,1,1,0,0,1,0,1,0.0,1,0,0,0,2,3,3,0,35,5,13,8,15,3,35,5,2,40.0,3,60.0,14,77,36,1,1,1,4,0,15,7,1,0,0,0,2,0,1,2,1,0,0,0,6,0,2,0.0
Jayden Bogle,0,0,0,0,1,0,0,0,32,9,2,1,0.0,0.0,0.0,1,0,14,19,73.7,3,8,0,1,0,14,19,73.7,234,79,8,10,80.0,5,5,100.0,1,4,25.0,0,0.0,0.0,0,0,1,0,3,19,16,3,0,0,1,0,3,0,0,0,0,14,0,1,9,2,7,2,0,5,7,71.4,2,1,1,0,2,11,2,0,32,4,16,12,4,1,32,1,0,0.0,0,0.0,8,51,44,0,1,0,0,0,13,2,0,0,0,3,3,0,0,2,2,0,0,0,6,0,0,
Max Lowe,0,0,0,0,0,0,1,0,39,5,4,2,0.0,0.0,0.0,0,0,12,19,63.2,3,5,1,0,0,12,19,63.2,178,93,8,9,88.9,4,9,44.4,0,1,0.0,0,0.0,0.0,0,2,1,0,3,19,14,5,0,0,0,1,5,0,0,0,0,12,0,0,5,2,4,0,1,3,6,50.0,3,2,0,2,4,9,5,0,39,8,21,12,6,1,39,0,0,,0,,5,40,20,1,0,0,1,0,7,0,1,0,0,1,1,0,1,4,2,0,0,0,1,0,0,
