,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,10,Nicolas Jackson,Chelsea,0.02,0.11,Saved,13.0,Right Foot,,Conor Gallagher,Pass (Dead),Noni Madueke,Fouled
1,15,Nicolas Jackson,Chelsea,0.07,,Blocked,11.0,Right Foot,Volley,Noni Madueke,Pass (Live),Trevoh Chalobah,Pass (Live)
2,15,Cole Palmer,Chelsea,0.17,0.32,Goal,15.0,Left Foot,,Nicolas Jackson,Shot,,
3,16,Jarrod Bowen,West Ham,0.04,,Woodwork,8.0,Head,,Emerson Palmieri,Pass (Dead),Michail Antonio,Take-On
4,18,Noni Madueke,Chelsea,0.12,,Blocked,16.0,Left Foot,,Mykhailo Mudryk,Pass (Live),Conor Gallagher,Pass (Live)
5,18,Trevoh Chalobah,Chelsea,0.15,0.04,Saved,8.0,Head,,Mykhailo Mudryk,Pass (Dead),Noni Madueke,Shot
6,21,Nicolas Jackson,Chelsea,0.04,,Off Target,12.0,Head,,Thiago Silva,Pass (Live),Trevoh Chalobah,Pass (Live)
7,26,Nicolas Jackson,Chelsea,0.06,0.1,Saved,18.0,Right Foot,,Noni Madueke,Pass (Live),Moisés Caicedo,Take-On
8,28,Cole Palmer,Chelsea,0.02,,Off Target,26.0,Left Foot,,Noni Madueke,Pass (Live),Cole Palmer,Pass (Live)
9,30,Conor Gallagher,Chelsea,0.15,0.79,Goal,13.0,Right Foot,Volley,Cole Palmer,Pass (Live),Moisés Caicedo,Pass (Live)
10,33,Noni Madueke,Chelsea,0.03,0.26,Saved,21.0,Left Foot,,Cole Palmer,Pass (Live),Nicolas Jackson,Pass (Live)
11,35,Noni Madueke,Chelsea,0.06,,Blocked,23.0,Left Foot,,Noni Madueke,Take-On,Conor Gallagher,Pass (Live)
12,36,Thiago Silva,Chelsea,0.11,,Off Target,8.0,Head,,Conor Gallagher,Pass (Dead),Noni Madueke,Shot
13,36,Noni Madueke,Chelsea,0.35,0.63,Goal,4.0,Head,,Thiago Silva,Shot,,
14,38,Conor Gallagher,Chelsea,0.67,,Woodwork,5.0,Left Foot,Volley,Cole Palmer,Pass (Live),Noni Madueke,Pass (Live)
15,43,Tomáš Souček,West Ham,0.05,,Blocked,21.0,Left Foot,,Vladimír Coufal,Pass (Dead),Jarrod Bowen,Fouled
16,44,Jarrod Bowen,West Ham,0.12,,Woodwork,11.0,Left Foot,Volley,Vladimír Coufal,Take-On,Lucas Paquetá,Pass (Live)
17,45+1,Cole Palmer,Chelsea,0.07,,Blocked,29.0,Left Foot,Free kick,Nicolas Jackson,Fouled,Nicolas Jackson,Take-On
18,,,,,,,,,,,,,
19,48,Nicolas Jackson,Chelsea,0.83,0.44,Goal,8.0,Left Foot,,Noni Madueke,Pass (Live),Trevoh Chalobah,Pass (Live)
20,49,Mykhailo Mudryk,Chelsea,0.1,0.04,Saved,22.0,Right Foot,,Nicolas Jackson,Pass (Live),,
21,53,Emerson Palmieri,West Ham,0.26,,Off Target,10.0,Left Foot,,Lucas Paquetá,Pass (Live),James Ward-Prowse,Pass (Live)
22,55,James Ward-Prowse,West Ham,0.04,0.25,Saved,25.0,Right Foot,Free kick,James Ward-Prowse,Fouled,Emerson Palmieri,Pass (Live)
23,61,Noni Madueke,Chelsea,0.05,,Blocked,15.0,Left Foot,,Nicolas Jackson,Pass (Live),Conor Gallagher,Pass (Live)
24,62,Nicolas Jackson,Chelsea,0.05,,Blocked,15.0,Right Foot,,Noni Madueke,Pass (Live),Conor Gallagher,Pass (Live)
25,64,Cole Palmer,Chelsea,0.1,0.29,Saved,22.0,Left Foot,,Noni Madueke,Pass (Live),Noni Madueke,Take-On
26,66,Noni Madueke,Chelsea,0.03,0.17,Saved,15.0,Left Foot,,Nicolas Jackson,Pass (Live),Thiago Silva,Pass (Live)
27,67,Michail Antonio,West Ham,0.06,,Blocked,20.0,Right Foot,,Lucas Paquetá,Pass (Live),James Ward-Prowse,Pass (Live)
28,67,Lucas Paquetá,West Ham,0.06,,Off Target,6.0,Head,,James Ward-Prowse,Pass (Dead),Michail Antonio,Shot
29,71,James Ward-Prowse,West Ham,0.03,,Off Target,30.0,Right Foot,Free kick,Mohammed Kudus,Fouled,Mohammed Kudus,Take-On
30,72,Mykhailo Mudryk,Chelsea,0.27,0.19,Saved,14.0,Right Foot,,Cole Palmer,Pass (Live),Cole Palmer,Take-On
31,74,Noni Madueke,Chelsea,0.04,0.24,Saved,19.0,Left Foot,,Cole Palmer,Pass (Live),Mykhailo Mudryk,Pass (Live)
32,79,Emerson Palmieri,West Ham,0.04,,Off Target,15.0,Left Foot,,Aaron Cresswell,Pass (Live),Danny Ings,Pass (Live)
33,79,Jarrod Bowen,West Ham,0.12,,Off Target,9.0,Left Foot,,Emerson Palmieri,Shot,,
34,80,Nicolas Jackson,Chelsea,0.64,0.94,Goal,14.0,Right Foot,,Moisés Caicedo,Pass (Live),,
35,85,Mohammed Kudus,West Ham,0.02,0.38,Saved,30.0,Left Foot,,Mohammed Kudus,Take-On,Vladimír Coufal,Pass (Live)
36,90+1,Moisés Caicedo,Chelsea,0.03,,Blocked,28.0,Right Foot,,Cesare Casadei,Pass (Live),Christopher Nkunku,Pass (Live)
37,90+4,Mohammed Kudus,West Ham,0.01,,Blocked,25.0,Left Foot,,Mohammed Kudus,Take-On,Tomáš Souček,Pass (Live)
38,90+5,Jarrod Bowen,West Ham,0.03,,Off Target,19.0,Left Foot,,James Ward-Prowse,Pass (Dead),Mohammed Kudus,Shot
