player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,3,2,1,1,13,6,2,0,512,18,8,20,2.0,1.2,0.7,22,4,305,386,79.0,13,303,17,22,8,305,386,79.0,4682,1593,159,173,91.9,109,129,84.5,20,57,35.1,2,0.7,0.6,8,8,3,0,13,386,339,47,14,2,1,6,18,1,1,0,0,305,0,9,18,12,11,5,2,11,23,47.8,12,20,4,16,8,26,31,0,512,75,235,193,93,24,511,22,8,36.4,11,50.0,303,1593,821,17,12,7,13,2,302,13,2,0,0,11,15,0,6,8,12,1,0,0,40,9,11,45.0
Craig Dawson,0,0,0,0,0,0,0,0,37,2,0,2,0.0,0.0,0.0,0,0,24,25,96.0,0,23,0,0,0,24,25,96.0,523,130,7,7,100.0,14,15,93.3,3,3,100.0,0,0.0,0.0,0,0,0,0,0,25,25,0,0,0,1,0,0,0,0,0,0,24,0,0,2,1,1,1,0,2,2,100.0,0,2,2,0,0,2,6,0,37,14,32,5,0,0,37,0,0,,0,,23,94,20,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,50.0
Hugo Bueno,0,0,0,0,0,0,0,0,8,2,1,0,0.0,0.0,0.0,1,0,5,6,83.3,0,5,0,0,0,5,6,83.3,42,25,3,3,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,1,1,0,1,2,50.0,1,0,0,0,1,3,1,0,8,2,6,3,0,0,8,0,0,,0,,5,23,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,
Jean-Ricner Bellegarde,0,0,0,0,1,1,0,0,18,0,1,2,0.2,0.2,0.0,0,0,9,9,100.0,2,9,0,2,0,9,9,100.0,102,39,6,6,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,1,0,2,9,8,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0,18,0,3,12,4,2,18,2,0,0.0,2,100.0,9,40,26,0,0,0,2,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
José Sá,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,17,32,53.1,0,15,0,0,0,17,32,53.1,424,248,5,5,100.0,7,7,100.0,4,19,21.1,0,0.0,0.0,0,1,0,0,0,32,16,16,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,34,26,33,1,0,0,34,0,0,,0,,15,80,39,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
João Gomes,0,1,0,0,0,0,0,0,36,6,2,4,0.0,0.0,0.1,1,1,18,22,81.8,1,15,0,0,0,18,22,81.8,291,99,10,10,100.0,7,7,100.0,1,3,33.3,1,0.1,0.0,1,1,1,0,1,22,22,0,0,1,0,0,0,0,0,0,0,18,0,2,6,4,5,1,0,2,4,50.0,2,4,0,4,2,8,0,0,36,1,13,18,5,1,36,0,0,,0,,15,79,31,0,0,0,2,1,17,0,0,0,0,3,0,0,0,2,4,0,0,0,2,1,1,50.0
Mario Lemina,0,0,0,0,0,0,0,0,44,2,0,2,0.0,0.0,0.1,1,0,31,36,86.1,1,21,0,0,0,31,36,86.1,478,98,14,17,82.4,14,16,87.5,1,1,100.0,0,0.1,0.0,1,0,0,0,1,36,35,1,1,0,0,0,0,0,0,0,0,31,0,0,2,2,1,0,1,2,2,100.0,0,2,0,2,0,2,4,0,44,4,19,20,6,0,44,0,0,,0,,21,70,14,0,0,0,0,0,24,0,0,0,0,3,1,0,0,0,2,0,0,0,8,1,0,100.0
Matheus Cunha,3,0,1,1,4,3,0,0,47,0,0,1,1.2,0.4,0.1,5,2,26,32,81.3,1,40,9,6,2,26,32,81.3,291,37,18,21,85.7,6,6,100.0,0,2,0.0,0,0.1,0.1,1,0,0,0,1,32,30,2,2,1,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,47,0,9,20,19,6,46,6,2,33.3,2,33.3,40,291,188,9,6,3,2,0,39,6,0,0,0,0,6,0,0,0,0,1,0,0,5,0,3,0.0
Matt Doherty,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2,1,1,0,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
Max Kilman,0,0,0,0,0,0,0,0,46,0,1,1,0.0,0.0,0.0,0,0,30,39,76.9,0,33,0,0,0,30,39,76.9,652,240,10,11,90.9,14,15,93.3,6,12,50.0,0,0.0,0.0,0,0,0,0,0,39,37,2,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,6,0,46,11,37,8,1,0,46,0,0,,0,,33,158,87,0,1,0,0,0,32,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,100.0
