player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,3,3,0,0,16,10,1,0,545,24,10,6,2.1,2.1,1.9,26,6,334,431,77.5,36,305,10,16,5,334,431,77.5,5697,2175,159,179,88.8,139,162,85.8,30,75,40.0,3,1.9,1.0,12,31,11,3,36,431,381,49,13,1,3,17,16,4,3,0,0,334,1,5,24,13,12,9,3,10,19,52.6,9,6,2,4,10,34,20,0,545,59,177,227,147,29,545,16,5,31.3,10,62.5,305,1332,739,10,5,5,15,16,332,36,1,0,0,12,10,1,17,10,13,0,0,0,58,12,13,48.0
Cheick Doucouré,0,0,0,0,0,0,0,0,48,6,4,0,0.0,0.0,0.0,1,1,31,35,88.6,2,26,2,2,1,31,35,88.6,446,136,17,19,89.5,12,13,92.3,1,1,100.0,0,0.0,0.0,0,2,1,0,2,35,34,1,1,0,0,0,0,0,0,0,0,31,0,1,6,5,3,2,1,3,5,60.0,2,0,0,0,4,10,1,0,48,0,11,28,10,1,48,2,1,50.0,1,50.0,26,121,77,2,0,0,0,1,24,1,0,0,0,1,0,0,0,4,5,0,0,0,9,0,0,
Eberechi Eze,1,0,0,0,3,3,0,0,52,4,0,1,0.6,0.6,0.2,5,0,29,38,76.3,3,31,3,5,3,29,38,76.3,466,138,14,16,87.5,12,15,80.0,2,6,33.3,0,0.2,0.1,4,1,3,1,3,38,27,11,5,0,0,8,0,4,3,0,0,29,0,0,4,1,0,2,2,2,2,100.0,0,1,0,1,0,4,0,0,52,0,1,18,33,5,52,5,3,60.0,2,40.0,31,213,87,3,2,4,3,3,35,7,0,0,0,0,1,1,8,0,1,0,0,0,5,1,1,50.0
Jean-Philippe Mateta,0,2,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.7,3,2,6,7,85.7,1,7,0,0,0,6,7,85.7,67,15,6,6,100.0,0,1,0.0,0,0,,2,0.7,0.1,2,0,1,0,1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,3,8,1,11,0,0,,0,,7,30,0,0,0,0,2,1,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Jefferson Lerma,0,0,0,0,1,1,0,0,48,2,1,2,0.1,0.1,0.5,3,0,31,39,79.5,2,32,2,0,0,31,39,79.5,488,123,16,17,94.1,13,14,92.9,2,7,28.6,0,0.5,0.2,2,6,0,0,2,39,38,1,0,1,1,1,1,0,0,0,0,31,0,0,2,1,1,1,0,0,5,0.0,5,2,0,2,1,3,1,0,48,0,12,26,11,3,48,0,0,,0,,32,122,62,2,1,0,0,1,34,1,0,0,0,0,0,0,1,1,1,0,0,0,5,1,0,100.0
Jeffrey Schlupp,0,0,0,0,2,2,0,0,23,0,1,0,0.2,0.2,0.2,1,0,10,14,71.4,0,13,0,1,0,10,14,71.4,127,14,7,9,77.8,3,3,100.0,0,1,0.0,0,0.2,0.2,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,23,2,4,8,12,3,23,1,0,0.0,1,100.0,13,10,2,0,0,0,3,2,15,3,0,0,0,1,2,0,0,1,0,0,0,0,3,3,1,75.0
Joachim Andersen,0,0,0,0,0,0,0,0,74,1,2,1,0.0,0.0,0.0,1,0,48,64,75.0,9,43,2,0,0,48,64,75.0,1089,456,12,16,75.0,28,32,87.5,8,16,50.0,0,0.0,0.0,0,10,0,0,9,64,61,3,2,0,2,2,1,0,0,0,0,48,0,0,1,1,1,0,0,1,1,100.0,0,1,1,0,2,3,7,0,74,11,31,38,5,3,74,0,0,,0,,43,254,197,2,0,0,0,0,51,1,0,0,0,1,1,0,2,2,1,0,0,0,3,2,1,66.7
Joel Ward,0,0,0,0,1,0,1,0,54,3,0,0,0.0,0.0,0.0,1,1,29,41,70.7,6,16,0,0,0,29,41,70.7,472,267,16,17,94.1,9,11,81.8,3,11,27.3,0,0.0,0.0,0,3,1,0,6,41,35,6,0,0,0,0,6,0,0,0,0,29,0,1,3,2,2,1,0,2,2,100.0,0,0,0,0,0,3,7,0,54,2,23,25,6,0,54,0,0,,0,,16,30,14,0,0,0,1,0,22,0,1,0,0,1,0,0,0,0,2,0,0,0,5,0,1,0.0
Jordan Ayew,0,0,0,0,2,1,0,0,55,6,1,0,0.5,0.5,0.2,3,0,24,37,64.9,3,40,0,4,0,24,37,64.9,311,79,19,22,86.4,3,9,33.3,2,5,40.0,0,0.2,0.1,1,0,2,1,3,37,37,0,0,0,0,5,0,0,0,0,0,24,0,1,6,1,3,3,0,0,2,0.0,2,0,0,0,1,7,0,0,55,0,12,23,20,3,55,4,0,0.0,3,75.0,40,167,45,0,2,0,2,3,34,12,0,0,0,3,5,0,5,1,1,0,0,0,12,3,3,50.0
Marc Guéhi,0,0,0,0,0,0,0,0,59,2,0,1,0.0,0.0,0.0,0,0,48,54,88.9,3,38,0,0,0,48,54,88.9,876,303,19,20,95.0,24,25,96.0,5,9,55.6,0,0.0,0.0,0,7,0,0,3,54,53,1,1,0,0,0,0,0,0,0,0,48,0,0,2,2,2,0,0,2,2,100.0,0,1,1,0,0,2,1,0,59,9,27,29,3,0,59,0,0,,0,,38,129,85,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,100.0
Odsonne Édouard,2,0,0,0,7,3,0,0,28,0,1,1,0.8,0.8,0.0,4,1,11,15,73.3,4,13,1,3,1,11,15,73.3,184,71,4,5,80.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0,2,1,0,4,15,14,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,28,0,2,12,16,8,28,3,1,33.3,2,66.7,13,76,52,1,0,1,3,2,21,3,0,0,0,2,0,0,0,1,0,0,0,0,3,1,5,16.7
Sam Johnstone,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,25,36,69.4,0,20,0,0,0,25,36,69.4,606,410,6,6,100.0,13,13,100.0,6,17,35.3,0,0.0,0.0,0,0,0,0,0,36,22,14,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37,33,37,0,0,0,37,0,0,,0,,20,120,91,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Tyrick Mitchell,0,1,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.2,3,1,38,47,80.9,3,22,0,1,0,38,47,80.9,512,163,22,25,88.0,15,19,78.9,0,1,0.0,1,0.2,0.2,1,0,2,1,3,47,36,11,3,0,0,1,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,51,2,17,16,19,2,51,1,0,0.0,1,100.0,22,57,27,0,0,0,0,2,23,4,0,0,0,1,1,0,1,0,0,0,0,0,10,0,0,
Will Hughes,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,1,0,4,4,100.0,0,4,0,0,0,4,4,100.0,53,0,1,1,100.0,2,2,100.0,0,0,,0,0.1,0.0,1,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,1,4,0,5,0,0,,0,,4,3,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
