player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,3,3,0,0,12,5,1,0,454,24,8,13,1.3,1.3,1.2,20,4,239,343,69.7,19,250,16,15,4,239,343,69.7,4471,1872,97,114,85.1,112,142,78.9,25,63,39.7,3,1.2,0.5,11,17,6,2,19,343,298,43,14,0,1,14,16,2,1,1,0,239,2,12,24,12,16,7,1,10,21,47.6,11,13,3,10,8,32,28,0,454,90,221,156,85,16,454,15,4,26.7,11,73.3,250,1491,721,16,8,3,6,5,237,19,1,0,0,16,9,2,14,8,12,0,0,0,45,12,17,41.4
Adama Traoré,1,0,0,0,1,1,0,0,4,1,0,0,0.4,0.4,0.0,0,0,1,2,50.0,0,2,1,0,0,1,2,50.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,4,0,1,1,2,1,4,0,0,,0,,2,20,18,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alex Iwobi,0,0,0,0,0,0,0,0,22,1,1,1,0.0,0.0,0.3,3,0,14,18,77.8,3,20,5,5,2,14,18,77.8,262,85,6,8,75.0,6,8,75.0,2,2,100.0,0,0.3,0.1,3,1,3,1,3,18,18,0,0,0,1,3,0,0,0,0,0,14,0,0,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,22,0,5,11,8,1,22,5,2,40.0,3,60.0,20,199,110,5,4,0,1,1,15,4,0,0,0,1,0,0,3,1,1,0,0,0,7,0,2,0.0
Andreas Pereira,0,0,0,0,3,1,0,0,36,1,0,2,0.2,0.2,0.0,4,0,19,27,70.4,4,21,0,2,0,19,27,70.4,349,124,7,9,77.8,9,9,100.0,2,5,40.0,0,0.0,0.0,1,1,0,0,4,27,24,3,1,0,0,3,0,2,1,1,0,19,0,3,1,0,0,1,0,1,3,33.3,2,2,0,2,0,1,0,0,36,0,7,16,14,1,36,2,0,0.0,2,100.0,21,94,15,0,0,0,0,0,20,2,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,
Antonee Robinson,0,0,0,0,0,0,0,0,53,3,1,2,0.0,0.0,0.0,2,0,22,43,51.2,2,27,2,3,2,22,43,51.2,402,186,8,15,53.3,13,19,68.4,1,6,16.7,0,0.0,0.0,0,1,0,0,2,43,35,8,1,0,0,3,7,0,0,0,0,22,0,1,3,2,2,1,0,2,4,50.0,2,2,0,2,1,4,1,0,53,5,25,17,12,3,53,3,2,66.7,1,33.3,27,210,115,2,3,0,0,0,25,3,0,0,0,2,1,0,3,1,2,0,0,0,2,1,0,100.0
Armando Broja,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,1,0,2,2,100.0,17,9,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,1,3,0,4,1,0,0.0,1,100.0,2,12,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Bernd Leno,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,24,42,57.1,0,34,0,0,0,24,42,57.1,673,444,3,3,100.0,14,14,100.0,7,25,28.0,0,0.0,0.0,0,1,0,0,0,42,32,10,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,43,38,43,0,0,0,43,0,0,,0,,34,107,33,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Bobby Reid,0,1,0,0,0,0,1,0,3,1,0,0,0.0,0.0,0.4,2,2,3,3,100.0,0,2,1,0,0,3,3,100.0,39,12,1,1,100.0,2,2,100.0,0,0,,1,0.4,0.0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,3,0,0,1,2,0,3,0,0,,0,,2,26,23,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
Calvin Bassey,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.0,0,0,31,35,88.6,1,24,0,0,0,31,35,88.6,533,166,14,14,100.0,16,18,88.9,1,3,33.3,0,0.0,0.0,0,1,0,0,1,35,28,7,1,0,0,0,0,0,0,0,0,31,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,4,0,42,14,30,12,0,0,42,0,0,,0,,24,196,110,0,0,0,0,0,20,0,0,0,0,1,1,0,0,0,1,0,0,0,8,0,1,0.0
Harrison Reed,0,0,0,0,1,1,0,0,36,3,1,4,0.1,0.1,0.0,1,1,17,24,70.8,3,11,2,0,0,17,24,70.8,258,53,7,7,100.0,7,10,70.0,1,4,25.0,0,0.0,0.0,0,2,0,0,3,24,23,1,0,0,0,1,0,0,0,0,0,17,0,1,3,1,2,1,0,0,2,0.0,2,4,2,2,1,4,3,0,36,4,10,16,10,0,36,0,0,,0,,11,90,61,2,1,0,0,1,18,1,0,0,0,2,3,0,1,1,1,0,0,0,4,2,2,50.0
