,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,10.0,Mykhailo Mudryk,Chelsea,0.05,,Off Target,16.0,Right Foot,,Enzo Fernández,Pass (Live),Cole Palmer,Pass (Live)
1,18.0,Mykhailo Mudryk,Chelsea,0.51,0.14,Goal,11.0,Left Foot,,Levi Colwill,Pass (Live),Moisés Caicedo,Pass (Live)
2,19.0,Armando Broja,Chelsea,0.22,0.29,Goal,13.0,Right Foot,,Cole Palmer,Interception,,
3,28.0,Enzo Fernández,Chelsea,0.1,,Off Target,25.0,Right Foot,,,,,
4,40.0,Cole Palmer,Chelsea,0.01,,Off Target,59.0,Left Foot,Free kick,Moisés Caicedo,Fouled,Conor Gallagher,Pass (Live)
5,41.0,Raúl Jiménez,Fulham,0.03,,Off Target,11.0,Head,,Andreas Pereira,Pass (Dead),Andreas Pereira,Pass (Live)
6,,,,,,,,,,,,,
7,48.0,Armando Broja,Chelsea,0.22,,Off Target,7.0,Head,,Cole Palmer,Pass (Live),Conor Gallagher,Pass (Live)
8,55.0,Cole Palmer,Chelsea,0.04,0.08,Saved,30.0,Left Foot,,,,,
9,56.0,Alex Iwobi,Fulham,0.11,,Off Target,6.0,Right Foot,Volley,Antonee Robinson,Pass (Live),Willian,Pass (Live)
10,59.0,Alex Iwobi,Fulham,0.07,,Blocked,18.0,Right Foot,,Carlos Vinícius,Pass (Live),Timothy Castagne,Pass (Live)
11,62.0,Carlos Vinícius,Fulham,0.12,,Off Target,10.0,Head,,Harrison Reed,Pass (Live),Timothy Castagne,Pass (Live)
12,63.0,Ian Maatsen,Chelsea,0.15,,Woodwork,17.0,Left Foot,,Conor Gallagher,Pass (Live),Armando Broja,Pass (Live)
13,63.0,Enzo Fernández,Chelsea,0.32,0.31,Saved,11.0,Left Foot,,Ian Maatsen,Shot,,
14,65.0,Axel Disasi,Chelsea,0.08,,Off Target,9.0,Head,,Ian Maatsen,Pass (Dead),Enzo Fernández,Shot
15,66.0,Timothy Castagne,Fulham,0.02,,Blocked,12.0,Head,,Andreas Pereira,Pass (Dead),Tim Ream,Pass (Live)
16,74.0,Carlos Vinícius,Fulham,0.09,0.07,Saved,12.0,Head,,Alex Iwobi,Pass (Live),Timothy Castagne,Pass (Live)
17,77.0,Saša Lukić,Fulham,0.58,0.8,Saved,7.0,Right Foot,,Tom Cairney,Pass (Live),Willian,Pass (Live)
18,77.0,Timothy Castagne,Fulham,0.08,,Blocked,14.0,Right Foot,Volley,Saša Lukić,Shot,,
19,81.0,Conor Gallagher,Chelsea,0.06,,Blocked,19.0,Right Foot,,,,,
20,84.0,Willian,Fulham,0.01,0.12,Saved,32.0,Right Foot,,Tom Cairney,Pass (Live),Antonee Robinson,Pass (Live)
21,86.0,Carlos Vinícius,Fulham,0.03,,Off Target,9.0,Head,,Willian,Pass (Dead),Saša Lukić,Pass (Live)
