player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,3,2,0,0,14,7,0,0,804,12,10,9,1.0,1.0,0.5,22,5,592,702,84.3,49,538,23,21,11,592,702,84.3,10181,3380,279,301,92.7,270,294,91.8,38,76,50.0,2,0.5,0.7,9,27,8,1,49,702,662,37,4,3,7,15,19,4,0,2,0,592,3,16,12,6,4,8,0,7,16,43.8,9,9,1,8,10,22,14,0,804,65,268,417,124,24,804,21,11,52.4,7,33.3,538,2640,1323,23,13,8,16,5,589,49,0,0,0,11,5,3,15,10,6,0,0,0,52,14,11,56.0
Alexis Mac Allister,0,0,0,0,0,0,0,0,12,1,2,0,0.0,0.0,0.0,0,0,6,7,85.7,0,3,0,0,0,6,7,85.7,108,15,2,2,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,1,0,12,1,4,7,1,0,12,0,0,,0,,3,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,
Alisson,0,0,0,0,0,0,0,0,61,0,0,0,0.0,0.0,0.0,0,0,55,59,93.2,0,53,0,0,0,55,59,93.2,1089,645,16,16,100.0,35,35,100.0,4,8,50.0,0,0.0,0.0,0,0,0,0,0,59,56,3,1,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,61,39,61,0,0,0,61,0,0,,0,,53,174,93,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Andrew Robertson,0,0,0,0,0,0,0,0,78,2,0,2,0.0,0.0,0.1,2,0,57,70,81.4,8,48,4,1,0,57,70,81.4,1018,439,23,23,100.0,27,32,84.4,5,10,50.0,0,0.1,0.1,2,5,1,0,8,70,60,10,1,0,0,6,6,3,0,2,0,57,0,2,2,1,1,1,0,2,2,100.0,0,2,0,2,0,2,2,0,78,3,15,48,15,1,78,1,0,0.0,1,100.0,48,222,117,4,2,0,1,0,50,7,0,0,0,0,0,0,6,0,1,0,0,0,6,2,0,100.0
Cody Gakpo,0,1,0,0,4,3,0,0,51,2,3,0,0.1,0.1,0.1,6,3,32,39,82.1,6,37,5,4,3,32,39,82.1,448,101,22,27,81.5,8,8,100.0,1,2,50.0,1,0.1,0.1,2,5,0,0,6,39,38,1,0,0,1,2,1,0,0,0,0,32,0,1,2,1,0,2,0,1,2,50.0,1,0,0,0,3,5,0,0,51,1,8,21,24,6,51,4,3,75.0,1,25.0,37,264,173,5,2,2,1,2,34,9,0,0,0,0,2,0,2,3,1,0,0,0,10,0,0,
Darwin Núñez,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,1,0,0,1,4,25.0,9,0,1,2,50.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,7,0,1,3,3,1,7,0,0,,0,,3,9,8,1,0,1,2,0,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,50.0
Diogo Jota,1,0,0,0,3,2,0,0,32,0,1,1,0.4,0.4,0.1,3,1,11,19,57.9,2,22,6,5,1,11,19,57.9,132,13,10,12,83.3,1,2,50.0,0,0,,0,0.1,0.0,1,1,0,0,2,19,19,0,0,1,0,1,0,0,0,0,0,11,0,3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,32,0,2,8,23,10,32,5,1,20.0,3,60.0,22,162,92,6,2,4,2,0,26,11,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0.0
Dominik Szoboszlai,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,1,0,0,0,1,5,20.0,10,0,1,2,50.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,,0,,1,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Harvey Elliott,0,1,0,0,4,0,0,0,71,1,0,2,0.2,0.2,0.1,2,1,52,61,85.2,7,44,2,3,1,52,61,85.2,780,127,35,37,94.6,15,18,83.3,2,3,66.7,1,0.1,0.0,1,1,2,0,7,61,58,3,0,0,0,0,1,0,0,0,0,52,0,2,1,0,1,0,0,1,3,33.3,2,2,0,2,0,1,1,0,71,1,7,47,18,1,71,3,1,33.3,1,33.3,44,213,78,2,2,0,1,0,51,5,0,0,0,2,1,0,0,0,0,0,0,0,8,1,1,50.0
Jarell Quansah,0,0,0,0,0,0,0,0,116,2,1,1,0.0,0.0,0.0,0,0,97,107,90.7,4,88,0,0,0,97,107,90.7,1776,462,33,35,94.3,59,62,95.2,5,9,55.6,0,0.0,0.0,0,5,0,0,4,107,106,1,0,0,1,0,0,0,0,0,0,97,0,0,2,2,1,1,0,0,0,,0,1,1,0,1,3,2,0,116,5,63,53,0,0,116,0,0,,0,,88,460,226,0,0,0,0,0,89,0,0,0,0,0,0,0,0,1,2,0,0,0,6,4,3,57.1
