player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,5,5,0,0,14,8,2,0,905,21,8,7,2.4,2.4,2.4,27,9,708,802,88.3,46,566,23,15,10,708,802,88.3,12162,3753,306,324,94.4,329,355,92.7,53,84,63.1,5,2.4,1.5,14,41,11,3,46,802,762,40,10,8,6,17,20,3,2,1,0,708,0,12,21,9,14,6,1,10,19,52.6,9,7,1,6,8,29,20,1,905,75,306,437,171,22,905,15,10,66.7,5,33.3,566,2601,1372,23,15,3,14,5,704,46,2,0,0,5,9,0,17,8,9,0,0,0,58,14,5,73.7
Alex Iwobi,0,1,0,0,5,1,0,0,57,0,0,0,0.5,0.5,0.2,6,3,39,49,79.6,3,49,5,1,1,39,49,79.6,629,132,20,24,83.3,17,17,100.0,1,3,33.3,1,0.2,0.0,2,0,1,0,3,49,49,0,0,0,0,3,0,0,0,0,0,39,0,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,57,0,5,20,34,7,57,1,1,100.0,0,0.0,49,359,205,5,6,1,1,1,52,14,0,0,0,0,1,0,3,0,0,0,0,0,6,0,0,
Andreas Pereira,0,1,0,0,1,0,0,0,72,2,0,1,0.0,0.0,0.7,6,1,55,64,85.9,8,51,8,3,1,55,64,85.9,806,210,30,32,93.8,14,17,82.4,5,8,62.5,1,0.7,0.4,5,8,2,0,8,64,58,6,2,1,1,6,0,3,2,1,0,55,0,1,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,1,0,72,1,5,41,27,2,72,3,1,33.3,2,66.7,51,285,185,8,4,0,2,2,59,5,0,0,0,0,1,0,6,0,1,0,0,0,3,0,0,
Antonee Robinson,0,0,0,0,0,0,0,0,67,4,1,0,0.0,0.0,0.0,3,0,48,56,85.7,2,31,1,1,0,48,56,85.7,802,290,22,23,95.7,22,27,81.5,4,5,80.0,0,0.0,0.0,1,4,1,1,2,56,51,5,1,0,0,5,4,0,0,0,0,48,0,1,4,1,3,1,0,0,2,0.0,2,0,0,0,1,5,3,0,67,3,20,31,16,1,67,1,0,0.0,1,100.0,31,122,55,1,1,0,2,0,41,3,0,0,0,0,0,0,5,1,1,0,0,0,5,3,2,60.0
Bernd Leno,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,46,49,93.9,0,30,0,0,0,46,49,93.9,948,457,6,6,100.0,34,34,100.0,5,8,62.5,0,0.0,0.0,0,0,0,0,0,49,46,3,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,51,39,51,0,0,0,51,0,0,,0,,30,126,85,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0
Bobby Reid,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,5,0,0,0,6,8,75.0,100,13,3,4,75.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,8,7,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,3,4,2,0,9,0,0,,0,,5,10,7,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,100.0
Calvin Bassey,0,0,0,0,0,0,0,0,99,2,0,2,0.0,0.0,0.0,0,0,80,92,87.0,3,51,0,1,1,80,92,87.0,1475,403,24,25,96.0,47,51,92.2,7,10,70.0,0,0.0,0.0,0,4,0,0,3,92,87,5,1,0,1,0,0,0,0,0,0,80,0,4,2,2,2,0,0,1,1,100.0,0,2,1,1,0,2,3,1,99,11,57,43,0,0,99,1,1,100.0,0,0.0,51,218,119,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,2,0,0,0,7,3,0,100.0
Carlos Vinícius,1,0,0,0,1,1,0,0,6,0,0,0,0.8,0.8,0.0,0,0,4,4,100.0,0,4,0,0,0,4,4,100.0,56,14,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,6,0,0,2,4,1,6,0,0,,0,,4,19,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Fodé Ballo-Touré,0,0,0,0,0,0,1,0,20,1,1,1,0.0,0.0,0.0,0,0,11,16,68.8,0,5,1,0,0,11,16,68.8,178,54,4,6,66.7,7,10,70.0,0,0,,0,0.0,0.0,0,0,0,0,0,16,11,5,0,0,0,0,5,0,0,0,0,11,0,0,1,0,1,0,0,0,0,,0,1,0,1,1,2,1,0,20,2,13,7,0,0,20,0,0,,0,,5,56,15,1,0,0,0,0,6,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,
Harrison Reed,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,1,25,26,96.2,0,21,0,1,1,25,26,96.2,421,113,13,14,92.9,11,11,100.0,1,1,100.0,0,0.0,0.3,0,1,1,0,0,26,26,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,28,0,7,21,0,0,28,1,1,100.0,0,0.0,21,70,16,0,0,0,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
