player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,3,1,2,2,10,4,2,0,798,17,16,8,2.9,1.3,1.2,24,6,569,687,82.8,53,461,16,10,4,569,687,82.8,9935,3190,253,281,90.0,251,283,88.7,53,88,60.2,1,1.2,1.2,8,35,14,2,53,687,637,49,12,1,3,18,23,6,0,2,0,569,1,17,17,7,4,7,6,8,13,61.5,5,8,0,8,16,33,14,1,798,67,232,381,187,24,796,10,4,40.0,4,40.0,461,1836,904,16,14,3,20,7,565,53,2,0,0,13,13,1,18,16,7,2,1,0,51,11,6,64.7
Alex Iwobi,1,0,0,0,4,3,0,0,64,1,1,1,1.0,1.0,0.0,1,0,39,50,78.0,7,44,4,1,1,39,50,78.0,721,256,19,22,86.4,15,20,75.0,5,7,71.4,0,0.0,0.6,0,3,3,1,7,50,49,1,0,1,0,2,0,0,0,0,0,39,0,1,1,1,0,1,0,0,0,,0,1,0,1,1,2,1,0,64,2,6,33,25,3,64,1,1,100.0,0,0.0,44,204,122,4,4,1,4,1,52,11,0,0,0,0,0,0,2,1,1,0,0,0,3,0,1,0.0
Andreas Pereira,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.1,2,0,29,41,70.7,2,24,1,0,0,29,41,70.7,496,184,18,20,90.0,6,10,60.0,4,10,40.0,0,0.1,0.1,1,5,0,0,2,41,31,10,2,0,1,9,0,6,0,2,0,29,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,47,0,3,17,27,2,47,0,0,,0,,24,103,55,1,3,0,4,1,30,7,0,0,0,1,1,0,9,0,1,0,0,0,4,0,0,
Antonee Robinson,0,1,0,0,1,0,0,0,84,2,2,2,0.0,0.0,0.7,2,1,48,71,67.6,6,37,2,3,1,48,71,67.6,861,373,21,28,75.0,22,27,81.5,5,12,41.7,1,0.7,0.3,1,4,1,1,6,71,60,11,0,0,0,3,11,0,0,0,0,48,0,5,2,1,1,1,0,1,2,50.0,1,2,0,2,2,4,3,0,84,5,25,33,27,3,84,3,1,33.3,1,33.3,37,161,96,2,3,0,2,0,48,5,0,0,0,0,0,1,3,2,1,0,0,0,6,2,0,100.0
Bernd Leno,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,32,37,86.5,0,23,0,0,0,32,37,86.5,623,381,12,12,100.0,17,17,100.0,3,8,37.5,0,0.0,0.0,0,0,0,0,0,37,33,4,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,43,35,42,1,0,0,43,0,0,,0,,23,150,76,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Calvin Bassey,0,0,0,0,0,0,0,0,94,1,3,1,0.0,0.0,0.0,3,0,76,84,90.5,1,63,1,1,0,76,84,90.5,1475,350,22,22,100.0,42,44,95.5,9,14,64.3,0,0.0,0.0,0,0,0,0,1,84,82,2,1,0,1,0,1,0,0,0,0,76,0,0,1,0,1,0,0,1,1,100.0,0,1,0,1,3,4,0,0,94,10,46,45,3,0,94,1,0,0.0,1,100.0,63,234,93,1,0,0,0,0,71,0,0,0,0,2,0,0,0,3,0,0,0,0,5,3,1,75.0
Carlos Vinícius,0,0,0,0,0,0,1,0,9,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,1,0,3,4,75.0,34,6,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,9,0,0,8,1,0,9,1,0,0.0,1,100.0,4,18,0,0,1,0,2,1,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Harrison Reed,0,0,0,0,1,0,0,0,82,1,2,0,0.0,0.0,0.0,1,0,67,75,89.3,9,43,0,1,1,67,75,89.3,1201,367,26,30,86.7,34,36,94.4,7,8,87.5,0,0.0,0.0,1,6,2,0,9,75,74,1,1,0,0,0,0,0,0,0,0,67,0,1,1,0,0,0,1,0,1,0.0,1,0,0,0,2,3,1,0,82,2,21,53,8,0,82,1,1,100.0,0,0.0,43,140,55,0,0,0,2,0,61,0,0,0,0,1,0,0,0,2,0,0,0,0,10,0,1,0.0
Harry Wilson,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,2,1,3,10,30.0,0,10,1,2,1,3,10,30.0,29,11,3,3,100.0,0,2,0.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,13,0,1,5,8,1,13,2,1,50.0,1,50.0,10,85,50,1,2,1,0,0,9,4,0,0,0,1,2,0,0,1,0,1,0,0,2,0,0,
Raúl Jiménez,0,0,0,0,1,0,0,0,30,2,0,1,0.1,0.1,0.0,0,0,14,21,66.7,0,17,0,0,0,14,21,66.7,132,17,9,10,90.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,14,0,3,2,0,1,1,0,2,2,100.0,0,1,0,1,0,2,1,0,30,1,4,13,13,4,30,0,0,,0,,17,55,9,0,0,1,1,1,22,3,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,66.7
