,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,1,Gabriel Jesus,Arsenal,0.06,,Blocked,18.0,Right Foot,Volley,Martin Ødegaard,Pass (Live),William Saliba,Pass (Live)
1,2,Gabriel Jesus,Arsenal,0.13,0.13,Saved,4.0,Head,,Bukayo Saka,Pass (Dead),Gabriel Jesus,Shot
2,4,Gabriel Magalhães,Arsenal,0.12,0.22,Goal,10.0,Head,,Martin Ødegaard,Pass (Dead),Kai Havertz,Fouled
3,13,Gabriel Jesus,Arsenal,0.02,,Off Target,15.0,Right Foot,,Gabriel Martinelli,Pass (Live),Martin Ødegaard,Pass (Live)
4,14,Mohamed Salah,Liverpool,0.1,,Off Target,9.0,Left Foot,Volley,Cody Gakpo,Pass (Live),Wataru Endo,Pass (Live)
5,20,Bukayo Saka,Arsenal,0.03,,Blocked,18.0,Left Foot,,Bukayo Saka,Take-On,Ben White,Pass (Live)
6,20,Martin Ødegaard,Arsenal,0.06,,Off Target,15.0,Right Foot,,Ben White,Pass (Live),Bukayo Saka,Pass (Live)
7,27,Curtis Jones,Liverpool,0.03,,Blocked,30.0,Right Foot,,Ibrahima Konaté,Pass (Live),Trent Alexander-Arnold,Pass (Live)
8,29,Mohamed Salah,Liverpool,0.08,0.29,Goal,12.0,Left Foot,,Mohamed Salah,Take-On,Trent Alexander-Arnold,Pass (Live)
9,41,Gabriel Martinelli,Arsenal,0.14,,Off Target,14.0,Right Foot,,Gabriel Jesus,Pass (Live),Martin Ødegaard,Pass (Live)
10,45+5,Dominik Szoboszlai,Liverpool,0.03,,Blocked,39.0,Right Foot,Free kick,Wataru Endo,Fouled,Trent Alexander-Arnold,Pass (Dead)
11,,,,,,,,,,,,,
12,50,Mohamed Salah,Liverpool,0.08,0.22,Saved,17.0,Left Foot,Deflected,Curtis Jones,Pass (Live),Wataru Endo,Tackle
13,52,Luis Díaz,Liverpool,0.08,,Off Target,18.0,Right Foot,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live)
14,54,Joe Gomez,Liverpool,0.02,,Off Target,16.0,Right Foot,,Luis Díaz,Pass (Live),Dominik Szoboszlai,Pass (Live)
15,57,Luis Díaz,Liverpool,0.01,,Blocked,29.0,Right Foot,,Joe Gomez,Pass (Live),Curtis Jones,Pass (Live)
16,58,Gabriel Jesus,Arsenal,0.05,,Off Target,13.0,Right Foot,,,,,
17,60,Oleksandr Zinchenko,Arsenal,0.04,,Off Target,21.0,Left Foot,,Martin Ødegaard,Pass (Live),Bukayo Saka,Take-On
18,62,Dominik Szoboszlai,Liverpool,0.04,,Off Target,28.0,Right Foot,,Cody Gakpo,Pass (Live),Virgil van Dijk,Pass (Live)
19,71,Harvey Elliott,Liverpool,0.02,,Blocked,25.0,Left Foot,,Trent Alexander-Arnold,Pass (Live),,
20,72,Trent Alexander-Arnold,Liverpool,0.41,,Woodwork,12.0,Right Foot,,Mohamed Salah,Pass (Live),,
21,74,Joe Gomez,Liverpool,0.03,0.11,Saved,15.0,Left Foot,,Harvey Elliott,Pass (Live),Ryan Gravenberch,Pass (Live)
22,76,Darwin Núñez,Liverpool,0.03,,Off Target,12.0,Head,,Trent Alexander-Arnold,Pass (Dead),Joe Gomez,Shot
23,80,Oleksandr Zinchenko,Arsenal,0.03,,Blocked,29.0,Left Foot,,Bukayo Saka,Pass (Live),Declan Rice,Pass (Live)
24,80,Declan Rice,Arsenal,0.02,,Blocked,26.0,Right Foot,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live)
25,81,Kai Havertz,Arsenal,0.02,,Off Target,15.0,Left Foot,,Oleksandr Zinchenko,Pass (Live),Declan Rice,Pass (Live)
26,90+1,Bukayo Saka,Arsenal,0.01,,Blocked,26.0,Left Foot,,Martin Ødegaard,Pass (Live),,
