player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,9,4,2,0,442,14,6,18,1.4,1.4,0.7,14,1,203,310,65.5,21,181,13,27,16,203,310,65.5,3736,1600,91,115,79.1,88,111,79.3,23,69,33.3,1,0.7,0.5,6,16,5,1,21,310,263,45,13,1,1,9,17,3,1,2,0,203,2,9,14,9,7,7,0,9,14,64.3,5,18,9,9,6,20,40,0,442,93,196,173,80,14,442,27,16,59.3,9,33.3,181,1248,568,13,8,3,8,13,202,21,2,0,0,13,11,2,9,6,9,0,0,0,39,14,24,36.8
Aaron Ramsey,0,0,0,0,1,0,0,0,30,2,1,3,0.0,0.0,0.0,0,0,11,19,57.9,1,15,0,0,0,11,19,57.9,157,11,7,11,63.6,4,5,80.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,19,18,1,1,0,0,1,0,0,0,0,0,11,0,2,2,2,1,1,0,2,4,50.0,2,3,1,2,1,3,2,0,30,2,13,14,3,1,30,0,0,,0,,15,72,3,0,1,0,0,1,17,2,0,0,0,0,1,0,1,1,2,0,0,0,6,0,2,0.0
Dara O'Shea,1,0,0,0,1,1,1,0,40,0,0,2,0.0,0.0,0.1,2,0,19,27,70.4,2,14,0,0,0,19,27,70.4,455,235,3,4,75.0,11,14,78.6,5,8,62.5,0,0.1,0.0,1,2,1,0,2,27,27,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,,0,2,2,0,0,0,6,0,40,10,25,11,4,2,40,0,0,,0,,14,52,12,0,0,0,1,0,16,0,1,0,0,1,0,0,0,0,0,0,0,0,7,6,5,54.5
David Datro Fofana,0,0,0,0,2,1,0,0,19,0,0,1,0.8,0.8,0.2,2,0,7,10,70.0,0,11,1,3,3,7,10,70.0,81,36,3,3,100.0,3,3,100.0,0,0,,0,0.2,0.0,1,1,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,19,1,5,6,8,3,19,3,3,100.0,0,0.0,11,71,40,1,0,0,2,2,12,2,0,0,0,1,2,1,0,0,0,0,0,0,1,1,5,16.7
Han-Noah Massengo,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,3,1,0,0,3,6,50.0,30,15,3,5,60.0,0,1,0.0,0,0,,0,0.0,0.0,0,1,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,1,5,1,0,7,0,0,,0,,3,19,6,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
Hannes Delcroix,0,0,0,0,0,0,0,0,54,2,0,2,0.0,0.0,0.0,1,0,29,39,74.4,6,17,1,2,0,29,39,74.4,494,257,16,19,84.2,12,17,70.6,1,2,50.0,0,0.0,0.0,0,6,1,1,6,39,30,9,0,0,0,2,9,0,0,0,0,29,0,0,2,1,1,1,0,0,0,,0,2,0,2,0,2,8,0,54,6,18,26,10,0,54,2,0,0.0,2,100.0,17,110,58,1,0,0,0,2,23,2,0,0,0,1,0,0,2,0,1,0,0,0,3,1,2,33.3
Jacob Bruun Larsen,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0,2,2,100.0,38,28,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,3,0,0,2,2,0,3,0,0,,0,,2,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
James Trafford,0,0,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.0,1,0,22,54,40.7,0,27,0,0,0,22,54,40.7,649,537,3,3,100.0,10,10,100.0,9,41,22.0,0,0.0,0.0,0,1,0,0,0,54,36,18,10,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,57,40,53,4,0,0,57,0,0,,0,,27,246,108,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Brownhill,0,1,0,0,0,0,1,0,45,1,0,3,0.0,0.0,0.0,2,1,22,36,61.1,2,17,0,0,0,22,36,61.1,349,122,13,19,68.4,6,10,60.0,3,7,42.9,1,0.0,0.0,1,2,0,0,2,36,32,4,1,0,0,5,0,3,1,2,0,22,0,0,1,1,0,1,0,1,1,100.0,0,3,3,0,0,1,1,0,45,2,10,22,13,0,45,0,0,,0,,17,33,13,0,0,0,1,1,20,2,1,0,0,3,0,1,5,0,1,0,0,0,2,2,1,66.7
Lorenz Assignon,0,0,0,0,1,0,0,0,44,6,1,3,0.0,0.0,0.0,0,0,19,27,70.4,0,10,1,6,4,19,27,70.4,253,83,14,15,93.3,5,9,55.6,0,2,0.0,0,0.0,0.0,0,0,0,0,0,27,21,5,0,0,0,0,5,0,0,0,0,19,1,0,6,2,4,2,0,4,4,100.0,0,3,0,3,1,7,4,0,44,5,20,20,6,0,44,6,4,66.7,2,33.3,10,73,32,1,0,0,1,0,11,1,0,0,0,4,1,0,0,1,2,0,0,0,3,0,1,0.0
Maxime Estève,0,0,0,0,0,0,0,0,29,1,1,2,0.0,0.0,0.0,0,0,10,17,58.8,1,6,0,0,0,10,17,58.8,188,55,2,4,50.0,7,10,70.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,1,0,0,1,2,50.0,1,2,1,1,1,2,7,0,29,12,20,9,0,0,29,0,0,,0,,6,15,14,0,0,0,0,1,8,0,0,0,0,0,3,0,0,1,1,0,0,0,6,1,0,100.0
Sander Berge,0,0,0,0,0,0,0,0,49,2,2,1,0.0,0.0,0.0,1,0,29,33,87.9,2,17,2,1,1,29,33,87.9,557,112,10,10,100.0,16,17,94.1,3,5,60.0,0,0.0,0.0,1,0,1,0,2,33,31,2,1,0,1,0,1,0,0,0,0,29,0,1,2,2,0,2,0,1,1,100.0,0,1,1,0,2,4,10,0,49,11,22,21,6,1,49,1,1,100.0,0,0.0,17,125,59,2,1,0,0,0,23,0,0,0,0,1,0,0,0,2,2,0,0,0,4,3,2,60.0
Vitinho,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,2,7,28.6,0,5,1,1,0,2,7,28.6,42,0,1,3,33.3,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,7,5,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,9,2,4,4,1,0,9,1,0,0.0,0,0.0,5,108,83,1,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Wilson Odobert,0,0,0,0,2,0,0,0,27,0,0,0,0.2,0.2,0.0,1,0,13,15,86.7,2,19,4,9,4,13,15,86.7,169,37,8,10,80.0,5,5,100.0,0,0,,0,0.0,0.1,0,0,1,0,2,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,1,1,10,18,5,27,9,4,44.4,4,44.4,19,167,86,4,3,2,0,2,20,7,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0.0
Zeki Amdouni,0,0,0,0,2,2,0,0,29,0,0,1,0.3,0.3,0.4,4,0,15,18,83.3,4,18,2,5,4,15,18,83.3,274,72,7,8,87.5,8,8,100.0,0,0,,0,0.4,0.2,2,1,1,0,4,18,13,4,0,1,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,29,1,4,19,8,2,29,5,4,80.0,1,20.0,18,148,53,2,2,1,3,3,20,5,0,0,0,2,1,0,0,0,0,0,0,0,2,0,3,0.0
