player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,2,1,0,0,36,13,1,0,779,22,8,10,4.9,4.9,3.4,64,3,592,664,89.2,76,428,35,21,5,592,664,89.2,9478,3280,313,334,93.7,205,222,92.3,48,68,70.6,1,3.4,2.4,29,65,20,2,76,664,620,41,12,0,2,25,14,10,2,7,0,592,3,4,22,13,9,8,5,11,26,42.3,15,10,2,8,8,30,6,0,779,34,102,342,344,63,779,21,5,23.8,14,66.7,428,2545,1314,35,19,13,13,9,589,76,1,0,0,14,10,3,25,8,13,0,0,0,53,14,4,77.8
Alexis Mac Allister,1,0,0,0,2,1,0,0,49,3,1,0,0.6,0.6,0.2,4,0,39,42,92.9,4,20,3,0,0,39,42,92.9,491,121,25,26,96.2,6,6,100.0,2,2,100.0,0,0.2,0.1,3,1,3,0,4,42,41,1,1,0,1,0,0,0,0,0,0,39,0,1,3,2,1,2,0,2,2,100.0,0,0,0,0,1,4,2,0,49,4,5,17,27,3,49,0,0,,0,,20,129,76,3,3,0,1,0,33,3,0,0,0,0,2,0,0,1,2,0,0,0,3,3,0,100.0
Alisson,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,0,8,0,0,0,17,19,89.5,342,211,5,5,100.0,11,11,100.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0,19,14,5,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,14,20,1,0,0,21,0,0,,0,,8,29,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Andrew Robertson,0,0,0,0,0,0,0,0,102,1,0,1,0.0,0.0,0.7,15,0,90,98,91.8,18,58,5,1,1,90,98,91.8,1421,463,47,50,94.0,31,32,96.9,8,12,66.7,0,0.7,0.8,7,12,6,1,18,98,91,7,2,0,0,6,3,2,0,2,0,90,0,0,1,0,0,0,1,1,3,33.3,2,1,0,1,0,1,0,0,102,1,11,44,51,6,102,1,1,100.0,0,0.0,58,304,202,5,3,0,1,1,84,12,0,0,0,0,0,0,6,0,0,0,0,0,8,1,0,100.0
Cody Gakpo,0,0,0,0,5,1,0,0,48,1,1,1,0.9,0.9,0.3,8,0,30,35,85.7,4,35,3,1,0,30,35,85.7,437,95,17,18,94.4,10,11,90.9,2,3,66.7,0,0.3,0.4,1,1,1,0,4,35,35,0,0,0,0,1,0,0,0,0,0,30,0,1,1,0,1,0,0,1,4,25.0,3,1,0,1,1,2,0,0,48,1,3,12,34,12,48,1,0,0.0,1,100.0,35,167,103,3,1,1,2,1,39,10,0,0,0,1,2,0,1,1,0,0,0,0,7,2,1,66.7
Conor Bradley,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,15,16,93.8,0,5,1,1,0,15,16,93.8,224,34,8,8,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,16,9,7,2,0,0,0,5,0,0,0,0,15,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,18,0,2,9,7,0,18,1,0,0.0,1,100.0,5,35,28,1,1,0,0,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.0
Curtis Jones,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,12,12,100.0,2,8,1,0,0,12,12,100.0,162,54,8,8,100.0,4,4,100.0,0,0,,0,0.1,0.0,1,1,1,0,2,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,0,0,7,5,0,12,0,0,,0,,8,55,38,1,0,0,0,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darwin Núñez,0,0,0,0,1,0,0,0,8,1,0,1,0.1,0.1,0.0,0,0,3,5,60.0,1,4,0,0,0,3,5,60.0,48,28,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,8,0,0,2,6,1,8,0,0,,0,,4,35,1,0,0,0,1,1,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Dominik Szoboszlai,0,0,0,0,1,1,0,0,11,0,0,0,0.0,0.0,0.2,2,0,8,10,80.0,1,8,2,1,0,8,10,80.0,82,28,6,7,85.7,1,1,100.0,0,1,0.0,0,0.2,0.1,2,0,1,0,1,10,10,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,2,10,1,11,1,0,0.0,0,0.0,8,93,71,2,1,1,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Harvey Elliott,0,1,0,0,3,0,0,0,86,2,0,2,0.3,0.3,0.3,10,1,71,78,91.0,14,46,4,0,0,71,78,91.0,1281,385,32,33,97.0,27,31,87.1,10,11,90.9,1,0.3,0.4,5,11,3,1,14,78,70,7,1,0,0,7,0,5,2,2,0,71,1,0,2,0,1,0,1,0,0,,0,2,0,2,0,2,0,0,86,0,2,39,45,3,86,0,0,,0,,46,309,178,4,2,0,1,0,68,10,0,0,0,1,1,0,7,0,0,0,0,0,1,0,0,
