player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,3,3,0,0,14,4,2,0,901,10,5,5,1.7,1.7,1.5,26,6,739,831,88.9,50,449,30,23,13,739,831,88.9,11295,3184,409,437,93.6,269,293,91.8,38,59,64.4,3,1.5,1.6,11,37,7,1,50,831,783,45,14,3,3,11,18,7,3,1,0,739,3,11,10,7,4,3,3,5,10,50.0,5,5,2,3,5,15,9,0,901,54,230,472,207,28,901,23,13,56.5,7,30.4,449,2769,1486,30,19,12,7,13,723,48,2,0,0,3,13,3,11,5,7,0,0,0,40,17,7,70.8
Ederson,0,0,0,0,0,0,1,0,39,0,0,0,0.0,0.0,0.0,0,0,36,38,94.7,1,23,0,0,0,36,38,94.7,786,576,9,9,100.0,22,23,95.7,5,6,83.3,0,0.0,0.0,0,1,0,0,1,38,37,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,39,28,38,1,0,0,39,0,0,,0,,23,128,64,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Erling Haaland,0,0,0,0,2,0,0,0,8,0,0,1,0.2,0.2,0.0,1,0,3,4,75.0,0,2,1,0,0,3,4,75.0,40,6,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,8,0,0,1,7,5,8,0,0,,0,,2,24,21,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Jack Grealish,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,3,1,0,0,5,6,83.3,71,4,2,2,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,7,0,1,4,2,0,7,0,0,,0,,3,19,15,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jeremy Doku,0,0,0,0,0,0,1,0,64,2,2,0,0.0,0.0,0.2,7,0,41,50,82.0,3,38,11,10,6,41,50,82.0,533,108,30,35,85.7,11,15,73.3,0,0,,0,0.2,0.1,4,0,1,0,3,50,46,4,0,0,0,3,3,1,0,0,0,41,0,1,2,1,0,1,1,1,1,100.0,0,0,0,0,2,4,0,0,64,0,3,22,40,6,64,10,6,60.0,3,30.0,38,327,236,11,5,6,1,3,49,17,1,0,0,1,2,1,3,2,1,0,0,0,3,0,0,
John Stones,0,0,0,0,0,0,0,0,111,0,0,2,0.0,0.0,0.0,0,0,98,107,91.6,5,59,0,0,0,98,107,91.6,1622,393,47,50,94.0,39,41,95.1,8,10,80.0,0,0.0,0.0,0,5,0,0,5,107,104,3,1,0,2,0,1,0,0,0,0,98,0,2,0,0,0,0,0,0,1,0.0,1,2,2,0,0,0,2,0,111,8,35,71,5,0,111,0,0,,0,,59,358,152,0,2,0,0,0,90,1,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,100.0
Joško Gvardiol,0,0,0,0,2,0,0,0,116,1,2,0,0.1,0.1,0.0,2,0,104,110,94.5,12,66,1,2,2,104,110,94.5,1461,452,64,65,98.5,33,36,91.7,3,3,100.0,0,0.0,0.2,0,8,1,0,12,110,102,7,2,1,0,0,5,0,0,0,0,104,1,0,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,0,0,116,4,26,69,22,3,116,2,2,100.0,0,0.0,66,432,195,1,2,0,1,1,100,3,0,0,0,1,1,0,0,2,0,0,0,0,4,2,2,50.0
Julián Álvarez,2,0,0,0,2,2,0,0,23,0,0,0,0.9,0.9,0.0,0,0,12,18,66.7,0,11,0,0,0,12,18,66.7,147,19,7,9,77.8,4,7,57.1,0,1,0.0,0,0.0,0.0,0,1,0,0,0,18,15,3,0,0,0,3,0,2,2,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,23,1,4,6,13,2,23,0,0,,0,,11,24,7,0,0,0,2,1,18,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,
Kevin De Bruyne,0,1,0,0,3,0,0,0,69,2,0,0,0.1,0.1,0.4,5,3,50,60,83.3,6,24,2,4,1,50,60,83.3,789,197,33,35,94.3,12,13,92.3,5,6,83.3,1,0.4,0.2,1,5,1,0,6,60,53,5,2,2,0,1,0,3,0,1,0,50,2,1,2,2,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,69,0,3,30,37,2,69,4,1,25.0,2,50.0,24,128,67,2,1,0,0,1,52,2,0,0,0,0,1,0,1,0,2,0,0,0,5,1,1,50.0
Mateo Kovačić,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,16,16,100.0,1,6,0,0,0,16,16,100.0,186,23,9,9,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,18,0,6,11,1,0,18,0,0,,0,,6,35,2,0,1,0,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
