player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
11 Players,1,1,0,0,16,5,1,0,760,22,5,8,1.4,1.4,1.1,30,2,573,650,88.2,58,493,25,25,17,573,650,88.2,10161,3323,250,268,93.3,270,293,92.2,49,73,67.1,1,1.1,1.3,12,56,10,2,58,650,612,35,13,1,2,21,8,9,4,2,1,573,3,9,22,14,8,9,5,9,16,56.3,7,8,2,6,5,27,22,1,760,79,247,304,214,36,760,25,17,68.0,6,24.0,493,2412,1214,25,8,13,13,6,567,57,1,0,0,9,11,3,21,5,14,0,0,0,49,16,7,69.6
Bernardo Silva,0,0,0,0,1,0,1,0,81,5,0,1,0.0,0.0,0.0,4,0,59,70,84.3,14,55,2,4,3,59,70,84.3,1082,344,23,26,88.5,30,34,88.2,6,8,75.0,0,0.0,0.1,2,10,1,1,14,70,65,4,1,0,0,3,1,0,0,0,0,59,1,1,5,3,1,3,1,5,6,83.3,1,1,1,0,0,5,1,0,81,2,10,44,27,4,81,4,3,75.0,1,25.0,55,261,135,2,0,1,1,0,63,8,1,0,0,2,2,0,3,0,3,0,0,0,4,0,1,0.0
Ederson,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,40,44,90.9,0,33,0,0,0,40,44,90.9,873,577,13,13,100.0,19,19,100.0,8,12,66.7,0,0.0,0.0,0,0,0,0,0,44,40,4,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,47,40,47,0,0,0,47,0,0,,0,,33,121,100,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Erling Haaland,1,0,0,0,5,2,0,0,19,2,0,0,0.7,0.7,0.0,0,0,7,10,70.0,0,8,3,0,0,7,10,70.0,71,17,6,8,75.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,0,0,0,7,0,2,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0,19,1,3,5,12,8,19,0,0,,0,,8,62,25,3,0,2,0,0,10,1,0,0,0,1,0,0,1,0,1,0,0,0,4,4,1,80.0
Jeremy Doku,0,0,0,0,2,0,0,0,71,4,0,1,0.1,0.1,0.5,8,0,43,50,86.0,5,58,13,17,12,43,50,86.0,626,103,28,30,93.3,14,19,73.7,1,1,100.0,0,0.5,0.7,4,1,3,1,5,50,50,0,0,0,0,3,0,0,0,0,0,43,0,0,4,3,1,2,1,0,1,0.0,1,1,0,1,0,4,1,0,71,0,3,20,49,14,71,17,12,70.6,3,17.6,58,523,343,13,2,9,7,2,60,25,0,0,0,1,2,0,3,0,3,0,0,0,6,0,0,
Julián Álvarez,0,0,0,0,2,0,0,0,52,1,0,0,0.2,0.2,0.3,4,0,32,44,72.7,7,27,2,1,1,32,44,72.7,587,241,10,12,83.3,16,19,84.2,5,11,45.5,0,0.3,0.3,3,4,1,0,7,44,33,11,2,1,0,11,0,9,4,2,1,32,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,52,0,7,16,29,2,52,1,1,100.0,0,0.0,27,151,67,2,0,0,2,1,33,7,0,0,0,1,1,0,11,0,0,0,0,0,2,1,1,50.0
Kyle Walker,0,0,0,0,0,0,0,0,64,0,3,0,0.0,0.0,0.1,1,0,53,58,91.4,6,40,1,0,0,53,58,91.4,971,253,20,20,100.0,27,28,96.4,5,8,62.5,0,0.1,0.0,1,8,0,0,6,58,54,4,2,0,1,0,2,0,0,0,0,53,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,2,0,64,3,21,33,11,1,64,0,0,,0,,40,166,74,1,1,0,1,0,42,3,0,0,0,0,1,1,0,3,0,0,0,0,5,3,1,75.0
Manuel Akanji,0,0,0,0,0,0,0,0,96,2,0,0,0.0,0.0,0.0,3,0,75,84,89.3,6,57,1,0,0,75,84,89.3,1263,247,34,37,91.9,38,40,95.0,3,5,60.0,0,0.0,0.0,0,4,0,0,6,84,83,0,0,0,0,0,0,0,0,0,0,75,1,1,2,1,0,0,2,0,0,,0,0,0,0,0,2,5,1,96,9,31,43,22,0,96,0,0,,0,,57,229,93,1,0,0,2,0,69,1,0,0,0,2,1,0,0,0,1,0,0,0,6,4,2,66.7
Nathan Aké,0,1,0,0,0,0,0,0,77,3,1,2,0.0,0.0,0.3,2,2,59,67,88.1,4,41,1,1,1,59,67,88.1,888,395,33,35,94.3,26,28,92.9,0,3,0.0,1,0.3,0.0,1,7,0,0,4,67,60,7,1,0,0,0,5,0,0,0,0,59,0,1,3,1,2,1,0,1,2,50.0,1,2,0,2,1,4,5,0,77,4,32,36,10,0,77,1,1,100.0,0,0.0,41,121,25,1,1,0,0,0,51,0,0,0,0,1,1,0,0,1,1,0,0,0,4,2,0,100.0
Phil Foden,0,0,0,0,4,3,0,0,48,1,1,2,0.2,0.2,0.0,2,0,27,36,75.0,4,33,1,1,0,27,36,75.0,427,84,16,18,88.9,9,13,69.2,2,4,50.0,0,0.0,0.0,0,2,0,0,4,36,35,0,0,0,0,2,0,0,0,0,0,27,1,1,1,1,1,0,0,1,3,33.3,2,2,0,2,1,2,2,0,48,1,7,12,30,4,48,1,0,0.0,1,100.0,33,194,88,1,4,0,0,1,38,11,0,0,0,0,3,1,2,1,1,0,0,0,4,0,0,
Rodri,0,0,0,0,1,0,0,0,112,3,0,0,0.0,0.0,0.0,4,0,97,102,95.1,8,77,1,1,0,97,102,95.1,1878,534,36,36,100.0,47,49,95.9,13,13,100.0,0,0.0,0.1,1,12,4,0,8,102,100,2,2,0,1,1,0,0,0,0,0,97,0,2,3,3,2,0,1,1,3,33.3,2,0,0,0,0,3,1,0,112,3,28,63,21,1,112,1,0,0.0,1,100.0,77,297,134,1,0,1,0,2,94,1,0,0,0,0,0,1,1,0,3,0,0,0,9,0,0,
Rúben Dias,0,0,0,0,1,0,0,0,93,1,0,2,0.1,0.1,0.0,2,0,81,85,95.3,4,64,0,0,0,81,85,95.3,1495,528,31,33,93.9,44,44,100.0,6,8,75.0,0,0.0,0.0,0,8,1,0,4,85,82,3,3,0,0,0,0,0,0,0,0,81,0,0,1,1,1,0,0,0,0,,0,2,1,1,0,1,2,0,93,16,58,32,3,2,93,0,0,,0,,64,287,130,0,0,0,0,0,73,0,0,0,0,1,0,0,0,0,1,0,0,0,4,2,1,66.7
