player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,3,3,0,0,8,4,4,0,634,13,4,17,0.5,0.5,0.4,14,6,426,509,83.7,24,327,14,12,5,426,509,83.7,6987,2425,207,235,88.1,198,214,92.5,14,38,36.8,3,0.4,0.4,7,17,4,2,24,509,453,54,16,0,0,14,16,8,3,2,0,426,2,16,13,6,11,2,0,6,15,40.0,9,17,4,13,4,17,37,4,634,132,344,208,85,18,634,12,5,41.7,6,50.0,327,1654,680,14,6,8,22,1,423,24,4,0,0,14,13,2,14,4,6,0,0,1,44,7,9,43.8
Ben Davies,0,0,0,0,0,0,0,0,55,1,1,0,0.0,0.0,0.0,1,1,45,47,95.7,2,36,0,0,0,45,47,95.7,842,413,14,15,93.3,28,29,96.6,2,2,100.0,0,0.0,0.0,0,2,0,0,2,47,44,3,3,0,0,0,0,0,0,0,0,45,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0,55,9,32,22,1,1,55,0,0,,0,,36,178,82,0,0,0,0,0,38,1,0,0,0,0,1,0,0,1,1,0,0,0,4,2,0,100.0
Brennan Johnson,0,1,0,0,2,1,0,0,37,1,0,2,0.0,0.0,0.2,2,1,13,25,52.0,1,14,3,0,0,13,25,52.0,220,17,3,7,42.9,10,14,71.4,0,1,0.0,1,0.2,0.2,2,0,2,1,1,25,23,1,0,0,0,1,1,0,0,0,0,13,1,3,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,4,0,37,6,15,13,10,4,37,0,0,,0,,14,113,71,3,1,1,1,0,22,2,0,0,0,0,3,0,1,0,1,0,0,0,5,0,1,0.0
Bryan Gil,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,0,0,11,14,78.6,1,10,2,1,0,11,14,78.6,160,37,7,9,77.8,4,5,80.0,0,0,,0,0.0,0.0,0,0,1,0,1,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,19,1,5,8,6,1,19,1,0,0.0,1,100.0,10,74,26,2,0,0,1,0,12,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
Dejan Kulusevski,1,1,0,0,1,1,1,0,46,1,0,1,0.1,0.1,0.1,1,1,25,32,78.1,3,28,4,3,1,25,32,78.1,399,112,16,17,94.1,8,9,88.9,1,4,25.0,1,0.1,0.1,1,2,1,1,3,32,31,1,0,0,0,4,0,1,0,0,0,25,0,2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,46,2,11,15,21,5,46,3,1,33.3,2,66.7,28,181,104,4,2,3,6,0,31,6,1,0,0,3,1,1,4,0,1,0,0,0,5,1,0,100.0
Destiny Udogie,0,0,0,0,0,0,1,0,52,3,1,5,0.0,0.0,0.0,1,0,26,35,74.3,1,17,0,0,0,26,35,74.3,391,77,16,18,88.9,10,12,83.3,0,1,0.0,0,0.0,0.0,1,0,0,0,1,35,27,8,1,0,0,1,7,0,0,0,0,26,0,4,3,0,3,0,0,1,3,33.3,2,5,2,3,1,4,7,0,52,11,35,13,4,1,52,0,0,,0,,17,169,34,0,1,0,1,0,23,2,1,0,0,2,0,1,1,1,0,0,0,0,4,0,1,0.0
Emerson,0,0,0,0,0,0,1,0,103,2,0,1,0.0,0.0,0.0,0,0,81,88,92.0,2,60,0,0,0,81,88,92.0,1295,473,40,43,93.0,38,39,97.4,2,2,100.0,0,0.0,0.0,0,0,0,0,2,88,82,6,4,0,0,0,1,0,0,0,0,81,0,3,2,2,1,1,0,1,4,25.0,3,1,0,1,0,2,9,1,103,21,75,22,6,1,103,0,0,,0,,60,221,72,0,1,0,3,0,76,0,1,0,0,1,1,0,0,0,2,0,0,0,5,1,2,33.3
Giovani Lo Celso,1,0,0,0,2,1,0,0,50,0,1,2,0.1,0.1,0.0,1,0,41,42,97.6,3,28,0,0,0,41,42,97.6,602,129,25,25,100.0,14,14,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,3,42,38,4,2,0,0,1,1,1,1,0,0,41,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,50,1,17,24,9,0,50,0,0,,0,,28,123,27,0,1,0,2,0,39,0,0,0,0,2,3,0,1,1,0,0,0,0,2,0,0,
Guglielmo Vicario,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0,0,44,57,77.2,0,32,0,0,0,44,57,77.2,806,416,12,12,100.0,31,32,96.9,1,13,7.7,0,0.0,0.0,0,0,0,0,0,57,45,12,3,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,60,56,60,0,0,0,60,0,0,,0,,32,146,96,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Jamie Donley,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,2,1,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Oliver Skipp,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,9,9,100.0,2,4,0,1,1,9,9,100.0,144,26,4,4,100.0,5,5,100.0,0,0,,0,0.0,0.0,0,1,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,10,0,2,7,1,0,10,1,1,100.0,0,0.0,4,15,6,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
Pedro Porro,0,0,0,0,1,0,1,0,63,2,0,3,0.1,0.1,0.0,1,0,37,49,75.5,2,28,1,2,0,37,49,75.5,641,288,22,27,81.5,11,13,84.6,4,9,44.4,0,0.0,0.0,1,3,0,0,2,49,36,13,1,0,0,6,6,6,2,2,0,37,0,1,2,1,1,1,0,2,2,100.0,0,3,2,1,0,2,1,0,63,7,32,19,12,2,63,2,0,0.0,1,50.0,28,77,33,1,0,1,1,0,32,2,1,0,0,2,2,0,6,0,1,0,0,0,4,0,0,
Pierre Højbjerg,0,0,0,0,1,0,0,0,45,0,0,1,0.0,0.0,0.0,0,0,35,41,85.4,3,24,1,0,0,35,41,85.4,591,226,20,24,83.3,13,13,100.0,2,3,66.7,0,0.0,0.0,0,5,0,0,3,41,40,1,1,0,0,1,0,0,0,0,0,35,0,2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,45,5,18,23,4,1,45,0,0,,0,,24,81,45,1,0,1,0,0,37,2,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,
Richarlison,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
Son Heung-min,1,1,0,0,1,1,0,0,27,1,0,1,0.1,0.1,0.1,7,3,17,20,85.0,4,13,3,2,2,17,20,85.0,318,99,6,9,66.7,9,9,100.0,1,1,100.0,1,0.1,0.0,2,2,0,0,4,20,16,4,0,0,0,0,0,0,0,0,0,17,0,0,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,27,2,6,13,9,2,27,2,2,100.0,0,0.0,13,76,49,3,0,2,2,0,16,5,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,100.0
Yves Bissouma,0,0,0,0,0,0,0,0,63,1,0,1,0.0,0.0,0.0,0,0,42,49,85.7,0,32,0,3,1,42,49,85.7,578,112,22,25,88.0,17,19,89.5,0,0,,0,0.0,0.0,0,0,0,0,0,49,47,1,1,0,0,0,0,0,0,0,0,42,1,0,1,0,1,0,0,0,0,,0,1,0,1,0,1,5,2,63,10,34,27,2,0,63,3,1,33.3,2,66.7,32,200,35,0,0,0,4,1,47,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1,0.0
