player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,1,1,0,0,14,4,2,0,612,16,4,7,1.0,1.0,0.8,24,2,445,539,82.6,45,412,19,34,22,445,539,82.6,7627,2446,213,232,91.8,179,200,89.5,39,76,51.3,1,0.8,0.7,11,43,7,1,45,539,496,39,9,0,5,19,14,8,3,1,1,445,4,9,16,10,6,4,6,10,16,62.5,6,7,0,7,4,20,2,0,612,48,177,284,160,20,612,34,22,64.7,9,26.5,412,1902,956,19,11,8,8,10,445,45,2,0,0,8,9,4,19,4,10,0,0,0,56,1,5,16.7
Aaron Wan-Bissaka,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,1,5,0,0,0,10,11,90.9,147,78,5,5,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,11,10,1,1,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,11,0,5,5,2,0,11,0,0,,0,,5,12,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Alejandro Garnacho,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,7,0,1,0,3,5,60.0,49,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,1,3,5,1,9,1,0,0.0,1,100.0,7,31,4,0,0,0,1,1,5,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,
André Onana,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,30,41,73.2,0,37,0,0,0,30,41,73.2,624,413,9,9,100.0,17,17,100.0,4,15,26.7,0,0.0,0.0,0,0,0,0,0,41,38,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,44,35,44,0,0,0,44,0,0,,0,,37,136,96,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anthony Martial,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,7,0,1,1,7,10,70.0,81,0,5,6,83.3,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,10,8,1,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,10,0,0,5,5,1,10,1,1,100.0,0,0.0,7,48,17,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
Bruno Fernandes,0,0,0,0,2,1,1,0,93,0,0,2,0.1,0.1,0.2,4,1,64,84,76.2,17,62,2,4,2,64,84,76.2,1191,447,32,37,86.5,22,26,84.6,8,16,50.0,0,0.2,0.5,2,11,4,1,17,84,76,8,1,0,2,6,0,5,1,1,0,64,0,3,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,93,0,18,48,28,0,93,4,2,50.0,2,50.0,62,300,146,2,1,0,2,1,73,2,1,0,0,2,1,0,6,0,0,0,0,0,4,0,0,
Casemiro,0,0,0,0,0,0,0,0,52,2,0,4,0.0,0.0,0.1,2,0,36,46,78.3,5,30,2,0,0,36,46,78.3,666,165,16,17,94.1,14,17,82.4,4,9,44.4,0,0.1,0.0,1,4,0,0,5,46,44,1,1,0,1,0,0,0,0,0,0,36,1,0,2,2,0,2,0,1,2,50.0,1,4,0,4,0,2,0,0,52,0,11,36,7,0,52,0,0,,0,,30,111,60,2,2,0,1,1,41,2,0,0,0,1,1,0,0,0,2,0,0,0,4,0,0,
Christian Eriksen,0,0,0,0,0,0,0,0,62,1,0,0,0.0,0.0,0.0,2,0,51,61,83.6,2,39,2,2,2,51,61,83.6,817,140,28,30,93.3,19,21,90.5,2,6,33.3,0,0.0,0.0,0,6,0,0,2,61,54,7,3,0,1,5,1,3,2,0,1,51,0,0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,62,0,11,32,19,2,62,2,2,100.0,0,0.0,39,118,57,2,0,1,0,1,49,4,0,0,0,1,1,0,5,0,1,0,0,0,4,0,0,
Diogo Dalot,0,0,0,0,0,0,0,0,50,6,1,0,0.0,0.0,0.2,4,0,34,42,81.0,4,28,1,5,4,34,42,81.0,636,197,11,11,100.0,18,24,75.0,4,4,100.0,0,0.2,0.1,1,4,1,0,4,42,38,4,0,0,0,1,4,0,0,0,0,34,0,2,6,3,5,1,0,4,4,100.0,0,0,0,0,1,7,0,0,50,2,19,21,10,1,50,5,4,80.0,1,20.0,28,151,83,1,1,1,0,1,23,3,0,0,0,1,0,0,1,1,3,0,0,0,11,0,0,
Facundo Pellistri,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,5,1,2,2,4,5,80.0,57,19,3,3,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,6,0,1,3,2,1,6,2,2,100.0,0,0.0,5,32,19,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
