,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,3,Ben Godfrey,Everton,0.38,0.54,Saved,3.0,Right Foot,,Dwight McNeil,Pass (Live),James Garner,Pass (Live)
1,7,Marcus Rashford,Manchester Utd,0.09,,Blocked,11.0,Left Foot,,Marcus Rashford,Take-On,Bruno Fernandes,Pass (Live)
2,8,Casemiro,Manchester Utd,0.05,0.03,Saved,8.0,Head,,Bruno Fernandes,Pass (Dead),Marcus Rashford,Shot
3,12,Bruno Fernandes (pen),Manchester Utd,0.79,0.99,Goal,13.0,Right Foot,,Alejandro Garnacho,Fouled,Marcus Rashford,Pass (Live)
4,13,Dwight McNeil,Everton,0.03,,Off Target,18.0,Left Foot,Volley,Dwight McNeil,Pass (Live),Ben Godfrey,Pass (Live)
5,17,Bruno Fernandes,Manchester Utd,0.11,,Off Target,14.0,Right Foot,,Alejandro Garnacho,Pass (Live),Raphaël Varane,Pass (Live)
6,19,Jack Harrison,Everton,0.03,,Off Target,25.0,Left Foot,,Vitaliy Mykolenko,Pass (Live),Jordan Pickford,Pass (Live)
7,23,Vitaliy Mykolenko,Everton,0.02,,Blocked,22.0,Left Foot,,Dwight McNeil,Pass (Live),Beto,Pass (Live)
8,24,James Tarkowski,Everton,0.23,,Off Target,4.0,Head,,James Garner,Pass (Dead),Vitaliy Mykolenko,Shot
9,25,James Garner,Everton,0.03,0.08,Saved,28.0,Right Foot,,Amadou Onana,Pass (Live),James Garner,Pass (Live)
10,25,Amadou Onana,Everton,0.06,,Off Target,16.0,Right Foot,,James Garner,Shot,,
11,26,Alejandro Garnacho,Manchester Utd,0.04,,Blocked,17.0,Right Foot,,André Onana,Pass (Live),Raphaël Varane,Pass (Dead)
12,28,Bruno Fernandes,Manchester Utd,0.07,0.22,Saved,23.0,Right Foot,Free kick,Alejandro Garnacho,Fouled,Alejandro Garnacho,Shot
13,30,Dwight McNeil,Everton,0.03,,Off Target,19.0,Left Foot,,Amadou Onana,Pass (Live),Dwight McNeil,Pass (Live)
14,36,Marcus Rashford (pen),Manchester Utd,0.79,0.98,Goal,13.0,Right Foot,,Alejandro Garnacho,Fouled,Alejandro Garnacho,Take-On
15,37,Dwight McNeil,Everton,0.03,,Blocked,20.0,Left Foot,,James Garner,Pass (Live),Abdoulaye Doucouré,Pass (Live)
16,42,Ben Godfrey,Everton,0.05,,Blocked,25.0,Right Foot,,,,,
17,45+2,Casemiro,Manchester Utd,0.03,,Blocked,26.0,Right Foot,,Scott McTominay,Pass (Live),Kobbie Mainoo,Pass (Live)
18,45+2,Victor Lindelöf,Manchester Utd,0.07,0.24,Saved,24.0,Right Foot,,Casemiro,Pass (Live),Alejandro Garnacho,Pass (Live)
19,45+5,Dwight McNeil,Everton,0.12,,Blocked,18.0,Left Foot,,James Garner,Pass (Live),Beto,Pass (Live)
20,,,,,,,,,,,,,
21,51,James Tarkowski,Everton,0.01,,Blocked,13.0,Head,,Dwight McNeil,Pass (Live),Jack Harrison,Pass (Dead)
22,51,Abdoulaye Doucouré,Everton,0.13,,Blocked,16.0,Right Foot,,James Tarkowski,Shot,,
23,54,Alejandro Garnacho,Manchester Utd,0.04,,Off Target,12.0,Right Foot,,Bruno Fernandes,Pass (Live),Jonny Evans,Pass (Live)
24,58,Beto,Everton,0.07,,Blocked,17.0,Right Foot,,Dwight McNeil,Pass (Live),Jack Harrison,Pass (Live)
25,58,Abdoulaye Doucouré,Everton,0.04,0.12,Saved,11.0,Left Foot,,Beto,Pass (Live),Beto,Shot
26,60,Alejandro Garnacho,Manchester Utd,0.2,,Off Target,6.0,Right Foot,,Bruno Fernandes,Pass (Live),Scott McTominay,Pass (Live)
27,63,Bruno Fernandes,Manchester Utd,0.03,0.62,Saved,18.0,Right Foot,,Alejandro Garnacho,Pass (Live),Kobbie Mainoo,Pass (Live)
28,63,Victor Lindelöf,Manchester Utd,0.32,0.51,Saved,4.0,Right Foot,,Raphaël Varane,Pass (Live),Bruno Fernandes,Pass (Dead)
29,66,James Tarkowski,Everton,0.02,,Blocked,10.0,Head,,Dwight McNeil,Pass (Dead),,
30,67,André Gomes,Everton,0.05,,Blocked,31.0,Right Foot,Free kick,Amadou Onana,Fouled,Vitaliy Mykolenko,Pass (Live)
31,68,Lewis Dobbin,Everton,0.05,,Off Target,25.0,Left Foot,,Amadou Onana,Pass (Live),Jarrad Branthwaite,Pass (Live)
32,77,Amadou Onana,Everton,0.02,0.1,Saved,20.0,Right Foot,Volley,Ashley Young,Pass (Live),James Tarkowski,Pass (Live)
33,82,Dominic Calvert-Lewin,Everton,0.05,0.09,Saved,10.0,Head,,Dwight McNeil,Pass (Dead),,
34,84,Dwight McNeil,Everton,0.05,,Blocked,18.0,Left Foot,,,,,
35,84,Vitaliy Mykolenko,Everton,0.05,,Off Target,6.0,Head,,Amadou Onana,Pass (Live),Dwight McNeil,Pass (Live)
36,90,André Gomes,Everton,0.06,0.05,Saved,15.0,Right Foot,,Lewis Dobbin,Pass (Live),Ashley Young,Pass (Live)
37,90+1,Diogo Dalot,Manchester Utd,0.02,0.03,Saved,24.0,Right Foot,,Bruno Fernandes,Pass (Live),Marcus Rashford,Pass (Live)
38,90+3,Bruno Fernandes,Manchester Utd,0.06,,Blocked,16.0,Right Foot,,Bruno Fernandes,Pass (Live),Scott McTominay,Pass (Live)
