player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,0,0,0,21,8,2,0,689,14,9,11,1.7,1.7,1.0,38,1,482,572,84.3,45,389,17,24,10,482,572,84.3,7866,2551,248,272,91.2,192,220,87.3,31,53,58.5,0,1.0,1.5,18,38,8,1,45,572,519,51,10,2,1,14,16,10,5,0,0,482,2,13,14,9,2,4,8,9,18,50.0,9,11,3,8,9,23,19,0,689,56,175,303,213,32,689,24,10,41.7,10,41.7,389,2296,1271,17,28,2,13,8,471,43,2,0,0,6,10,2,14,9,9,0,0,0,36,9,10,47.4
Alejandro Garnacho,0,0,0,0,3,1,0,0,50,1,2,2,0.1,0.1,0.1,6,0,24,33,72.7,3,32,3,6,2,24,33,72.7,349,67,16,18,88.9,7,9,77.8,1,4,25.0,0,0.1,0.1,3,0,1,0,3,33,32,1,1,0,0,3,0,0,0,0,0,24,0,2,1,0,0,0,1,0,1,0.0,1,2,0,2,2,3,2,0,50,0,5,11,34,8,50,6,2,33.3,2,33.3,32,276,108,3,3,2,0,2,38,11,0,0,0,0,5,0,3,2,0,0,0,0,1,0,1,0.0
Amad Diallo,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.0,1,0,14,17,82.4,0,10,1,2,1,14,17,82.4,171,12,10,12,83.3,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,17,16,1,0,0,0,0,1,0,0,0,0,14,0,1,2,0,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,21,0,1,8,12,3,21,2,1,50.0,1,50.0,10,66,50,1,3,0,1,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
André Onana,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,30,90.0,1,16,0,0,0,27,30,90.0,632,442,7,7,100.0,13,13,100.0,6,9,66.7,0,0.0,0.0,0,3,0,0,1,30,23,7,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,33,23,31,2,0,0,33,0,0,,0,,16,156,114,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Antony,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,1,0,0,1,1,100.0,8,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,1,13,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bruno Fernandes,0,0,0,0,5,4,1,0,84,4,1,1,0.1,0.1,0.0,8,1,46,70,65.7,4,34,3,2,2,46,70,65.7,637,143,32,37,86.5,11,19,57.9,2,10,20.0,0,0.0,0.0,2,3,0,0,4,70,58,11,3,0,0,6,0,7,2,0,0,46,1,3,4,2,1,1,2,1,3,33.3,2,1,0,1,1,5,1,0,84,1,11,32,41,2,84,2,2,100.0,0,0.0,34,204,130,3,3,0,2,2,52,6,1,0,0,2,0,0,6,1,2,0,0,0,4,2,1,66.7
Casemiro,0,0,0,0,1,0,0,0,38,4,0,1,0.0,0.0,0.1,1,0,24,27,88.9,1,21,0,3,1,24,27,88.9,487,181,10,10,100.0,11,13,84.6,3,3,100.0,0,0.1,0.0,1,3,0,0,1,27,26,1,1,0,0,1,0,0,0,0,0,24,0,1,4,4,1,1,2,4,4,100.0,0,1,1,0,0,4,1,0,38,2,8,22,8,0,38,3,1,33.3,2,66.7,21,86,43,0,1,0,0,0,27,1,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,
Christian Eriksen,0,0,0,0,0,0,0,0,57,1,0,0,0.0,0.0,0.4,5,0,44,52,84.6,9,36,4,0,0,44,52,84.6,869,280,18,22,81.8,20,22,90.9,6,8,75.0,0,0.4,0.6,4,9,4,1,9,52,48,4,1,0,1,4,0,3,3,0,0,44,0,0,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0,57,2,10,30,17,0,57,0,0,,0,,36,251,191,4,5,0,0,1,39,1,0,0,0,0,0,0,4,0,1,0,0,0,4,0,1,0.0
Diogo Dalot,0,0,0,0,1,0,0,0,72,0,0,2,0.1,0.1,0.1,3,0,51,63,81.0,5,40,0,4,3,51,63,81.0,749,198,32,34,94.1,16,23,69.6,2,3,66.7,0,0.1,0.0,1,3,1,0,5,63,52,10,0,0,0,0,10,0,0,0,0,51,1,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,72,2,12,40,20,1,72,4,3,75.0,1,25.0,40,159,45,0,0,0,2,2,47,6,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,
Harry Maguire,1,0,0,0,4,1,1,0,101,1,3,2,1.1,1.1,0.1,4,0,80,86,93.0,6,52,1,1,0,80,86,93.0,1381,561,31,32,96.9,37,38,97.4,7,11,63.6,0,0.1,0.2,2,4,0,0,6,86,78,8,2,0,0,0,0,0,0,0,0,80,0,0,1,1,0,1,0,1,3,33.3,2,2,1,1,3,4,5,0,101,16,47,39,15,7,101,1,0,0.0,1,100.0,52,341,199,1,2,0,1,0,65,0,1,0,0,0,1,2,0,3,1,0,0,0,6,4,1,80.0
