player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,2,0,1,1,16,4,1,0,642,16,6,10,2.2,1.4,0.7,29,4,404,520,77.7,38,315,24,27,12,404,520,77.7,7018,2714,191,223,85.7,170,206,82.5,35,67,52.2,0,0.7,1.3,13,32,12,5,38,520,459,61,25,4,3,17,21,4,3,0,0,404,0,9,16,11,6,7,3,9,14,64.3,5,10,2,8,6,22,18,1,642,66,223,250,176,38,641,27,12,44.4,11,40.7,315,1950,998,24,16,11,22,11,401,38,1,0,0,9,21,0,17,6,11,1,0,0,58,19,16,54.3
Anthony Gordon,1,0,1,1,3,1,0,0,35,0,0,1,1.1,0.3,0.1,4,0,17,21,81.0,0,19,4,5,2,17,21,81.0,189,30,14,16,87.5,2,2,100.0,0,1,0.0,0,0.1,0.0,3,0,0,0,0,21,20,1,0,0,0,0,1,0,0,0,0,17,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,35,0,3,11,21,8,34,5,2,40.0,2,40.0,19,196,82,4,2,3,3,2,22,5,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,
Bruno Guimarães,0,0,0,0,2,1,0,0,70,0,2,1,0.0,0.0,0.1,6,2,45,57,78.9,7,46,3,6,2,45,57,78.9,732,267,23,27,85.2,18,21,85.7,2,5,40.0,0,0.1,0.3,3,2,2,1,7,57,53,4,4,1,0,1,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0,70,3,14,31,26,3,70,6,2,33.3,3,50.0,46,309,129,3,5,1,0,5,57,2,0,0,0,0,4,0,1,2,0,0,0,0,5,2,0,100.0
Dan Burn,0,0,0,0,1,0,0,0,48,2,0,0,0.1,0.1,0.0,0,0,26,39,66.7,1,13,1,0,0,26,39,66.7,421,111,12,17,70.6,14,20,70.0,0,0,,0,0.0,0.0,0,1,0,0,1,39,30,9,2,0,0,0,7,0,0,0,0,26,0,1,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,4,0,48,4,22,20,6,3,48,0,0,,0,,13,63,35,1,1,0,2,0,23,2,0,0,0,0,0,0,0,0,2,0,0,0,3,4,1,80.0
Fabian Schär,0,0,0,0,2,1,1,0,68,0,0,1,0.1,0.1,0.0,3,2,53,63,84.1,2,38,0,0,0,53,63,84.1,1222,660,18,21,85.7,24,28,85.7,11,13,84.6,0,0.0,0.1,0,8,1,1,2,63,58,5,4,0,2,1,1,0,0,0,0,53,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,68,8,32,33,5,1,68,0,0,,0,,38,203,146,0,2,0,1,1,48,3,1,0,0,3,3,0,1,0,0,1,0,0,6,3,5,37.5
Harvey Barnes,0,0,0,0,2,0,0,0,30,2,1,0,0.1,0.1,0.0,0,0,14,16,87.5,3,18,3,5,0,14,16,87.5,233,107,9,10,90.0,4,4,100.0,1,1,100.0,0,0.0,0.1,0,1,1,0,3,16,14,2,1,1,0,0,0,0,0,0,0,14,0,0,2,1,1,1,0,0,0,,0,0,0,0,1,3,0,0,30,0,6,11,13,5,30,5,0,0.0,3,60.0,18,131,85,3,2,2,2,1,17,5,0,0,0,1,3,0,0,1,1,0,0,0,7,2,1,66.7
Jacob Murphy,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,1,0,7,9,77.8,2,10,1,4,2,7,9,77.8,113,28,3,3,100.0,4,5,80.0,0,0,,0,0.0,0.0,1,2,1,0,2,9,8,1,0,1,0,1,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,0,1,4,10,1,14,4,2,50.0,2,50.0,10,104,34,1,2,0,2,0,11,2,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,
Joe White,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,1,0,0,4,4,100.0,54,3,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,1,1,2,0,4,0,0,,0,,3,32,27,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Kieran Trippier,0,0,0,0,0,0,0,0,82,3,0,1,0.0,0.0,0.3,5,0,49,75,65.3,5,25,1,1,0,49,75,65.3,981,370,18,23,78.3,23,30,76.7,7,18,38.9,0,0.3,0.4,2,4,3,2,5,75,54,21,9,0,0,9,8,4,3,0,0,49,0,2,3,1,1,1,1,3,4,75.0,1,1,0,1,0,3,1,0,82,6,31,24,28,3,82,1,0,0.0,1,100.0,25,112,67,1,0,0,1,0,40,7,0,0,0,0,0,0,9,0,1,0,0,0,9,1,3,25.0
Lewis Miley,0,0,0,0,0,0,0,0,67,6,2,1,0.0,0.0,0.0,3,0,40,52,76.9,5,37,2,2,2,40,52,76.9,589,204,29,34,85.3,8,11,72.7,3,5,60.0,0,0.0,0.0,1,3,1,0,5,52,52,0,0,0,1,0,0,0,0,0,0,40,0,2,6,5,0,4,2,4,5,80.0,1,1,0,1,2,8,2,0,67,2,12,39,18,1,67,2,2,100.0,0,0.0,37,232,85,2,1,1,3,2,39,2,0,0,0,0,1,0,0,2,5,0,0,0,9,3,0,100.0
