player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,1,0,0,18,7,3,0,714,8,9,13,2.2,2.2,2.1,33,2,519,623,83.3,54,506,25,23,14,519,623,83.3,8487,3155,248,268,92.5,231,261,88.5,29,62,46.8,1,2.1,1.5,15,47,11,2,54,623,565,55,17,0,4,27,22,8,3,3,0,519,3,14,8,6,5,2,1,4,11,36.4,7,13,7,6,9,17,13,0,714,54,232,311,177,38,714,23,14,60.9,7,30.4,506,2655,1239,25,14,11,7,15,516,54,3,0,0,9,14,3,27,9,6,0,0,0,44,13,5,72.2
Alexander Isak,0,0,0,0,1,1,0,0,13,0,0,0,0.2,0.2,0.0,0,0,7,10,70.0,0,8,1,2,1,7,10,70.0,71,0,5,6,83.3,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,6,3,0,0,0,1,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,0,5,8,3,13,2,1,50.0,1,50.0,8,49,24,1,0,0,0,0,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0
Anthony Gordon,0,0,0,0,2,0,0,0,53,1,0,0,0.2,0.2,0.4,9,1,31,46,67.4,4,37,4,6,4,31,46,67.4,460,194,17,18,94.4,12,15,80.0,2,9,22.2,0,0.4,0.3,3,5,3,1,4,46,38,8,0,0,2,8,1,7,2,3,0,31,0,2,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,53,0,1,26,27,7,53,6,4,66.7,2,33.3,37,332,145,4,2,3,1,1,39,9,0,0,0,0,1,2,8,0,1,0,0,0,0,1,0,100.0
Bruno Guimarães,0,0,0,0,1,0,0,0,87,3,1,1,0.0,0.0,0.3,7,0,61,77,79.2,11,71,2,1,1,61,77,79.2,1083,329,29,32,90.6,26,29,89.7,6,13,46.2,0,0.3,0.1,3,11,2,0,11,77,73,3,3,0,0,0,0,0,0,0,0,61,1,2,3,3,2,1,0,1,1,100.0,0,1,0,1,1,4,0,0,87,2,17,50,21,4,87,1,1,100.0,0,0.0,71,316,129,2,2,2,1,5,73,3,0,0,0,0,3,0,0,1,3,0,0,0,7,2,0,100.0
Dan Burn,0,0,0,0,1,0,0,0,79,1,0,4,0.2,0.2,0.0,1,0,64,71,90.1,3,53,0,0,0,64,71,90.1,1215,345,19,21,90.5,42,46,91.3,3,3,100.0,0,0.0,0.0,0,6,0,0,3,71,69,2,2,0,1,0,0,0,0,0,0,64,0,1,1,1,1,0,0,1,1,100.0,0,4,4,0,0,1,1,0,79,8,48,25,6,3,79,0,0,,0,,53,287,116,0,0,0,0,0,57,0,0,0,0,2,1,0,0,0,1,0,0,0,3,3,1,75.0
Elliot Anderson,0,1,0,0,2,0,0,0,69,1,1,1,0.1,0.1,0.9,5,1,47,56,83.9,5,49,5,9,6,47,56,83.9,642,191,34,37,91.9,9,11,81.8,2,5,40.0,1,0.9,0.5,3,3,1,0,5,56,52,4,1,0,0,5,3,0,0,0,0,47,0,1,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,3,0,69,3,8,30,32,3,69,9,6,66.7,2,22.2,49,349,184,5,3,0,0,0,50,10,0,0,0,1,1,0,5,1,0,0,0,0,3,2,0,100.0
Emil Krafth,0,0,0,0,0,0,0,0,87,1,2,0,0.0,0.0,0.0,1,0,71,82,86.6,1,58,0,0,0,71,82,86.6,1176,427,27,32,84.4,43,45,95.6,0,2,0.0,0,0.0,0.0,1,2,0,0,1,82,76,6,5,0,0,0,1,0,0,0,0,71,0,1,1,0,1,0,0,1,3,33.3,2,0,0,0,2,3,1,0,87,8,55,33,0,0,87,0,0,,0,,58,291,102,0,0,0,1,0,57,0,0,0,0,2,1,0,0,2,0,0,0,0,8,2,1,66.7
Harvey Barnes,0,0,0,0,2,1,1,0,10,0,1,0,0.2,0.2,0.0,0,0,2,4,50.0,0,6,1,1,0,2,4,50.0,34,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,10,1,2,0,8,2,10,1,0,0.0,1,100.0,6,35,14,1,1,0,1,1,7,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0
Jacob Murphy,0,0,0,0,2,2,0,0,40,0,0,1,0.1,0.1,0.1,2,0,24,35,68.6,1,29,0,0,0,24,35,68.6,321,54,14,15,93.3,7,13,53.8,1,4,25.0,0,0.1,0.0,2,2,1,1,1,35,35,0,0,0,0,4,0,0,0,0,0,24,0,1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,40,1,3,15,22,2,40,0,0,,0,,29,99,17,0,0,0,0,1,31,9,0,0,0,0,1,0,4,0,0,0,0,0,4,2,0,100.0
Joelinton,0,0,0,0,0,0,0,0,22,1,0,1,0.0,0.0,0.1,2,0,15,19,78.9,0,12,2,0,0,15,19,78.9,221,110,8,8,100.0,7,10,70.0,0,1,0.0,0,0.1,0.0,1,1,0,0,0,19,19,0,0,0,0,1,0,0,0,0,0,15,0,0,1,1,0,1,0,0,1,0.0,1,1,1,0,0,1,0,0,22,1,5,12,5,1,22,0,0,,0,,12,82,47,2,2,1,0,1,18,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,
