player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,1,0,0,0,23,8,1,0,721,19,5,8,2.0,2.0,1.0,41,0,533,623,85.6,44,467,29,18,10,533,623,85.6,8665,2655,265,291,91.1,222,243,91.4,34,62,54.8,0,1.0,0.6,14,33,8,2,44,623,586,37,10,1,4,13,13,5,2,1,0,533,0,9,19,12,10,6,3,11,21,52.4,10,8,2,6,5,24,15,1,721,55,209,348,167,29,721,18,10,55.6,5,27.8,467,2209,1303,29,20,8,9,7,530,43,1,0,0,16,10,0,13,5,12,0,0,0,53,9,8,52.9
Alexander Isak,0,0,0,0,1,1,0,0,7,0,0,0,0.2,0.2,0.1,2,0,4,5,80.0,1,6,0,0,0,4,5,80.0,57,8,2,2,100.0,2,2,100.0,0,1,0.0,0,0.1,0.0,1,0,1,0,1,5,4,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,7,0,0,3,4,2,7,0,0,,0,,6,16,3,0,0,0,1,1,6,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0.0
Anthony Gordon,1,0,0,0,4,3,0,0,40,1,0,1,0.6,0.6,0.2,5,0,25,28,89.3,3,29,8,7,3,25,28,89.3,357,63,16,18,88.9,6,6,100.0,2,3,66.7,0,0.2,0.2,2,1,1,1,3,28,27,1,0,1,0,2,0,1,0,0,0,25,0,0,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,40,0,3,12,25,2,40,7,3,42.9,2,28.6,29,342,229,8,4,2,1,1,30,5,0,0,0,1,1,0,2,0,1,0,0,0,4,0,0,
Bruno Guimarães,0,0,0,0,1,0,0,0,90,5,0,1,0.0,0.0,0.1,4,0,64,76,84.2,11,66,3,3,2,64,76,84.2,1165,211,29,33,87.9,29,34,85.3,6,7,85.7,0,0.1,0.0,2,4,1,0,11,76,75,1,1,0,0,0,0,0,0,0,0,64,0,2,5,1,3,1,1,2,2,100.0,0,1,0,1,0,5,1,0,90,1,13,59,19,0,90,3,2,66.7,1,33.3,66,325,156,3,2,0,1,2,76,0,0,0,0,4,2,0,0,0,1,0,0,0,3,1,0,100.0
Callum Wilson,0,0,0,0,2,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,0,2,0.0,0,2,0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,1,2,3,2,6,0,0,,0,,2,4,2,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Dan Burn,0,0,0,0,0,0,0,0,66,3,0,1,0.0,0.0,0.1,2,0,51,57,89.5,3,38,1,0,0,51,57,89.5,771,271,25,27,92.6,25,26,96.2,0,1,0.0,0,0.1,0.0,1,7,0,0,3,57,49,8,3,0,0,0,5,0,0,0,0,51,0,1,3,2,3,0,0,1,3,33.3,2,1,1,0,0,3,4,0,66,6,22,38,6,1,66,0,0,,0,,38,115,63,1,0,0,1,0,40,0,0,0,0,1,0,0,0,0,2,0,0,0,4,1,0,100.0
Elliot Anderson,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,7,7,100.0,1,6,0,0,0,7,7,100.0,139,21,3,3,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,9,0,1,4,4,1,9,0,0,,0,,6,22,11,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Fabian Schär,0,0,0,0,1,0,0,0,98,0,0,0,0.1,0.1,0.0,2,0,86,96,89.6,3,72,0,0,0,86,96,89.6,1382,502,49,52,94.2,30,30,100.0,7,13,53.8,0,0.0,0.0,0,6,0,0,3,96,96,0,0,0,2,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,98,5,38,58,2,0,98,0,0,,0,,72,251,147,0,1,0,0,0,81,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,2,33.3
Harvey Barnes,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,1,0,6,9,66.7,1,8,2,0,0,6,9,66.7,68,0,5,6,83.3,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,9,9,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,2,9,2,11,0,0,,0,,8,74,60,2,0,2,1,0,7,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Joelinton,0,0,0,0,1,1,0,0,44,2,1,2,0.1,0.1,0.2,5,0,30,34,88.2,3,24,3,1,1,30,34,88.2,391,128,15,16,93.8,9,9,100.0,1,2,50.0,0,0.2,0.1,3,2,0,0,3,34,33,1,1,0,0,0,0,0,0,0,0,30,0,2,2,2,1,0,1,2,3,66.7,1,2,0,2,1,3,3,0,44,4,10,17,17,3,44,1,1,100.0,0,0.0,24,131,79,3,3,1,0,1,30,5,0,0,0,4,0,0,0,1,2,0,0,0,8,0,1,0.0
