player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,4,3,1,1,19,6,0,0,726,19,10,11,3.1,2.3,2.2,37,8,528,621,85.0,67,506,24,19,11,528,621,85.0,9100,3136,228,251,90.8,250,277,90.3,38,64,59.4,3,2.2,1.5,17,48,14,1,67,621,581,37,9,6,6,19,18,4,1,2,0,528,3,10,19,12,7,7,5,8,20,40.0,12,11,5,6,10,29,12,0,726,56,188,310,234,45,725,19,11,57.9,6,31.6,506,2476,1236,24,18,6,11,12,524,66,0,0,0,9,10,3,19,10,12,1,0,0,48,11,8,57.9
Alex Murphy,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,13,13,100.0,1,12,0,0,0,13,13,100.0,194,73,8,8,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,16,0,2,12,2,0,16,0,0,,0,,12,64,36,0,0,0,1,0,12,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
Alexander Isak,2,0,1,1,4,2,0,0,30,0,0,0,1.3,0.5,0.2,3,0,15,20,75.0,3,22,3,3,3,15,20,75.0,191,27,9,12,75.0,4,4,100.0,0,0,,0,0.2,0.1,2,1,1,0,3,20,19,1,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,0,1,6,25,8,29,3,3,100.0,0,0.0,22,135,84,3,3,1,2,2,22,10,0,0,0,1,0,3,0,0,0,0,0,0,2,0,1,0.0
Anthony Gordon,0,1,0,0,0,0,0,0,53,1,0,0,0.0,0.0,0.5,6,4,34,45,75.6,4,36,4,5,3,34,45,75.6,569,173,18,19,94.7,13,17,76.5,3,7,42.9,1,0.5,0.3,3,3,0,0,4,45,41,4,2,0,1,5,0,2,0,2,0,34,0,0,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,53,0,1,24,29,5,53,5,3,60.0,2,40.0,36,249,111,4,2,1,2,2,38,13,0,0,0,0,2,0,5,0,1,1,0,0,7,1,0,100.0
Bruno Guimarães,1,0,0,0,4,1,0,0,109,2,2,0,0.4,0.4,0.1,7,0,72,93,77.4,15,81,5,6,4,72,93,77.4,1332,378,26,31,83.9,36,40,90.0,7,15,46.7,0,0.1,0.1,2,6,5,0,15,93,87,4,2,5,2,0,1,1,0,0,0,72,2,2,2,1,0,1,1,2,6,33.3,4,0,0,0,2,4,0,0,109,1,9,63,39,5,109,6,4,66.7,1,16.7,81,408,217,5,4,1,3,0,86,1,0,0,0,3,2,0,0,2,1,0,0,0,8,1,0,100.0
Callum Wilson,1,0,0,0,2,2,0,0,11,1,1,0,0.6,0.6,0.0,1,0,4,5,80.0,1,6,0,1,0,4,5,80.0,58,21,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.1,0,0,1,0,1,5,4,1,0,0,0,0,1,0,0,0,0,4,0,1,1,0,0,0,1,0,0,,0,0,0,0,1,2,1,0,11,1,1,4,6,3,11,1,0,0.0,1,100.0,6,20,5,0,0,0,0,1,6,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Dan Burn,0,0,0,0,1,0,0,0,59,0,2,4,0.2,0.2,0.0,0,0,45,48,93.8,0,36,0,0,0,45,48,93.8,909,385,6,7,85.7,36,36,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,48,46,2,1,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0.0,1,4,4,0,2,2,4,0,59,17,45,13,1,1,59,0,0,,0,,36,100,41,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,33.3
Elliot Anderson,0,0,0,0,2,0,0,0,36,1,1,2,0.2,0.2,0.0,0,0,24,27,88.9,4,25,0,1,0,24,27,88.9,309,100,16,17,94.1,6,8,75.0,0,0,,0,0.0,0.0,0,4,0,0,4,27,27,0,0,0,0,0,0,0,0,0,0,24,0,0,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,0,0,36,0,5,15,16,3,36,1,0,0.0,1,100.0,25,142,59,0,2,0,1,2,25,2,0,0,0,1,1,0,0,1,1,0,0,0,2,1,0,100.0
Emil Krafth,0,0,0,0,0,0,0,0,42,3,1,0,0.0,0.0,0.0,0,0,35,37,94.6,1,31,0,0,0,35,37,94.6,609,250,11,11,100.0,23,24,95.8,1,2,50.0,0,0.0,0.0,0,3,0,0,1,37,36,1,1,0,0,0,0,0,0,0,0,35,0,0,3,3,1,1,1,0,1,0.0,1,0,0,0,1,4,1,0,42,4,23,18,2,0,42,0,0,,0,,31,115,50,0,1,0,0,0,29,0,0,0,0,1,1,0,0,1,3,0,0,0,4,0,0,
Fabian Schär,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,37,81.1,7,26,1,0,0,30,37,81.1,608,239,10,10,100.0,14,19,73.7,6,7,85.7,0,0.0,0.0,0,4,0,0,7,37,35,2,1,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,39,2,18,21,0,0,39,0,0,,0,,26,153,80,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,75.0
Harvey Barnes,0,1,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.6,2,1,13,14,92.9,0,13,1,0,0,13,14,92.9,182,21,7,8,87.5,6,6,100.0,0,0,,1,0.6,0.1,2,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,15,0,2,8,5,2,15,0,0,,0,,13,97,44,1,2,1,0,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Jacob Murphy,0,1,0,0,1,0,0,0,50,2,1,0,0.0,0.0,0.6,10,1,37,46,80.4,8,36,3,1,1,37,46,80.4,590,231,20,22,90.9,16,18,88.9,1,4,25.0,1,0.6,0.4,4,5,6,1,8,46,44,2,0,1,0,6,2,0,0,0,0,37,0,2,2,2,1,0,1,2,3,66.7,1,0,0,0,1,3,0,0,50,1,3,12,35,3,50,1,1,100.0,0,0.0,36,170,74,3,1,1,0,1,37,12,0,0,0,0,0,0,6,1,2,0,0,0,1,0,0,
Lewis Hall,0,0,0,0,2,1,0,0,64,1,0,2,0.1,0.1,0.0,0,0,52,58,89.7,10,45,1,0,0,52,58,89.7,929,455,20,20,100.0,29,29,100.0,3,9,33.3,0,0.0,0.0,0,9,0,0,10,58,51,7,1,0,0,3,5,1,1,0,0,52,0,0,1,1,0,1,0,0,0,,0,2,0,2,0,1,1,0,64,2,18,36,10,2,64,0,0,,0,,45,214,149,1,1,0,0,0,45,2,0,0,0,2,1,0,3,0,1,0,0,0,7,2,2,50.0
Martin Dúbravka,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,27,92.6,0,17,0,0,0,25,27,92.6,516,305,8,8,100.0,12,13,92.3,5,5,100.0,0,0.0,0.0,0,0,0,0,0,27,23,3,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,29,22,29,0,0,0,29,0,0,,0,,17,76,49,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
