,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,1.0,Rodrigo Bentancur,Tottenham,0.1,,Blocked,18.0,Left Foot,,Destiny Udogie,Pass (Live),James Maddison,Pass (Live)
1,3.0,Elliot Anderson,Newcastle Utd,0.04,,Blocked,13.0,Head,,Jacob Murphy,Pass (Live),Emil Krafth,Pass (Dead)
2,7.0,Timo Werner,Tottenham,0.25,,Off Target,10.0,Right Foot,Volley,Brennan Johnson,Pass (Live),Rodrigo Bentancur,Pass (Live)
3,10.0,Elliot Anderson,Newcastle Utd,0.18,,Off Target,6.0,Head,,Anthony Gordon,Pass (Dead),,
4,10.0,Harvey Barnes,Newcastle Utd,0.11,,Off Target,8.0,Head,,Anthony Gordon,Pass (Dead),Elliot Anderson,Shot
5,16.0,Timo Werner,Tottenham,0.02,,Blocked,14.0,Right Foot,,Son Heung-min,Pass (Live),Pedro Porro,Pass (Live)
6,17.0,Harvey Barnes,Newcastle Utd,0.04,,Blocked,15.0,Right Foot,,Alexander Isak,Pass (Live),Bruno Guimarães,Interception
7,17.0,Timo Werner,Tottenham,0.2,,Off Target,7.0,Left Foot,,James Maddison,Pass (Live),James Maddison,Take-On
8,30.0,Alexander Isak,Newcastle Utd,0.53,0.95,Goal,15.0,Right Foot,,Alexander Isak,Take-On,Anthony Gordon,Pass (Live)
9,32.0,Anthony Gordon,Newcastle Utd,0.5,0.4,Goal,10.0,Right Foot,,Anthony Gordon,Take-On,,
10,36.0,Dan Burn,Newcastle Utd,0.13,,Off Target,5.0,Head,,Anthony Gordon,Pass (Dead),,
11,37.0,Alexander Isak,Newcastle Utd,0.1,,Blocked,15.0,Right Foot,,Harvey Barnes,Pass (Live),Dan Burn,Pass (Live)
12,41.0,Alexander Isak,Newcastle Utd,0.1,,Off Target,8.0,Head,,Anthony Gordon,Pass (Dead),Bruno Guimarães,Pass (Live)
13,42.0,James Maddison,Tottenham,0.04,0.07,Saved,23.0,Right Foot,,Son Heung-min,Pass (Live),Yves Bissouma,Pass (Live)
14,44.0,Alexander Isak,Newcastle Utd,0.11,,Off Target,8.0,Head,,Anthony Gordon,Pass (Dead),,
15,,,,,,,,,,,,,
16,48.0,Alexander Isak,Newcastle Utd,0.06,,Blocked,5.0,Right Foot,Volley,Fabian Schär,Pass (Live),Bruno Guimarães,Pass (Dead)
17,50.0,Timo Werner,Tottenham,0.02,0.01,Saved,25.0,Right Foot,,James Maddison,Pass (Live),Yves Bissouma,Pass (Live)
18,51.0,Alexander Isak,Newcastle Utd,0.62,0.65,Goal,9.0,Right Foot,,Bruno Guimarães,Pass (Live),Bruno Guimarães,Take-On
19,61.0,Brennan Johnson,Tottenham,0.03,,Off Target,26.0,Right Foot,,Pierre Højbjerg,Pass (Live),Dejan Kulusevski,Pass (Live)
20,63.0,Elliot Anderson,Newcastle Utd,0.07,0.14,Saved,10.0,Right Foot,,Elliot Anderson,Take-On,Harvey Barnes,Pass (Live)
21,63.0,Elliot Anderson,Newcastle Utd,0.1,,Off Target,8.0,Head,,Anthony Gordon,Pass (Dead),Elliot Anderson,Shot
22,65.0,Dejan Kulusevski,Tottenham,0.03,,Blocked,11.0,Left Foot,,James Maddison,Pass (Live),Pierre Højbjerg,Pass (Live)
23,70.0,James Maddison,Tottenham,0.03,,Off Target,30.0,Right Foot,,Destiny Udogie,Pass (Live),Pierre Højbjerg,Pass (Live)
24,70.0,Dejan Kulusevski,Tottenham,0.03,,Blocked,16.0,Left Foot,,James Maddison,Pass (Live),Timo Werner,Pass (Live)
25,73.0,Elliot Anderson,Newcastle Utd,0.02,,Off Target,24.0,Right Foot,Volley,Alexander Isak,Fouled,,
26,76.0,Pierre Højbjerg,Tottenham,0.03,,Blocked,29.0,Right Foot,,Timo Werner,Pass (Live),James Maddison,Pass (Live)
27,80.0,Emil Krafth,Newcastle Utd,0.02,,Woodwork,20.0,Right Foot,Volley,Anthony Gordon,Pass (Live),Sean Longstaff,Pass (Live)
28,86.0,Anthony Gordon,Newcastle Utd,0.12,,Blocked,11.0,Right Foot,,Harvey Barnes,Pass (Live),Fabian Schär,Pass (Dead)
29,87.0,Fabian Schär,Newcastle Utd,0.05,0.2,Goal,9.0,Head,,Anthony Gordon,Pass (Dead),Anthony Gordon,Shot
