,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,3,Luke Thomas,Sheffield Utd,0.1,,Blocked,11.0,Left Foot,Volley,Jayden Bogle,Pass (Live),James Mcatee,Pass (Live)
1,7,Callum Wilson,Newcastle Utd,0.06,0.06,Saved,15.0,Right Foot,,Bruno Guimarães,Pass (Live),Elliot Anderson,Pass (Live)
2,14,Luke Thomas,Sheffield Utd,0.17,,Off Target,9.0,Left Foot,Volley,James Mcatee,Pass (Live),Jayden Bogle,Pass (Live)
3,18,Gustavo Hamer,Sheffield Utd,0.05,,Blocked,9.0,Left Foot,,James Mcatee,Pass (Live),,
4,18,Vinicius Souza,Sheffield Utd,0.01,0.21,Saved,24.0,Right Foot,,Gustavo Hamer,Pass (Live),Gustavo Hamer,Shot
5,21,Sean Longstaff,Newcastle Utd,0.25,0.48,Goal,8.0,Left Foot,,Anthony Gordon,Pass (Live),Anthony Gordon,Take-On
6,25,Jack Robinson,Sheffield Utd,0.35,,Blocked,3.0,Right Foot,Volley,Luke Thomas,Fouled,Jack Robinson,Interception
7,27,Gustavo Hamer,Sheffield Utd,0.05,,Off Target,14.0,Right Foot,,James Mcatee,Pass (Live),Jayden Bogle,Pass (Live)
8,30,Miguel Almirón,Newcastle Utd,0.08,,Off Target,17.0,Left Foot,,Kieran Trippier,Pass (Live),Bruno Guimarães,Pass (Live)
9,31,Dan Burn,Newcastle Utd,0.17,0.39,Goal,4.0,Head,,Kieran Trippier,Pass (Dead),Miguel Almirón,Shot
10,33,Callum Wilson,Newcastle Utd,0.2,0.51,Saved,16.0,Right Foot,,Anthony Gordon,Pass (Live),Anthony Gordon,Interception
11,35,Sven Botman,Newcastle Utd,0.05,0.23,Goal,12.0,Head,,Kieran Trippier,Pass (Dead),Sean Longstaff,Fouled
12,38,Callum Wilson,Newcastle Utd,0.04,0.08,Saved,22.0,Right Foot,,,,,
13,43,Callum Wilson,Newcastle Utd,0.28,0.38,Saved,11.0,Left Foot,,Anthony Gordon,Pass (Live),Bruno Guimarães,Pass (Live)
14,44,Anthony Gordon,Newcastle Utd,0.04,,Off Target,23.0,Right Foot,,Callum Wilson,Shot,,
15,45,Elliot Anderson,Newcastle Utd,0.04,,Blocked,26.0,Left Foot,,Kieran Trippier,Pass (Live),Fabian Schär,Pass (Live)
16,45+1,Miguel Almirón,Newcastle Utd,0.02,,Blocked,23.0,Left Foot,,Bruno Guimarães,Pass (Live),Sean Longstaff,Pass (Live)
17,45+6,Anthony Gordon,Newcastle Utd,0.03,0.14,Saved,14.0,Right Foot,Deflected,Elliot Anderson,Pass (Live),Sean Longstaff,Pass (Live)
18,,,,,,,,,,,,,
19,56,Callum Wilson,Newcastle Utd,0.58,0.53,Goal,4.0,Head,,Kieran Trippier,Pass (Live),Fabian Schär,Pass (Live)
20,61,Anthony Gordon,Newcastle Utd,0.55,0.77,Saved,14.0,Right Foot,,Elliot Anderson,Pass (Live),Bruno Guimarães,Pass (Live)
21,61,Anthony Gordon,Newcastle Utd,0.05,0.43,Goal,21.0,Right Foot,,Elliot Anderson,Pass (Live),Bruno Guimarães,Pass (Live)
22,68,Miguel Almirón,Newcastle Utd,0.27,0.85,Goal,16.0,Left Foot,,Bruno Guimarães,Pass (Live),Miguel Almirón,Pass (Live)
23,71,Anel Ahmedhodžić,Sheffield Utd,0.11,,Off Target,12.0,Right Foot,,Bénie Traoré,Pass (Live),Anel Ahmedhodžić,Pass (Live)
24,73,Sean Longstaff,Newcastle Utd,0.05,,Blocked,17.0,Left Foot,,,,,
25,73,Bruno Guimarães,Newcastle Utd,0.29,0.86,Goal,9.0,Right Foot,,Sean Longstaff,Shot,,
26,80,Elliot Anderson,Newcastle Utd,0.06,0.2,Saved,9.0,Head,,Sandro Tonali,Pass (Dead),Elliot Anderson,Pass (Live)
27,81,Dan Burn,Newcastle Utd,0.18,,Blocked,6.0,Head,,Sandro Tonali,Pass (Live),Valentino Livramento,Pass (Live)
28,81,Fabian Schär,Newcastle Utd,0.02,,Off Target,16.0,Right Foot,,Dan Burn,Shot,,
29,84,Tom Davies,Sheffield Utd,0.06,,Off Target,14.0,Left Foot,,Chris Basham,Pass (Live),Tom Davies,Pass (Live)
30,87,Alexander Isak,Newcastle Utd,0.6,0.93,Goal,9.0,Right Foot,,Alexander Isak,Take-On,,
31,90+6,Tom Davies,Sheffield Utd,0.04,,Blocked,26.0,Right Foot,,Cameron Archer,Pass (Live),Anis Ben Slimane,Pass (Live)
