player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,0,0,0,0,6,1,2,0,350,14,9,14,1.0,1.0,0.9,10,0,176,251,70.1,17,136,2,8,2,176,251,70.1,3483,1400,73,89,82.0,75,86,87.2,26,62,41.9,0,0.9,0.3,5,14,5,1,17,251,207,38,7,0,1,6,19,2,2,0,0,176,6,3,14,4,8,6,0,7,10,70.0,3,14,6,8,9,23,27,0,350,58,161,129,62,8,350,8,2,25.0,5,62.5,136,606,287,2,1,1,10,7,175,17,2,0,0,11,7,6,6,9,4,0,0,0,27,9,11,45.0
Andre Brooks,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,3,6,0,1,0,6,6,100.0,82,19,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,1,1,0,3,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,9,1,1,5,3,0,9,1,0,0.0,1,100.0,6,18,8,0,0,0,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Anel Ahmedhodžić,0,0,0,0,0,0,0,0,33,3,1,2,0.0,0.0,0.0,1,0,17,21,81.0,2,14,0,1,0,17,21,81.0,395,184,4,4,100.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0,2,1,1,2,21,21,0,0,0,0,1,0,0,0,0,0,17,0,0,3,0,3,0,0,3,3,100.0,0,2,1,1,1,4,4,0,33,10,25,6,2,0,33,1,0,0.0,1,100.0,14,63,36,0,0,0,0,1,16,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,100.0
Auston Trusty,0,0,0,0,0,0,0,0,45,0,2,2,0.0,0.0,0.0,0,0,28,31,90.3,2,14,0,1,1,28,31,90.3,484,140,12,14,85.7,14,14,100.0,2,3,66.7,0,0.0,0.0,0,1,0,0,2,31,26,5,0,0,0,0,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,,0,2,1,1,2,2,8,0,45,6,29,12,4,1,45,1,1,100.0,0,0.0,14,47,7,0,0,0,0,0,20,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0.0
Ben Brereton,0,0,0,0,2,0,0,0,12,0,0,2,0.5,0.5,0.0,1,0,6,6,100.0,0,10,0,1,0,6,6,100.0,91,11,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,12,0,1,5,6,3,12,1,0,0.0,1,100.0,10,27,7,0,0,0,1,1,10,4,0,0,0,1,3,0,0,0,0,0,0,0,3,0,2,0.0
Ben Osborn,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,1,1,0,0,0,2,2,100.0,44,20,0,0,,2,2,100.0,0,0,,0,0.0,0.0,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Cameron Archer,0,0,0,0,1,0,0,0,10,0,0,0,0.3,0.3,0.0,1,0,5,5,100.0,0,6,1,0,0,5,5,100.0,98,9,1,1,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,1,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,10,1,1,5,4,1,10,0,0,,0,,6,42,22,1,0,1,1,3,8,2,0,0,0,0,1,4,0,0,0,0,0,0,0,1,2,33.3
Daniel Jebbison,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,5,0,0,0,1,3,33.3,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,9,0,0,5,4,2,9,0,0,,0,,5,6,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Gustavo Hamer,0,0,0,0,2,1,0,0,28,1,0,1,0.1,0.1,0.7,2,0,13,20,65.0,2,9,0,1,0,13,20,65.0,300,84,4,6,66.7,4,6,66.7,4,6,66.7,0,0.7,0.2,2,2,1,0,2,20,18,1,1,0,0,1,0,0,0,0,0,13,1,0,1,0,0,1,0,1,2,50.0,1,1,1,0,0,1,0,0,28,1,2,14,12,1,28,1,0,0.0,1,100.0,9,27,5,0,0,0,1,0,17,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Jack Robinson,0,0,0,0,0,0,1,0,45,3,2,1,0.0,0.0,0.0,0,0,21,36,58.3,3,14,0,0,0,21,36,58.3,488,202,3,5,60.0,14,14,100.0,4,13,30.8,0,0.0,0.0,0,3,0,0,3,36,25,9,2,0,0,0,7,0,0,0,0,21,2,0,3,2,2,1,0,0,0,,0,1,1,0,2,5,2,0,45,4,21,20,4,0,45,0,0,,0,,14,61,19,0,0,0,1,1,24,1,1,0,0,1,0,0,0,2,2,0,0,0,2,4,2,66.7
