,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,1,Bobby Reid,Fulham,0.01,,Off Target,31.0,Right Foot,Volley,,,,
1,7,Micky van de Ven,Tottenham,0.08,,Off Target,11.0,Right Foot,Volley,Cristian Romero,Pass (Live),James Maddison,Pass (Dead)
2,9,Dejan Kulusevski,Tottenham,0.04,,Blocked,21.0,Left Foot,,James Maddison,Pass (Dead),Pedro Porro,Fouled
3,12,João Palhinha,Fulham,0.01,0.37,Saved,15.0,Head,,Andreas Pereira,Pass (Dead),Willian,Pass (Live)
4,18,Carlos Vinícius,Fulham,0.07,,Off Target,8.0,Head,,Timothy Castagne,Pass (Live),Timothy Castagne,Take-On
5,25,Saša Lukić,Fulham,0.02,,Off Target,38.0,Right Foot,,Willian,Pass (Live),Andreas Pereira,Pass (Live)
6,27,Pierre Højbjerg,Tottenham,0.05,0.03,Saved,27.0,Right Foot,,James Maddison,Pass (Live),Richarlison,Pass (Live)
7,30,Richarlison,Tottenham,0.1,,Off Target,21.0,Right Foot,,Dejan Kulusevski,Pass (Live),James Maddison,Pass (Live)
8,31,Son Heung-min,Tottenham,0.09,0.02,Saved,22.0,Left Foot,,James Maddison,Pass (Live),Destiny Udogie,Pass (Live)
9,34,James Maddison,Tottenham,0.03,0.02,Saved,18.0,Right Foot,,Son Heung-min,Pass (Live),Richarlison,Pass (Live)
10,36,Son Heung-min,Tottenham,0.19,0.46,Goal,18.0,Right Foot,,Son Heung-min,Take-On,Richarlison,Pass (Live)
11,40,Destiny Udogie,Tottenham,0.1,,Blocked,10.0,Left Foot,,Son Heung-min,Pass (Live),James Maddison,Pass (Live)
12,40,Dejan Kulusevski,Tottenham,0.19,,Blocked,15.0,Right Foot,,Destiny Udogie,Shot,,
13,40,Pedro Porro,Tottenham,0.01,,Blocked,32.0,Right Foot,,Dejan Kulusevski,Shot,,
14,42,João Palhinha,Fulham,0.06,,Off Target,11.0,Head,,Andreas Pereira,Pass (Dead),Willian,Pass (Live)
15,,,,,,,,,,,,,
16,52,Richarlison,Tottenham,0.04,,Off Target,17.0,Right Foot,,Son Heung-min,Pass (Live),Dejan Kulusevski,Pass (Live)
17,54,James Maddison,Tottenham,0.4,0.71,Goal,10.0,Right Foot,,Son Heung-min,Pass (Live),Pierre Højbjerg,Pass (Live)
18,70,Son Heung-min,Tottenham,0.02,,Off Target,12.0,Head,,James Maddison,Pass (Dead),James Maddison,Fouled
19,75,James Maddison,Tottenham,0.18,,Blocked,11.0,Right Foot,,James Maddison,Tackle,,
20,75,Richarlison,Tottenham,0.03,,Blocked,13.0,Left Foot,,James Maddison,Shot,,
21,84,Raúl Jiménez,Fulham,0.45,0.24,Saved,12.0,Right Foot,,Harry Wilson,Pass (Live),Harry Wilson,Take-On
22,85,Alex Iwobi,Fulham,0.04,,Blocked,23.0,Right Foot,,Willian,Pass (Live),Tom Cairney,Pass (Live)
23,87,Tom Cairney,Fulham,0.07,0.32,Saved,10.0,Left Foot,Deflected,Raúl Jiménez,Pass (Live),Willian,Pass (Live)
24,90+2,Harry Wilson,Fulham,0.13,,Blocked,11.0,Left Foot,,Willian,Pass (Live),Antonee Robinson,Pass (Live)
25,90+5,Harry Wilson,Fulham,0.18,,Blocked,16.0,Left Foot,,Alex Iwobi,Pass (Live),Willian,Pass (Live)
