player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,22,8,0,0,1012,12,8,7,2.4,2.4,2.0,41,0,826,905,91.3,70,589,22,12,3,826,905,91.3,12871,4092,420,444,94.6,334,357,93.6,45,60,75.0,0,2.0,1.9,18,68,15,4,70,905,868,36,7,2,2,13,20,0,0,0,0,826,1,7,12,6,2,6,4,6,11,54.5,5,7,0,7,8,20,16,0,1012,89,249,496,269,41,1012,12,3,25.0,8,66.7,589,2470,1417,22,22,9,16,10,820,70,0,0,0,6,4,1,13,8,6,0,0,0,46,11,8,57.9
Adam Lallana,0,0,0,0,2,2,0,0,21,0,0,0,0.2,0.2,0.2,2,0,17,17,100.0,2,12,1,2,0,17,17,100.0,202,59,11,11,100.0,3,3,100.0,1,1,100.0,0,0.2,0.3,1,0,1,0,2,17,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,0,1,6,14,4,21,2,0,0.0,2,100.0,12,37,18,1,1,1,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Adam Webster,0,0,0,0,1,0,0,0,97,1,1,0,0.0,0.0,0.0,0,0,84,88,95.5,8,58,0,0,0,84,88,95.5,1280,428,41,42,97.6,41,41,100.0,0,3,0.0,0,0.0,0.0,0,10,0,0,8,88,88,0,0,0,0,0,0,0,0,0,0,84,0,0,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,5,0,97,15,43,44,10,1,97,0,0,,0,,58,200,132,0,1,0,1,0,81,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,100.0
Billy Gilmour,0,0,0,0,1,0,0,0,132,0,0,1,0.0,0.0,0.0,4,0,119,127,93.7,13,66,1,0,0,119,127,93.7,1968,524,57,58,98.3,51,55,92.7,7,9,77.8,0,0.0,0.1,1,16,2,0,13,127,126,1,1,0,1,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,132,1,8,95,29,0,132,0,0,,0,,66,290,174,1,3,0,1,1,113,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.0
Danny Welbeck,0,0,0,0,1,1,0,0,29,1,0,0,0.1,0.1,0.0,3,0,17,21,81.0,3,14,1,0,0,17,21,81.0,207,28,13,16,81.3,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,3,21,21,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,29,2,2,10,17,5,29,0,0,,0,,14,33,16,1,0,1,2,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Evan Ferguson,0,0,0,0,3,0,0,0,10,1,0,0,0.4,0.4,0.0,1,0,4,6,66.7,0,6,1,1,1,4,6,66.7,71,3,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,10,0,0,2,8,3,10,1,1,100.0,0,0.0,6,10,7,1,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Facundo Buonanotte,0,0,0,0,2,1,0,0,50,1,0,1,0.0,0.0,0.4,6,0,34,40,85.0,3,32,4,2,0,34,40,85.0,461,69,20,21,95.2,9,10,90.0,2,3,66.7,0,0.4,0.1,4,2,1,0,3,40,40,0,0,0,0,0,0,0,0,0,0,34,0,1,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,50,2,7,24,19,3,50,2,0,0.0,2,100.0,32,204,97,4,3,2,2,3,41,5,0,0,0,3,2,0,0,0,1,0,0,0,8,1,0,100.0
Jack Hinshelwood,0,0,0,0,3,2,0,0,76,1,1,0,0.4,0.4,0.0,4,0,62,69,89.9,2,50,2,0,0,62,69,89.9,809,133,36,38,94.7,22,24,91.7,0,0,,0,0.0,0.0,1,5,1,0,2,69,66,3,0,0,0,3,3,0,0,0,0,62,0,1,1,1,0,0,1,0,0,,0,0,0,0,1,2,1,0,76,3,11,30,35,6,76,0,0,,0,,50,236,140,2,5,0,1,1,64,10,0,0,0,0,0,0,3,1,1,0,0,0,3,1,0,100.0
Jakub Moder,0,0,0,0,1,0,0,0,15,0,0,0,0.2,0.2,0.1,2,0,11,13,84.6,1,10,0,0,0,11,13,84.6,142,27,9,9,100.0,2,3,66.7,0,1,0.0,0,0.1,0.1,1,1,0,0,1,13,13,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,0,1,3,11,2,15,0,0,,0,,10,19,9,0,0,0,1,0,14,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
James Milner,0,0,0,0,1,0,0,0,96,2,1,1,0.1,0.1,0.8,4,0,68,85,80.0,8,44,2,3,0,68,85,80.0,1104,352,36,43,83.7,27,34,79.4,4,6,66.7,0,0.8,0.5,4,1,4,2,8,85,78,7,0,2,1,4,7,0,0,0,0,68,0,1,2,1,1,1,0,1,1,100.0,0,1,0,1,1,3,1,0,96,1,12,41,43,5,96,3,0,0.0,3,100.0,44,125,57,2,1,1,1,0,73,17,0,0,0,0,0,1,4,1,1,0,0,0,6,2,3,40.0
Jan Paul van Hecke,0,0,0,0,0,0,0,0,118,1,2,3,0.0,0.0,0.0,0,0,101,106,95.3,4,69,0,0,0,101,106,95.3,1717,766,42,45,93.3,51,52,98.1,6,6,100.0,0,0.0,0.0,0,6,0,0,4,106,98,7,2,0,0,0,0,0,0,0,0,101,1,0,1,1,0,1,0,0,0,,0,3,0,3,2,3,4,0,118,18,59,59,0,0,118,0,0,,0,,69,348,231,0,0,0,1,0,88,0,0,0,0,0,2,0,0,2,1,0,0,0,6,3,0,100.0
