player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,0,0,0,0,6,2,1,0,527,18,14,11,0.7,0.7,0.2,12,0,332,425,78.1,25,290,18,12,5,332,425,78.1,5737,2175,174,196,88.8,112,132,84.8,38,70,54.3,0,0.2,0.2,3,25,7,2,25,425,385,37,7,1,3,17,17,2,1,1,0,332,3,8,18,14,9,8,1,8,11,72.7,3,11,5,6,14,32,25,0,527,79,216,206,109,19,527,12,5,41.7,6,50.0,290,1606,812,18,9,6,5,6,331,25,1,0,0,4,6,3,17,14,14,0,0,0,43,8,11,42.1
Alphonse Areola,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,25,36,69.4,0,27,0,0,0,25,36,69.4,922,710,2,2,100.0,7,7,100.0,16,27,59.3,0,0.0,0.0,0,0,0,0,0,36,27,9,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,41,34,41,0,0,0,41,0,0,,0,,27,144,93,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Angelo Ogbonna,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.0,0,0,29,32,90.6,1,23,0,0,0,29,32,90.6,537,145,11,11,100.0,15,16,93.8,3,5,60.0,0,0.0,0.0,0,1,0,0,1,32,29,3,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,36,8,26,10,0,0,36,0,0,,0,,23,121,29,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
Ben Johnson,0,0,0,0,0,0,1,0,59,2,2,0,0.0,0.0,0.0,1,0,37,50,74.0,2,29,2,2,1,37,50,74.0,500,131,26,28,92.9,8,10,80.0,2,6,33.3,0,0.0,0.0,0,1,0,0,2,50,42,8,1,0,0,3,7,0,0,0,0,37,0,2,2,2,1,1,0,2,2,100.0,0,0,0,0,2,4,2,0,59,2,22,26,12,1,59,2,1,50.0,1,50.0,29,145,71,2,0,0,0,0,34,2,1,0,0,1,0,1,3,2,2,0,0,0,6,1,3,25.0
Divin Mubama,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,2,4,50.0,16,5,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0,4,0,0,,0,,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
Edson Álvarez,0,0,0,0,0,0,0,0,59,7,2,2,0.0,0.0,0.0,1,0,33,39,84.6,2,29,2,2,1,33,39,84.6,567,184,13,14,92.9,15,16,93.8,3,6,50.0,0,0.0,0.0,0,3,1,0,2,39,38,0,0,0,0,0,0,0,0,0,0,33,1,0,7,4,3,4,0,4,5,80.0,1,2,1,1,2,9,2,0,59,8,30,25,5,1,59,2,1,50.0,1,50.0,29,205,96,2,2,1,1,0,32,1,0,0,0,1,0,0,0,2,4,0,0,0,9,0,0,
Emerson Palmieri,0,0,0,0,1,0,0,0,71,2,2,1,0.1,0.1,0.0,0,0,49,58,84.5,2,44,6,1,0,49,58,84.5,741,285,32,33,97.0,13,18,72.2,3,4,75.0,0,0.0,0.0,0,2,0,0,2,58,52,6,0,0,1,2,6,0,0,0,0,49,0,0,2,1,0,1,1,0,1,0.0,1,1,1,0,2,4,4,0,71,8,24,27,20,3,71,1,0,0.0,1,100.0,44,273,212,6,2,1,2,0,52,5,0,0,0,0,1,0,2,2,1,0,0,0,2,0,2,0.0
James Ward-Prowse,0,0,0,0,1,1,0,0,50,1,0,0,0.1,0.1,0.0,2,0,38,45,84.4,2,22,0,1,1,38,45,84.4,630,177,21,22,95.5,11,11,100.0,4,7,57.1,0,0.0,0.0,0,3,1,1,2,45,38,6,3,0,1,4,0,2,1,1,0,38,1,2,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,3,0,50,3,11,27,13,1,50,1,1,100.0,0,0.0,22,106,16,0,0,0,0,0,34,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,
Jarrod Bowen,0,0,0,0,0,0,0,0,28,1,1,1,0.0,0.0,0.1,6,0,13,23,56.5,3,22,4,1,0,13,23,56.5,170,53,9,12,75.0,1,3,33.3,2,2,100.0,0,0.1,0.1,2,2,3,1,3,23,23,0,0,0,0,2,0,0,0,0,0,13,0,4,1,1,0,1,0,0,0,,0,1,1,0,1,2,0,0,28,1,2,11,15,6,28,1,0,0.0,1,100.0,22,138,74,4,2,2,0,2,24,9,0,0,0,1,1,1,2,1,1,0,0,0,1,0,1,0.0
Konstantinos Mavropanos,0,0,0,0,1,0,0,0,45,1,2,2,0.1,0.1,0.0,0,0,26,35,74.3,2,25,0,1,1,26,35,74.3,513,265,10,13,76.9,14,16,87.5,2,6,33.3,0,0.0,0.0,0,4,1,0,2,35,31,4,1,1,0,1,3,0,0,0,0,26,0,0,1,1,1,0,0,0,0,,0,2,1,1,2,3,6,0,45,8,23,19,3,1,45,1,1,100.0,0,0.0,25,130,50,0,0,0,0,0,27,0,0,0,0,0,0,0,1,2,1,0,0,0,3,0,1,0.0
Pablo Fornals,0,0,0,0,1,1,0,0,53,0,2,3,0.0,0.0,0.0,0,0,30,38,78.9,3,26,1,2,0,30,38,78.9,521,81,14,18,77.8,14,16,87.5,2,3,66.7,0,0.0,0.0,0,4,1,0,3,38,37,1,0,0,1,2,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,3,0,3,2,2,1,0,53,1,10,29,14,1,53,2,0,0.0,1,50.0,26,119,57,1,0,0,1,2,35,4,0,0,0,0,2,0,2,2,0,0,0,0,1,0,1,0.0
Saïd Benrahma,0,0,0,0,1,0,0,0,44,2,2,1,0.0,0.0,0.1,2,0,29,35,82.9,6,33,2,1,1,29,35,82.9,361,89,19,22,86.4,8,9,88.9,1,3,33.3,0,0.1,0.0,1,3,0,0,6,35,35,0,0,0,0,3,0,0,0,0,0,29,0,0,2,2,2,0,0,1,1,100.0,0,1,0,1,2,4,2,0,44,5,11,13,21,3,44,1,1,100.0,0,0.0,33,176,98,2,2,1,1,2,33,4,0,0,0,0,0,0,3,2,2,0,0,0,4,0,0,
Tomáš Souček,0,0,0,0,1,0,0,0,37,2,1,0,0.4,0.4,0.0,0,0,21,30,70.0,2,9,1,1,0,21,30,70.0,259,50,15,18,83.3,6,10,60.0,0,1,0.0,0,0.0,0.0,0,2,0,0,2,30,29,0,0,0,0,0,0,0,0,0,0,21,1,0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,37,1,14,17,6,2,37,1,0,0.0,1,100.0,9,49,16,1,1,1,0,0,15,0,0,0,0,0,1,1,0,1,2,0,0,0,13,5,3,62.5
