player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,4,4,0,0,16,8,6,0,710,25,10,13,2.2,2.2,2.2,32,8,501,585,85.6,38,390,23,26,13,501,585,85.6,7682,2610,260,286,90.9,177,196,90.3,35,57,61.4,4,2.2,1.9,15,31,7,0,38,585,532,46,18,5,2,9,14,3,2,0,0,501,7,6,25,17,14,9,2,8,32,25.0,24,13,4,9,10,35,21,0,710,90,238,345,132,33,710,26,13,50.0,10,38.5,390,2062,1129,23,10,11,11,10,492,38,6,0,0,11,14,7,9,10,17,0,0,0,59,5,5,50.0
Adam Lallana,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,18,19,94.7,2,11,0,0,0,18,19,94.7,214,30,15,16,93.8,2,2,100.0,1,1,100.0,0,0.0,0.0,1,1,0,0,2,19,19,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,20,0,2,12,6,1,20,0,0,,0,,11,40,12,0,0,0,1,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Adam Webster,0,0,0,0,0,0,1,0,66,3,1,1,0.0,0.0,0.0,0,0,49,54,90.7,4,36,1,0,0,49,54,90.7,862,314,15,17,88.2,30,32,93.8,2,3,66.7,0,0.0,0.0,0,2,0,0,4,54,53,1,1,0,0,0,0,0,0,0,0,49,0,0,3,3,2,1,0,1,5,20.0,4,1,1,0,1,4,6,0,66,11,32,34,0,0,66,0,0,,0,,36,195,140,1,0,0,1,0,48,0,1,0,0,0,1,0,0,1,3,0,0,0,4,1,1,50.0
Billy Gilmour,0,0,0,0,0,0,0,0,81,4,0,1,0.0,0.0,0.0,1,1,72,76,94.7,4,42,1,0,0,72,76,94.7,1120,347,33,34,97.1,30,31,96.8,3,3,100.0,0,0.0,0.0,0,7,1,0,4,76,74,1,0,0,0,1,0,1,1,0,0,72,1,1,4,3,3,0,1,2,4,50.0,2,1,0,1,0,4,0,0,81,2,19,55,7,0,81,0,0,,0,,42,147,52,1,1,0,1,1,66,1,0,0,0,2,0,0,1,0,3,0,0,0,7,0,0,
Danny Welbeck,0,0,0,0,2,1,0,0,33,0,0,2,0.2,0.2,0.1,6,2,19,22,86.4,2,22,3,0,0,19,22,86.4,257,50,9,12,75.0,8,8,100.0,0,0,,0,0.1,0.0,1,2,1,0,2,22,21,1,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,33,1,3,17,14,2,33,0,0,,0,,22,145,101,3,1,1,1,5,26,2,0,0,0,1,2,1,0,0,0,0,0,0,5,0,1,0.0
Evan Ferguson,0,0,0,0,1,0,0,0,11,0,0,2,0.1,0.1,0.0,1,0,2,4,50.0,0,4,0,2,1,2,4,50.0,11,0,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,0,0,11,2,2,5,4,1,11,2,1,50.0,1,50.0,4,30,9,0,0,0,1,0,7,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,100.0
James Milner,0,0,0,0,0,0,1,0,35,2,1,0,0.0,0.0,0.1,1,0,22,30,73.3,2,18,0,0,0,22,30,73.3,363,176,10,13,76.9,10,10,100.0,2,5,40.0,0,0.1,0.1,1,3,0,0,2,30,25,4,1,2,0,0,3,0,0,0,0,22,1,0,2,2,0,2,0,1,1,100.0,0,0,0,0,1,3,1,0,35,3,15,15,5,0,35,0,0,,0,,18,54,29,0,0,0,0,1,21,3,1,0,0,1,0,0,0,1,2,0,0,0,3,1,0,100.0
Jason Steele,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,36,45,80.0,0,33,0,0,0,36,45,80.0,729,514,11,12,91.7,19,20,95.0,5,11,45.5,0,0.0,0.0,0,0,0,0,0,45,41,3,1,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,48,42,48,0,0,0,48,0,0,,0,,33,145,63,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0
João Pedro,0,0,0,0,1,0,1,0,22,2,0,1,0.2,0.2,0.0,2,0,9,10,90.0,0,11,1,3,1,9,10,90.0,126,14,8,8,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,9,0,0,2,1,0,1,1,0,0,,0,1,0,1,0,2,3,0,22,2,5,9,8,5,22,3,1,33.3,2,66.7,11,59,30,1,0,1,1,0,11,5,1,0,0,0,2,1,0,0,1,0,0,0,2,0,0,
Joël Veltman,0,0,0,0,0,0,0,0,30,2,0,3,0.0,0.0,0.0,0,0,21,23,91.3,0,15,0,0,0,21,23,91.3,293,82,14,14,100.0,3,4,75.0,3,3,100.0,0,0.0,0.0,0,2,0,0,0,23,19,4,2,0,0,0,2,0,0,0,0,21,0,1,2,2,1,1,0,1,2,50.0,1,3,2,1,0,2,1,0,30,5,7,22,1,0,30,0,0,,0,,15,40,1,0,0,0,1,0,18,0,0,0,0,1,2,0,0,0,2,0,0,0,3,0,0,
