player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,0,0,0,14,8,3,0,718,22,9,12,1.6,1.6,0.5,26,2,486,605,80.3,45,307,16,23,9,486,605,80.3,8159,2680,226,250,90.4,204,234,87.2,39,82,47.6,0,0.5,0.5,7,35,6,2,45,605,538,64,17,0,1,30,26,8,5,2,1,486,3,11,22,12,7,11,4,12,20,60.0,8,12,4,8,9,31,9,0,718,61,212,349,160,25,718,23,9,39.1,10,43.5,307,1592,797,16,13,2,11,14,479,45,3,0,0,13,11,3,30,9,12,0,0,0,49,14,20,41.2
Boubacar Traoré,0,0,0,0,0,0,1,0,40,2,0,0,0.0,0.0,0.2,1,0,31,35,88.6,0,14,0,1,1,31,35,88.6,417,80,19,21,90.5,9,9,100.0,1,2,50.0,0,0.2,0.0,1,1,1,1,0,35,35,0,0,0,0,2,0,0,0,0,0,31,0,0,2,2,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,40,2,7,26,7,1,40,1,1,100.0,0,0.0,14,65,4,0,1,0,1,2,28,1,1,0,0,3,0,0,2,0,2,0,0,0,3,1,2,33.3
Daniel Bentley,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,29,46,63.0,0,23,0,0,0,29,46,63.0,795,580,8,8,100.0,11,11,100.0,10,27,37.0,0,0.0,0.0,0,2,0,0,0,46,34,12,5,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,47,33,45,2,0,0,47,0,0,,0,,23,89,37,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Enso Gonzalez,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,6,6,100.0,0,4,0,0,0,6,6,100.0,87,3,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,7,0,0,4,3,0,7,0,0,,0,,4,35,3,0,1,0,1,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Hwang Hee-chan,0,0,0,0,1,0,0,0,25,0,1,0,0.6,0.6,0.0,1,0,14,20,70.0,1,10,0,1,0,14,20,70.0,170,13,8,9,88.9,5,6,83.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1,20,16,4,0,0,0,1,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,25,0,0,9,16,5,25,1,0,0.0,1,100.0,10,32,4,0,0,0,1,1,17,7,0,0,0,2,1,1,1,1,0,0,0,0,2,0,3,0.0
Jean-Ricner Bellegarde,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.1,2,0,8,14,57.1,1,7,1,1,1,8,14,57.1,125,9,5,8,62.5,2,2,100.0,1,3,33.3,0,0.1,0.0,1,0,1,0,1,14,14,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,21,0,4,10,7,0,21,1,1,100.0,0,0.0,7,71,29,1,2,0,1,2,14,2,0,0,0,0,0,0,2,0,0,0,0,0,2,1,2,33.3
João Gomes,0,0,0,0,2,0,0,0,70,7,0,2,0.1,0.1,0.1,4,0,38,50,76.0,6,24,1,4,2,38,50,76.0,616,196,20,22,90.9,12,17,70.6,4,7,57.1,0,0.1,0.1,2,6,1,0,6,50,43,6,2,0,0,5,1,3,0,2,1,38,1,0,7,2,3,3,1,3,4,75.0,1,2,1,1,0,7,0,0,70,1,6,45,20,3,70,4,2,50.0,1,25.0,24,109,39,1,3,0,3,4,41,5,0,0,0,2,1,0,5,0,2,0,0,0,8,0,0,
Mario Lemina,0,0,0,0,2,1,0,0,87,5,1,0,0.1,0.1,0.0,0,0,63,73,86.3,2,36,0,2,0,63,73,86.3,1184,288,21,23,91.3,36,42,85.7,5,6,83.3,0,0.0,0.0,0,3,0,0,2,73,70,3,2,0,1,1,1,0,0,0,0,63,0,1,5,3,0,4,1,3,4,75.0,1,0,0,0,1,6,3,0,87,2,27,53,7,1,87,2,0,0.0,2,100.0,36,188,89,0,1,0,0,0,59,2,0,0,0,2,0,0,1,1,3,0,0,0,3,1,2,33.3
Matheus Cunha,1,0,0,0,4,3,1,0,47,0,0,1,0.4,0.4,0.0,3,1,23,33,69.7,4,27,5,5,2,23,33,69.7,321,71,13,16,81.3,5,6,83.3,2,4,50.0,0,0.0,0.0,0,2,1,0,4,33,31,1,0,0,0,4,1,0,0,0,0,23,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,47,0,0,20,27,7,47,5,2,40.0,2,40.0,27,211,130,5,2,2,1,1,38,9,1,0,0,2,2,0,4,0,0,0,0,0,2,1,2,33.3
Matt Doherty,0,0,0,0,1,1,0,0,66,2,1,1,0.1,0.1,0.0,1,0,48,58,82.8,4,17,0,0,0,48,58,82.8,627,209,29,32,90.6,16,21,76.2,1,1,100.0,0,0.0,0.0,0,4,0,0,4,58,47,11,0,0,0,1,11,0,0,0,0,48,0,2,2,2,0,1,1,1,2,50.0,1,1,0,1,1,3,2,0,66,2,14,31,22,1,66,0,0,,0,,17,40,11,0,0,0,0,1,36,2,0,0,0,0,0,0,1,1,2,0,0,0,7,2,7,22.2
