,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,8,Max Kilman,Wolves,0.04,,Off Target,14.0,Head,,João Gomes,Pass (Dead),Matt Doherty,Pass (Live)
1,17,Eberechi Eze,Crystal Palace,0.11,,Off Target,15.0,Right Foot,,Jean-Philippe Mateta,Tackle,,
2,19,Rayan Aït-Nouri,Wolves,0.01,0.01,Saved,30.0,Left Foot,Deflected,Rayan Aït-Nouri,Take-On,Nélson Semedo,Pass (Live)
3,22,Michael Olise,Crystal Palace,0.23,,Off Target,11.0,Left Foot,,Jean-Philippe Mateta,Pass (Live),Daniel Muñoz,Pass (Live)
4,26,Michael Olise,Crystal Palace,0.02,0.42,Goal,21.0,Left Foot,,Adam Wharton,Pass (Live),Daniel Muñoz,Pass (Live)
5,28,Nathaniel Clyne,Crystal Palace,0.15,,Blocked,11.0,Right Foot,Volley,Michael Olise,Pass (Live),Joachim Andersen,Pass (Live)
6,28,Jean-Philippe Mateta,Crystal Palace,0.77,0.71,Goal,6.0,Right Foot,,Nathaniel Clyne,Shot,,
7,33,Daniel Muñoz,Crystal Palace,0.04,,Blocked,10.0,Left Foot,,Eberechi Eze,Pass (Live),Daniel Muñoz,Pass (Live)
8,41,Tyrick Mitchell,Crystal Palace,0.16,,Blocked,6.0,Right Foot,Volley,Joachim Andersen,Pass (Live),Eberechi Eze,Pass (Dead)
9,41,Chris Richards,Crystal Palace,0.1,,Off Target,9.0,Head,,Tyrick Mitchell,Shot,,
10,42,Matt Doherty,Wolves,0.11,0.08,Saved,7.0,Head,,Rayan Aït-Nouri,Pass (Live),Matheus Cunha,Pass (Live)
11,45+1,Adam Wharton,Crystal Palace,0.03,,Off Target,23.0,Left Foot,,Daniel Muñoz,Pass (Live),Tyrick Mitchell,Pass (Live)
12,45+5,Rayan Aït-Nouri,Wolves,0.17,0.22,Saved,9.0,Left Foot,,Boubacar Traoré,Pass (Live),João Gomes,Pass (Dead)
13,,,,,,,,,,,,,
14,49,Matheus Cunha,Wolves,0.11,0.09,Saved,11.0,Right Foot,,Jean-Ricner Bellegarde,Pass (Live),Jean-Ricner Bellegarde,Take-On
15,55,Daniel Muñoz,Crystal Palace,0.31,,Off Target,5.0,Left Foot,,Eberechi Eze,Pass (Live),Adam Wharton,Pass (Live)
16,57,Naouirou Ahamada,Crystal Palace,0.09,,Off Target,23.0,Right Foot,,Daniel Muñoz,Pass (Live),Daniel Muñoz,Pass (Live)
17,60,Eberechi Eze,Crystal Palace,0.03,,Blocked,27.0,Right Foot,,,,,
18,65,Mario Lemina,Wolves,0.03,,Blocked,26.0,Right Foot,,Nélson Semedo,Pass (Live),Pablo Sarabia,Pass (Dead)
19,66,Matheus Cunha,Wolves,0.2,0.13,Goal,10.0,Right Foot,,Matheus Cunha,Pass (Live),Nélson Semedo,Pass (Live)
20,69,Hwang Hee-chan,Wolves,0.58,,Off Target,6.0,Right Foot,,Pablo Sarabia,Pass (Live),João Gomes,Pass (Live)
21,73,Eberechi Eze,Crystal Palace,0.65,0.52,Goal,9.0,Right Foot,,Eberechi Eze,Take-On,Michael Olise,Pass (Live)
22,80,Pablo Sarabia,Wolves,0.07,0.16,Saved,13.0,Right Foot,,Tommy Doyle,Pass (Dead),Nélson Semedo,Fouled
23,80,Mario Lemina,Wolves,0.08,0.06,Saved,15.0,Right Foot,Volley,Pablo Sarabia,Shot,,
24,83,João Gomes,Wolves,0.07,,Off Target,12.0,Right Foot,Volley,Hwang Hee-chan,Fouled,Daniel Bentley,Pass (Live)
25,86,Matheus Cunha,Wolves,0.02,,Blocked,12.0,Right Foot,,Pablo Sarabia,Pass (Dead),Matheus Cunha,Fouled
26,90+4,Matheus Cunha,Wolves,0.03,0.07,Saved,24.0,Left Foot,,João Gomes,Pass (Live),,
27,90+7,João Gomes,Wolves,0.04,,Blocked,16.0,Right Foot,Volley,Pablo Sarabia,Fouled,Enso Gonzalez,Pass (Live)
