,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Max Kilman,Wolves,0.02,,Off Target,9.0,Head,,Pedro Neto,Pass (Dead),Jean-Ricner Bellegarde,Take-On
1,7,Hwang Hee-chan,Wolves,0.11,0.05,Goal,9.0,Right Foot,,Pedro Neto,Pass (Live),Pedro Neto,Take-On
2,13,Diogo Jota,Liverpool,0.14,,Off Target,15.0,Right Foot,,Mohamed Salah,Pass (Live),Cody Gakpo,Pass (Live)
3,15,Mario Lemina,Wolves,0.04,,Off Target,12.0,Head,,Pedro Neto,Pass (Dead),,
4,19,Pedro Neto,Wolves,0.03,,Off Target,23.0,Right Foot,,Pedro Neto,Take-On,Jean-Ricner Bellegarde,Pass (Live)
5,31,Craig Dawson,Wolves,0.06,,Off Target,6.0,Head,,Pedro Neto,Pass (Dead),João Gomes,Pass (Live)
6,35,Matheus Cunha,Wolves,0.01,0.02,Saved,62.0,Right Foot,,,,,
7,39,Cody Gakpo,Liverpool,0.09,,Off Target,14.0,Right Foot,Volley,Andrew Robertson,Pass (Live),Dominik Szoboszlai,Pass (Live)
8,40,Jean-Ricner Bellegarde,Wolves,0.04,,Blocked,18.0,Right Foot,Volley,Pedro Neto,Pass (Live),Jean-Ricner Bellegarde,Pass (Live)
9,45,Cody Gakpo,Liverpool,0.05,,Off Target,14.0,Head,,Joe Gomez,Pass (Live),Alexis Mac Allister,Pass (Live)
10,45+1,Mohamed Salah,Liverpool,0.24,,Blocked,15.0,Right Foot,,Diogo Jota,Pass (Live),Alexis Mac Allister,Pass (Live)
11,45+1,Dominik Szoboszlai,Liverpool,0.11,0.06,Saved,17.0,Left Foot,,Mohamed Salah,Shot,,
12,45+2,Matheus Cunha,Wolves,0.09,,Off Target,22.0,Right Foot,,Matheus Cunha,Take-On,Matheus Cunha,Take-On
13,,,,,,,,,,,,,
14,47,Luis Díaz,Liverpool,0.06,,Off Target,9.0,Head,,Andrew Robertson,Pass (Live),Dominik Szoboszlai,Pass (Live)
15,55,Cody Gakpo,Liverpool,0.94,0.97,Goal,3.0,Left Foot,,Mohamed Salah,Pass (Live),Diogo Jota,Pass (Live)
16,58,Darwin Núñez,Liverpool,0.03,,Off Target,26.0,Right Foot,,Mohamed Salah,Pass (Live),Luis Díaz,Pass (Live)
17,59,João Gomes,Wolves,0.01,,Off Target,27.0,Right Foot,Volley,Hwang Hee-chan,Pass (Live),Nélson Semedo,Pass (Live)
18,68,Harvey Elliott,Liverpool,0.02,,Blocked,27.0,Left Foot,,Dominik Szoboszlai,Pass (Dead),,Fouled
19,70,Darwin Núñez,Liverpool,0.14,0.42,Saved,9.0,Right Foot,,Luis Díaz,Pass (Live),Darwin Núñez,Pass (Live)
20,75,Dominik Szoboszlai,Liverpool,0.04,,Off Target,26.0,Left Foot,,Joe Gomez,Pass (Live),Harvey Elliott,Pass (Live)
21,80,Nélson Semedo,Wolves,0.1,,Blocked,15.0,Right Foot,,Matt Doherty,Pass (Live),Nélson Semedo,Pass (Live)
22,84,Harvey Elliott,Liverpool,0.03,,Blocked,28.0,Left Foot,,Dominik Szoboszlai,Pass (Live),Luis Díaz,Pass (Live)
23,84,Luis Díaz,Liverpool,0.05,,Blocked,12.0,Left Foot,,Harvey Elliott,Pass (Live),Darwin Núñez,Pass (Live)
24,85,Andrew Robertson,Liverpool,0.42,0.75,Goal,7.0,Left Foot,,Mohamed Salah,Pass (Live),Andrew Robertson,Pass (Live)
25,89,Matt Doherty,Wolves,0.12,,Off Target,4.0,Head,,Boubacar Traoré,Pass (Live),,
26,90+1,Harvey Elliott,Liverpool,0.05,,Off Target,21.0,Left Foot,,Mohamed Salah,Pass (Live),Darwin Núñez,Pass (Live)
27,90+5,Luis Díaz,Liverpool,0.15,0.09,Saved,10.0,Right Foot,,Ibrahima Konaté,Pass (Live),Alisson,Pass (Live)
