player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,1,0,0,10,4,0,0,820,9,7,7,1.2,1.2,0.9,18,2,605,730,82.9,44,499,19,21,11,605,730,82.9,10506,3055,274,316,86.7,264,300,88.0,57,85,67.1,1,0.9,0.7,7,45,5,2,44,730,668,59,11,2,9,26,39,4,2,0,0,605,3,16,9,4,2,6,1,5,11,45.5,6,7,2,5,7,16,16,1,820,46,194,462,166,15,820,21,11,52.4,7,33.3,499,2490,1331,19,16,2,13,14,598,43,0,0,0,9,11,3,26,7,4,0,0,0,45,12,23,34.3
Boubacar Traoré,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.1,2,0,12,17,70.6,3,10,1,0,0,12,17,70.6,221,69,5,8,62.5,5,6,83.3,2,3,66.7,0,0.1,0.1,1,3,2,1,3,17,17,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,0,1,11,6,0,18,0,0,,0,,10,66,39,1,0,0,0,1,16,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0.0
Craig Dawson,0,0,0,0,1,0,0,0,89,1,0,1,0.1,0.1,0.0,1,0,73,82,89.0,1,56,0,0,0,73,82,89.0,1714,616,11,14,78.6,46,47,97.9,16,21,76.2,0,0.0,0.0,1,4,0,0,1,82,81,1,1,0,1,0,0,0,0,0,0,73,0,0,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,4,0,89,7,42,44,3,3,89,0,0,,0,,56,208,93,0,0,0,0,0,65,0,0,0,0,0,0,1,0,0,1,0,0,0,6,2,6,25.0
Hugo Bueno,0,0,0,0,1,0,0,0,61,0,0,4,0.1,0.1,0.0,0,0,33,45,73.3,1,28,1,4,1,33,45,73.3,504,38,17,22,77.3,15,17,88.2,1,1,100.0,0,0.0,0.0,0,0,0,0,1,45,39,6,0,0,0,2,6,0,0,0,0,33,0,4,0,0,0,0,0,0,0,,0,4,0,4,0,0,1,0,61,0,9,31,21,1,61,4,1,25.0,2,50.0,28,141,53,1,1,0,1,2,38,4,0,0,0,1,1,1,2,0,0,0,0,0,1,1,0,100.0
Hwang Hee-chan,0,0,0,0,1,0,0,0,37,1,0,0,0.1,0.1,0.0,1,0,24,28,85.7,1,25,0,5,4,24,28,85.7,362,32,17,19,89.5,4,5,80.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1,28,23,5,0,0,1,2,2,1,0,0,0,24,0,2,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,37,1,1,15,21,1,37,5,4,80.0,1,20.0,25,95,15,0,1,0,3,3,30,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0.0
Jean-Ricner Bellegarde,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,9,12,75.0,3,10,0,0,0,9,12,75.0,188,36,1,2,50.0,7,9,77.8,1,1,100.0,0,0.0,0.0,0,1,0,0,3,12,12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,0,1,9,4,0,14,0,0,,0,,10,29,11,0,0,0,2,0,13,3,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,100.0
José Sá,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,23,23,100.0,0,16,0,1,1,23,23,100.0,486,281,6,6,100.0,14,14,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,0,23,18,5,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24,22,24,0,0,0,24,1,1,100.0,0,0.0,16,134,104,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
João Gomes,0,0,0,0,0,0,0,0,54,3,1,0,0.0,0.0,0.0,2,0,35,47,74.5,6,28,1,4,3,35,47,74.5,535,151,20,23,87.0,9,12,75.0,4,8,50.0,0,0.0,0.0,0,2,1,1,6,47,43,4,3,0,0,4,0,1,0,0,0,35,0,1,3,1,1,1,1,0,2,0.0,2,0,0,0,1,4,0,0,54,1,7,36,11,0,54,4,3,75.0,1,25.0,28,169,63,1,0,0,0,1,32,0,0,0,0,3,0,0,4,1,1,0,0,0,5,2,0,100.0
Mario Lemina,0,0,0,0,0,0,0,0,55,0,1,0,0.0,0.0,0.0,1,1,48,52,92.3,2,29,1,0,0,48,52,92.3,809,168,25,27,92.6,20,22,90.9,3,3,100.0,0,0.0,0.1,0,7,1,0,2,52,52,0,0,1,1,1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,55,1,4,42,10,0,55,0,0,,0,,29,136,46,1,2,0,1,1,44,1,0,0,0,0,2,0,1,1,0,0,0,0,5,0,0,
Matheus Cunha,1,0,0,0,5,4,0,0,54,1,2,0,0.9,0.9,0.0,4,0,31,40,77.5,1,37,2,4,2,31,40,77.5,467,98,14,17,82.4,13,15,86.7,2,3,66.7,0,0.0,0.0,0,1,0,0,1,40,36,2,1,0,0,1,1,0,0,0,0,31,2,1,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,2,0,54,1,4,34,17,7,54,4,2,50.0,1,25.0,37,244,130,2,3,2,3,2,40,4,0,0,0,1,3,0,1,2,1,0,0,0,9,0,1,0.0
Matt Doherty,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,16,19,84.2,1,8,0,1,0,16,19,84.2,227,50,9,11,81.8,5,6,83.3,1,1,100.0,0,0.0,0.0,0,0,0,0,1,19,16,3,0,0,0,0,3,0,0,0,0,16,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,0,2,13,6,0,21,1,0,0.0,1,100.0,8,26,6,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3
Max Kilman,0,0,0,0,0,0,0,0,119,0,1,1,0.0,0.0,0.0,1,0,104,113,92.0,8,88,1,1,0,104,113,92.0,1851,608,46,47,97.9,46,49,93.9,11,15,73.3,0,0.0,0.0,1,7,0,0,8,113,112,1,0,0,4,1,1,0,0,0,0,104,0,1,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,1,119,6,34,77,8,1,119,1,0,0.0,0,0.0,88,408,252,1,1,0,0,1,99,1,0,0,0,1,1,0,1,1,0,0,0,0,7,2,4,33.3
Nélson Semedo,0,0,0,0,1,0,0,0,82,1,1,0,0.0,0.0,0.0,0,0,65,76,85.5,4,48,5,0,0,65,76,85.5,952,213,34,38,89.5,27,30,90.0,2,6,33.3,0,0.0,0.0,0,4,0,0,4,76,62,14,0,0,0,3,14,0,0,0,0,65,0,2,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,1,0,82,1,15,40,27,0,82,0,0,,0,,48,293,158,5,4,0,1,2,58,6,0,0,0,1,1,0,3,1,0,0,0,0,3,0,4,0.0
Pablo Sarabia,0,1,0,0,0,0,0,0,61,1,0,0,0.0,0.0,0.8,4,1,39,57,68.4,5,38,3,0,0,39,57,68.4,676,180,24,27,88.9,10,14,71.4,5,11,45.5,1,0.8,0.4,4,4,1,0,5,57,51,5,3,1,1,7,0,2,2,0,0,39,1,3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,61,1,2,39,20,1,61,0,0,,0,,38,161,91,3,3,0,1,1,49,8,0,0,0,0,1,1,7,0,0,0,0,0,2,1,0,100.0
Sasa Kalajdzic,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,,0,,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Toti Gomes,0,0,0,0,0,0,0,0,129,1,1,1,0.0,0.0,0.0,1,0,93,118,78.8,8,77,4,1,0,93,118,78.8,1514,515,45,54,83.3,43,54,79.6,4,7,57.1,0,0.0,0.0,0,12,0,0,8,118,105,13,1,0,1,3,12,0,0,0,0,93,0,1,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,3,0,129,5,48,70,11,1,129,1,0,0.0,1,100.0,77,380,270,4,1,0,1,0,89,2,0,0,0,1,0,0,3,1,1,0,0,0,3,2,2,50.0
