player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,2,1,0,0,6,2,4,0,380,24,6,7,0.9,0.9,0.8,11,3,203,272,74.6,16,161,14,22,7,203,272,74.6,4276,2168,87,105,82.9,71,84,84.5,43,67,64.2,1,0.8,1.0,4,15,4,2,16,272,230,39,10,2,1,12,13,2,0,0,2,203,3,8,24,16,13,10,1,8,14,57.1,6,7,4,3,6,30,31,1,380,62,158,158,70,14,380,22,7,31.8,12,54.5,161,958,500,14,2,7,13,8,201,16,4,0,0,12,9,3,12,6,16,0,0,0,36,11,8,57.9
Ashley Young,0,0,0,0,0,0,1,0,38,3,0,0,0.0,0.0,0.0,1,0,23,28,82.1,5,10,1,0,0,23,28,82.1,495,335,10,11,90.9,9,9,100.0,4,7,57.1,0,0.0,0.0,0,5,0,0,5,28,23,4,0,0,0,0,4,0,0,0,0,23,1,0,3,2,1,1,1,0,0,,0,0,0,0,0,3,7,0,38,4,17,19,2,0,38,0,0,,0,,10,57,52,1,0,0,0,0,19,1,1,0,0,1,1,0,0,0,2,0,0,0,4,0,0,
Beto,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,100.0
Dominic Calvert-Lewin,1,0,0,0,3,1,0,0,28,0,0,0,0.8,0.8,0.0,0,0,9,13,69.2,0,19,1,3,0,9,13,69.2,69,8,7,11,63.6,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,0,0,16,13,4,28,3,0,0.0,2,66.7,19,68,21,1,0,2,6,3,26,4,0,0,0,2,3,2,0,0,0,0,0,0,2,4,2,66.7
Dwight McNeil,1,1,0,0,1,1,0,0,38,1,0,1,0.0,0.0,0.8,5,2,21,32,65.6,3,20,2,1,0,21,32,65.6,550,212,7,10,70.0,5,7,71.4,9,12,75.0,1,0.8,0.9,3,2,2,1,3,32,24,8,3,2,0,8,0,2,0,0,2,21,0,2,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,38,0,3,22,14,0,38,1,0,0.0,1,100.0,20,111,56,2,0,0,1,1,26,6,0,0,0,0,0,1,8,0,1,0,0,0,2,0,1,0.0
Idrissa Gana Gueye,0,0,0,0,0,0,0,0,18,2,2,1,0.0,0.0,0.0,0,0,8,10,80.0,0,3,0,0,0,8,10,80.0,86,27,7,7,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,2,1,0,2,0,0,1,0.0,1,1,0,1,2,4,3,0,18,2,6,12,0,0,18,0,0,,0,,3,10,2,0,0,0,0,1,4,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0.0
Iliman Ndiaye,0,0,0,0,0,0,1,0,25,0,1,1,0.0,0.0,0.0,1,0,11,14,78.6,2,14,4,8,3,11,14,78.6,192,33,4,5,80.0,7,7,100.0,0,0,,0,0.0,0.0,0,1,0,0,2,14,13,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,25,2,9,10,8,2,25,8,3,37.5,5,62.5,14,119,66,4,0,2,0,0,13,0,1,0,0,2,2,0,0,1,0,0,0,0,5,1,1,50.0
Jack Harrison,0,0,0,0,0,0,0,0,20,2,0,0,0.0,0.0,0.0,1,1,9,10,90.0,0,10,1,3,1,9,10,90.0,134,7,5,5,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,2,2,0,2,0,0,1,0.0,1,0,0,0,0,2,4,1,20,4,5,10,5,2,20,3,1,33.3,1,33.3,10,68,17,1,1,1,3,1,11,1,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,
Jake O'Brien,0,0,0,0,0,0,1,0,20,2,0,1,0.0,0.0,0.0,1,0,12,15,80.0,1,7,0,3,1,12,15,80.0,147,77,10,11,90.9,1,1,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,15,11,4,0,0,0,0,4,0,0,0,0,12,0,0,2,2,1,1,0,2,2,100.0,0,1,0,1,0,2,0,0,20,0,9,9,3,0,20,3,1,33.3,2,66.7,7,37,22,0,0,0,0,0,11,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,
James Garner,0,0,0,0,0,0,0,0,32,2,1,1,0.0,0.0,0.0,1,0,19,25,76.0,1,15,1,1,0,19,25,76.0,322,133,8,11,72.7,7,8,87.5,3,4,75.0,0,0.0,0.1,1,1,1,1,1,25,22,3,0,0,0,1,3,0,0,0,0,19,0,1,2,2,1,1,0,2,2,100.0,0,1,1,0,1,3,2,0,32,2,10,13,9,0,32,1,0,0.0,1,100.0,15,94,38,1,1,0,0,0,21,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,
