player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,2,2,0,0,14,4,1,0,616,17,7,13,2.1,2.1,2.0,27,4,435,514,84.6,46,369,24,24,10,435,514,84.6,7745,2737,195,219,89.0,188,210,89.5,40,60,66.7,2,2.0,2.3,12,34,10,2,46,514,466,48,18,2,5,12,19,4,2,2,0,435,0,8,17,12,9,7,1,9,19,47.4,10,13,2,11,7,24,11,0,616,81,229,246,146,33,616,24,10,41.7,14,58.3,369,2176,1256,24,12,8,12,5,433,46,1,0,0,9,13,0,12,7,12,0,0,0,42,8,6,57.1
Billy Gilmour,0,0,0,0,1,0,0,0,61,3,0,1,0.1,0.1,0.0,3,0,48,55,87.3,10,34,2,2,1,48,55,87.3,868,321,27,28,96.4,17,20,85.0,4,7,57.1,0,0.0,0.0,0,11,1,0,10,55,53,2,1,0,2,1,0,1,1,0,0,48,0,0,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0,61,2,13,37,11,0,61,2,1,50.0,1,50.0,34,187,107,2,0,0,0,0,47,1,0,0,0,2,2,0,1,0,3,0,0,0,5,0,0,
Carlos Baleba,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,5,1,1,1,8,8,100.0,97,17,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,9,0,1,6,2,0,9,1,1,100.0,0,0.0,5,20,18,1,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,
Danny Welbeck,1,0,0,0,3,2,0,0,24,1,1,0,1.1,1.1,0.1,4,0,15,18,83.3,1,10,1,0,0,15,18,83.3,182,29,9,11,81.8,5,6,83.3,0,0,,0,0.1,0.0,2,0,1,0,1,18,16,2,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,24,0,0,15,9,4,24,0,0,,0,,10,45,19,1,1,0,1,0,16,5,0,0,0,0,1,0,0,1,1,0,0,0,2,1,0,100.0
Georginio Rutter,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,2,4,1,1,1,3,3,100.0,38,21,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,2,2,0,4,1,1,100.0,0,0.0,4,48,36,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jack Hinshelwood,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,2,0,39,48,81.3,3,25,1,1,1,39,48,81.3,692,130,16,20,80.0,18,20,90.0,4,6,66.7,0,0.0,0.2,1,3,1,0,3,48,40,8,3,0,2,0,5,0,0,0,0,39,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,52,1,12,27,14,2,52,1,1,100.0,0,0.0,25,157,88,1,2,0,1,0,33,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0
James Milner,0,0,0,0,2,0,0,0,41,1,1,1,0.2,0.2,0.0,3,0,23,31,74.2,5,25,0,1,1,23,31,74.2,370,147,12,13,92.3,10,15,66.7,1,1,100.0,0,0.0,0.0,1,2,0,0,5,31,29,2,1,2,0,1,0,1,0,1,0,23,0,1,1,0,0,1,0,1,1,100.0,0,1,0,1,1,2,2,0,41,1,5,23,13,2,41,1,1,100.0,0,0.0,25,133,44,0,1,0,0,0,29,6,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,
Jan Paul van Hecke,0,0,0,0,0,0,1,0,96,4,3,0,0.0,0.0,0.0,0,0,76,86,88.4,6,77,0,1,1,76,86,88.4,1360,468,29,31,93.5,43,45,95.6,3,7,42.9,0,0.0,0.0,0,2,0,0,6,86,86,0,0,0,0,0,0,0,0,0,0,76,0,2,4,2,3,1,0,2,2,100.0,0,0,0,0,3,7,2,0,96,11,59,36,2,2,96,1,1,100.0,0,0.0,77,467,296,0,1,0,0,0,75,0,1,0,0,2,0,0,0,3,2,0,0,0,11,1,1,50.0
Jason Steele,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,45,50,90.0,0,40,0,0,0,45,50,90.0,1170,813,9,9,100.0,22,23,95.7,14,18,77.8,0,0.0,0.0,0,0,0,0,0,50,46,4,4,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,51,47,51,0,0,0,51,0,0,,0,,40,153,78,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
João Pedro,1,0,0,0,3,2,0,0,36,2,0,0,0.5,0.5,0.1,4,1,19,24,79.2,6,24,3,5,1,19,24,79.2,399,163,10,15,66.7,6,6,100.0,3,3,100.0,0,0.1,0.1,1,4,4,1,6,24,23,1,1,0,1,1,0,0,0,0,0,19,0,0,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,36,0,3,16,19,3,36,5,1,20.0,4,80.0,24,170,100,3,2,0,3,5,31,5,0,0,0,0,1,0,1,0,2,0,0,0,3,1,0,100.0
