player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,3,3,0,0,17,7,1,0,569,26,7,10,2.4,2.4,2.2,33,6,327,441,74.1,36,317,22,18,5,327,441,74.1,5895,2374,141,170,82.9,150,181,82.9,31,68,45.6,3,2.2,1.8,14,23,11,8,36,441,391,48,8,0,2,24,19,4,3,1,0,327,2,9,26,10,13,8,5,9,19,47.4,10,10,2,8,7,33,24,0,569,69,217,217,142,28,569,18,5,27.8,11,61.1,317,1945,1142,22,12,5,17,6,324,36,1,0,0,11,6,2,24,7,10,0,0,0,51,17,22,43.6
Adam Smith,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.1,2,0,9,15,60.0,1,5,1,0,0,9,15,60.0,124,64,4,5,80.0,4,7,57.1,0,1,0.0,0,0.1,0.0,1,0,0,0,1,15,8,7,0,0,0,2,7,0,0,0,0,9,0,1,1,1,0,0,1,0,0,,0,1,0,1,0,1,1,0,18,0,6,6,6,0,18,0,0,,0,,5,30,7,1,0,0,0,1,5,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0
Alex Scott,0,0,0,0,0,0,0,0,21,3,0,1,0.0,0.0,0.0,1,0,14,18,77.8,3,15,0,0,0,14,18,77.8,288,114,6,7,85.7,5,7,71.4,3,3,100.0,0,0.0,0.0,0,1,0,0,3,18,17,1,1,0,0,0,0,0,0,0,0,14,0,1,3,1,1,1,1,2,2,100.0,0,1,1,0,0,3,0,0,21,1,8,8,5,0,21,0,0,,0,,15,79,40,0,0,0,0,0,15,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.0
Antoine Semenyo,1,0,0,0,5,2,1,0,41,2,0,0,0.6,0.6,0.1,3,0,13,25,52.0,1,29,6,5,1,13,25,52.0,175,31,8,10,80.0,5,8,62.5,0,4,0.0,0,0.1,0.0,1,0,1,1,1,25,23,2,0,0,0,2,2,0,0,0,0,13,0,2,2,1,1,1,0,0,1,0.0,1,0,0,0,0,2,1,0,41,1,10,12,19,7,41,5,1,20.0,3,60.0,29,254,149,6,3,2,2,1,29,8,1,0,0,2,1,0,2,0,1,0,0,0,6,1,2,33.3
Dango Ouattara,0,1,0,0,0,0,0,0,21,0,0,1,0.0,0.0,1.0,3,1,13,17,76.5,0,11,1,1,0,13,17,76.5,232,91,8,8,100.0,3,4,75.0,2,5,40.0,1,1.0,0.8,3,0,2,2,0,17,14,3,0,0,1,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,21,1,7,6,9,2,21,1,0,0.0,1,100.0,11,146,49,1,1,1,1,0,11,3,0,0,0,0,0,1,3,0,0,0,0,0,3,0,1,0.0
Dean Huijsen,0,0,0,0,0,0,0,0,20,1,1,0,0.0,0.0,0.0,1,0,14,16,87.5,1,12,0,1,0,14,16,87.5,253,142,5,5,100.0,8,9,88.9,1,1,100.0,0,0.0,0.0,1,2,0,0,1,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,20,1,10,8,2,0,20,1,0,0.0,1,100.0,12,67,44,0,1,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,100.0
Evanilson,0,0,0,0,1,0,0,0,14,0,0,0,0.2,0.2,0.0,2,0,7,9,77.8,1,9,0,1,0,7,9,77.8,81,15,5,6,83.3,2,3,66.7,0,0,,0,0.0,0.1,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,0,0,10,4,2,14,1,0,0.0,0,0.0,9,29,1,0,0,0,2,2,13,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,
Illia Zabarnyi,0,0,0,0,1,0,0,0,69,1,2,2,0.2,0.2,0.0,0,0,44,55,80.0,6,40,0,0,0,44,55,80.0,953,438,10,13,76.9,29,33,87.9,5,8,62.5,0,0.0,0.0,0,2,0,0,6,55,54,1,1,0,0,0,0,0,0,0,0,44,0,0,1,0,1,0,0,1,2,50.0,1,2,0,2,2,3,7,0,69,10,39,28,2,2,69,0,0,,0,,40,265,170,0,0,0,1,1,38,0,0,0,0,0,0,0,0,2,0,0,0,0,4,7,2,77.8
Julian Araujo,0,0,0,0,0,0,0,0,32,3,1,0,0.0,0.0,0.0,0,0,23,27,85.2,1,19,1,0,0,23,27,85.2,359,101,13,14,92.9,8,9,88.9,1,2,50.0,0,0.0,0.0,0,1,0,0,1,27,25,2,0,0,0,0,2,0,0,0,0,23,0,0,3,2,1,2,0,1,2,50.0,1,0,0,0,1,4,0,0,32,1,15,12,6,1,32,0,0,,0,,19,83,42,1,0,0,1,0,21,1,0,0,0,2,1,0,0,1,2,0,0,0,3,0,1,0.0
Justin Kluivert,0,1,0,0,1,0,0,0,43,3,0,0,0.1,0.1,0.6,5,2,21,30,70.0,2,23,2,3,1,21,30,70.0,346,78,11,16,68.8,8,11,72.7,2,2,100.0,1,0.6,0.3,3,0,1,1,2,30,27,3,0,0,0,3,0,0,0,0,0,21,0,1,3,1,2,0,1,1,1,100.0,0,0,0,0,0,3,5,0,43,5,9,15,20,3,43,3,1,33.3,2,66.7,23,108,56,2,1,1,1,0,27,5,0,0,0,1,1,0,3,0,1,0,0,0,2,2,0,100.0
