player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,3,3,0,0,22,11,6,0,484,19,6,6,2.3,2.3,2.0,36,4,305,379,80.5,30,293,27,17,4,305,379,80.5,5096,1850,157,173,90.8,121,136,89.0,20,55,36.4,3,2.0,1.2,17,29,9,3,30,379,331,47,13,3,2,17,14,6,1,4,0,305,1,4,19,9,9,7,3,5,12,41.7,7,6,3,3,6,25,21,1,484,58,149,170,169,37,484,17,4,23.5,7,41.2,293,1539,904,27,16,10,16,2,300,30,6,0,0,16,8,1,17,6,9,0,0,0,38,6,15,28.6
Adama Traoré,0,1,0,0,1,1,1,0,34,1,0,0,0.1,0.1,0.4,7,1,27,29,93.1,5,29,7,3,1,27,29,93.1,374,110,17,18,94.4,10,10,100.0,0,0,,1,0.4,0.6,3,2,3,1,5,29,29,0,0,0,0,3,0,0,0,0,0,27,0,1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,34,0,2,10,22,4,34,3,1,33.3,2,66.7,29,234,162,7,2,3,1,0,32,4,1,0,0,1,2,1,3,0,1,0,0,0,3,0,2,0.0
Alex Iwobi,0,1,0,0,3,2,0,0,46,0,1,1,0.4,0.4,0.6,6,1,26,33,78.8,5,35,4,4,1,26,33,78.8,463,209,15,15,100.0,8,12,66.7,2,5,40.0,1,0.6,0.2,5,6,2,0,5,33,32,1,0,1,0,3,0,1,0,1,0,26,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,46,0,5,13,28,5,46,4,1,25.0,3,75.0,35,115,81,4,2,2,3,0,36,6,0,0,0,0,1,0,3,1,0,0,0,0,2,0,1,0.0
Andreas Pereira,0,0,0,0,2,1,1,0,41,3,0,0,0.1,0.1,0.1,3,0,22,33,66.7,3,23,0,1,0,22,33,66.7,380,118,10,14,71.4,8,11,72.7,3,7,42.9,0,0.1,0.1,3,0,1,0,3,33,25,8,1,0,0,5,0,5,1,3,0,22,0,0,3,1,1,1,1,1,1,100.0,0,0,0,0,0,3,1,0,41,0,3,21,17,2,41,1,0,0.0,1,100.0,23,66,26,0,2,0,1,0,22,4,1,0,0,1,0,0,5,0,1,0,0,0,3,0,0,
Antonee Robinson,0,0,0,0,1,0,0,0,42,0,0,2,0.1,0.1,0.1,2,0,28,34,82.4,1,23,1,1,1,28,34,82.4,547,229,12,13,92.3,14,17,82.4,2,3,66.7,0,0.1,0.0,1,3,1,1,1,34,28,6,0,0,0,2,6,0,0,0,0,28,0,1,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0,42,2,11,15,16,1,42,1,1,100.0,0,0.0,23,103,55,1,2,0,2,0,22,3,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,100.0
Bernd Leno,0,0,0,0,0,0,1,0,33,0,0,0,0.0,0.0,0.0,0,0,16,31,51.6,0,21,0,0,0,16,31,51.6,495,309,3,4,75.0,8,8,100.0,5,19,26.3,0,0.0,0.0,0,0,0,0,0,31,23,8,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,33,31,33,0,0,0,33,0,0,,0,,21,71,41,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Calvin Bassey,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,2,0,30,31,96.8,1,17,0,0,0,30,31,96.8,434,106,16,17,94.1,11,11,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,31,21,10,2,0,0,0,0,0,0,0,0,30,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,1,6,0,41,14,26,15,0,0,41,0,0,,0,,17,76,33,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Emile Smith Rowe,1,0,0,0,3,1,0,0,37,3,0,0,0.4,0.4,0.0,3,1,25,28,89.3,7,26,5,1,0,25,28,89.3,388,86,11,14,78.6,14,14,100.0,0,0,,0,0.0,0.0,0,3,0,0,7,28,27,1,1,1,0,0,0,0,0,0,0,25,0,0,3,1,1,0,2,1,2,50.0,1,0,0,0,0,3,1,0,37,1,5,17,16,4,37,1,0,0.0,0,0.0,26,228,170,5,2,1,3,0,29,6,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,50.0
Harrison Reed,0,0,0,0,0,0,1,0,13,2,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,6,1,0,0,6,8,75.0,82,9,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,13,0,3,5,6,2,13,0,0,,0,,6,32,11,1,1,0,1,0,3,1,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,
Issa Diop,0,0,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,2,2,100.0,72,25,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,2,0,0,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,4,0,3,1,0,0,4,0,0,,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
