player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,2,1,0,0,33,11,3,0,847,10,3,2,2.2,2.2,1.7,64,3,669,749,89.3,54,601,59,21,10,669,749,89.3,9984,2410,390,416,93.8,239,262,91.2,32,51,62.7,1,1.7,2.9,27,44,16,6,54,749,705,44,10,3,2,24,20,8,3,0,0,669,0,12,10,5,2,5,3,4,8,50.0,4,2,0,2,3,13,9,1,847,34,112,236,504,53,847,21,10,47.6,9,42.9,601,3387,2010,59,38,17,10,7,658,54,3,0,0,7,10,0,24,3,5,0,0,0,39,16,11,59.3
Bernardo Silva,0,0,0,0,1,0,1,0,64,0,0,0,0.1,0.1,0.3,8,0,45,56,80.4,2,44,7,5,2,45,56,80.4,783,73,18,20,90.0,24,27,88.9,3,5,60.0,0,0.3,0.2,5,1,0,0,2,56,48,8,1,0,0,6,2,2,1,0,0,45,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,64,1,5,14,46,9,64,5,2,40.0,3,60.0,44,302,162,7,2,5,0,1,46,15,1,0,0,0,1,0,6,0,0,0,0,0,1,1,1,50.0
Ederson,0,0,0,0,0,0,1,0,28,0,0,0,0.0,0.0,0.0,2,0,23,27,85.2,1,22,0,0,0,23,27,85.2,558,390,3,3,100.0,15,15,100.0,5,9,55.6,0,0.0,0.0,0,1,0,0,1,27,26,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,18,24,4,0,0,28,0,0,,0,,22,90,56,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Erling Haaland,1,0,0,0,6,5,0,0,18,0,0,1,0.9,0.9,0.0,1,0,4,7,57.1,0,7,0,1,0,4,7,57.1,32,6,3,6,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,18,0,0,5,13,10,18,1,0,0.0,1,100.0,7,15,7,0,0,0,2,1,14,3,0,0,0,3,1,0,0,0,0,0,0,0,0,4,2,66.7
Jack Grealish,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,3,0,13,14,92.9,0,11,6,1,1,13,14,92.9,174,18,8,9,88.9,5,5,100.0,0,0,,0,0.1,0.1,2,0,0,0,0,14,11,3,0,0,0,0,2,1,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,0,0,2,13,5,15,1,1,100.0,0,0.0,11,125,89,6,3,4,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeremy Doku,0,0,0,0,2,0,0,0,42,1,0,0,0.0,0.0,0.0,7,0,26,30,86.7,1,27,4,3,2,26,30,86.7,409,54,14,16,87.5,11,11,100.0,1,1,100.0,0,0.0,0.1,1,0,2,1,1,30,29,1,0,0,0,3,0,1,0,0,0,26,0,2,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,42,0,2,9,31,2,42,3,2,66.7,1,33.3,27,206,97,4,0,0,1,1,34,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,
John Stones,1,0,0,0,1,1,0,0,2,0,0,0,0.2,0.2,0.0,0,0,1,1,100.0,0,1,1,0,0,1,1,100.0,14,3,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,,0,,1,16,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joško Gvardiol,0,0,0,0,2,2,0,0,51,3,0,1,0.1,0.1,0.0,2,0,40,41,97.6,4,23,2,0,0,40,41,97.6,630,138,21,21,100.0,17,17,100.0,2,3,66.7,0,0.0,0.1,1,1,1,0,4,41,34,7,1,0,0,0,6,0,0,0,0,40,0,0,3,2,1,1,1,1,2,50.0,1,1,0,1,0,3,2,0,51,2,13,13,25,5,51,0,0,,0,,23,146,88,2,2,0,1,1,24,3,0,0,0,0,1,0,0,0,2,0,0,0,5,3,4,42.9
Kyle Walker,0,0,0,0,4,2,0,0,125,1,0,0,0.1,0.1,0.2,5,0,107,117,91.5,14,95,4,0,0,107,117,91.5,1617,414,62,65,95.4,36,39,92.3,7,9,77.8,0,0.2,0.7,3,8,2,2,14,117,105,12,3,1,0,3,9,0,0,0,0,107,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,125,0,10,44,73,0,125,0,0,,0,,95,433,284,4,7,0,2,0,98,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,100.0
Manuel Akanji,0,0,0,0,2,0,0,0,116,1,1,0,0.0,0.0,0.1,8,0,96,107,89.7,9,86,7,0,0,96,107,89.7,1543,299,49,54,90.7,42,46,91.3,5,7,71.4,0,0.1,0.3,4,12,1,1,9,107,106,1,0,1,1,3,0,0,0,0,0,96,0,0,1,0,0,0,1,1,1,100.0,0,0,0,0,1,2,4,0,116,7,16,38,62,2,116,0,0,,0,,86,529,330,7,7,0,1,0,90,0,0,0,0,0,1,0,3,1,0,0,0,0,5,2,2,50.0
