,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,8,Adama Traoré,Fulham,0.03,0.0,Off Target,19.0,Right Foot,,Rodrigo Muniz,Pass (Live),Rodrigo Muniz,Take-On
1,13,Kenny Tete,Fulham,0.02,0.28,Saved,31.0,Right Foot,,Andreas Pereira,Pass (Live),Adama Traoré,Pass (Live)
2,14,Rodrigo Muniz,Fulham,0.05,0.0,Blocked,13.0,Head,,Andreas Pereira,Pass (Dead),Kenny Tete,Shot
3,20,Bruno Fernandes,Manchester Utd,0.02,0.0,Off Target,10.0,Left Foot,Volley,Lisandro Martínez,Pass (Live),Harry Maguire,Pass (Live)
4,27,Casemiro,Manchester Utd,0.04,0.0,Off Target,29.0,Right Foot,,Mason Mount,Pass (Live),Kobbie Mainoo,Pass (Live)
5,29,Bruno Fernandes,Manchester Utd,0.25,0.14,Saved,15.0,Right Foot,,Casemiro,Pass (Live),,
6,34,Bruno Fernandes,Manchester Utd,0.69,0.59,Saved,10.0,Right Foot,,Casemiro,Pass (Live),Mason Mount,Pass (Live)
7,37,Casemiro,Manchester Utd,0.07,0.0,Off Target,5.0,Head,,Amad Diallo,Pass (Dead),,
8,42,Casemiro,Manchester Utd,0.05,0.0,Off Target,22.0,Right Foot,Volley,Diogo Dalot,Pass (Live),Lisandro Martínez,Pass (Live)
9,,,,,,,,,,,,,
10,48,Alex Iwobi,Fulham,0.04,0.0,Off Target,7.0,Head,,Andreas Pereira,Pass (Dead),,
11,50,Kenny Tete,Fulham,0.07,0.0,Off Target,6.0,Head,,Andreas Pereira,Pass (Dead),Andreas Pereira,Pass (Live)
12,53,Mason Mount,Manchester Utd,0.3,0.3,Saved,8.0,Left Foot,,Bruno Fernandes,Pass (Live),André Onana,Pass (Live)
13,55,Bruno Fernandes,Manchester Utd,0.05,0.0,Blocked,25.0,Right Foot,,,,,
14,56,Kobbie Mainoo,Manchester Utd,0.03,0.0,Off Target,26.0,Right Foot,,Mason Mount,Pass (Live),Casemiro,Pass (Live)
15,62,Rodrigo Muniz,Fulham,0.06,0.63,Saved,16.0,Right Foot,"Deflected, Volley",Adama Traoré,Pass (Live),Andreas Pereira,Pass (Live)
16,66,Bruno Fernandes,Manchester Utd,0.05,0.0,Blocked,26.0,Left Foot,,Casemiro,Pass (Live),Alejandro Garnacho,Pass (Live)
17,69,Alejandro Garnacho,Manchester Utd,0.02,0.0,Saved off Target,24.0,Right Foot,,Harry Maguire,Pass (Live),Lisandro Martínez,Pass (Live)
18,71,Adama Traoré,Fulham,0.04,0.0,Blocked,22.0,Right Foot,,Tom Cairney,Pass (Live),Adama Traoré,Pass (Live)
19,72,Adama Traoré,Fulham,0.04,0.0,Blocked,26.0,Right Foot,,Andreas Pereira,Pass (Live),Adama Traoré,Pass (Live)
20,76,Calvin Bassey,Fulham,0.04,0.0,Blocked,20.0,Left Foot,Volley,Calvin Bassey,Pass (Live),Andreas Pereira,Pass (Dead)
21,80,Bruno Fernandes,Manchester Utd,0.13,0.18,Saved,21.0,Right Foot,,Alejandro Garnacho,Pass (Live),Joshua Zirkzee,Pass (Live)
22,87,Joshua Zirkzee,Manchester Utd,0.07,0.86,Goal,11.0,Left Foot,Volley,Alejandro Garnacho,Pass (Live),Casemiro,Pass (Live)
23,90+1,Calvin Bassey,Fulham,0.05,0.0,Off Target,10.0,Head,,Andreas Pereira,Pass (Dead),Kenny Tete,Fouled
24,90+4,Alejandro Garnacho,Manchester Utd,0.67,0.0,Off Target,15.0,Left Foot,,Marcus Rashford,Pass (Live),Bruno Fernandes,Pass (Live)
