,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,4.0,Diogo Jota,Liverpool,0.04,0.0,Off Target,14.0,Left Foot,,Virgil van Dijk,Pass (Live),Virgil van Dijk,Interception
1,26.0,Dominik Szoboszlai,Liverpool,0.03,0.0,Off Target,15.0,Head,,Andrew Robertson,Pass (Live),Alexis Mac Allister,Pass (Live)
2,32.0,Noussair Mazraoui,Manchester Utd,0.06,0.0,Off Target,15.0,Right Foot,Volley,Alejandro Garnacho,Pass (Live),Joshua Zirkzee,Pass (Live)
3,35.0,Luis Díaz,Liverpool,0.29,0.95,Goal,5.0,Head,,Mohamed Salah,Pass (Live),Ryan Gravenberch,Pass (Live)
4,39.0,Noussair Mazraoui,Manchester Utd,0.02,0.03,Saved,17.0,Right Foot,,Diogo Dalot,Pass (Live),Lisandro Martínez,Pass (Live)
5,42.0,Luis Díaz,Liverpool,0.32,0.72,Goal,15.0,Right Foot,,Mohamed Salah,Pass (Live),Luis Díaz,Pass (Live)
6,,,,,,,,,,,,,
7,52.0,Joshua Zirkzee,Manchester Utd,0.08,0.44,Saved,20.0,Right Foot,,Toby Collyer,Pass (Live),Kobbie Mainoo,Pass (Live)
8,56.0,Mohamed Salah,Liverpool,0.2,0.77,Goal,16.0,Left Foot,,Dominik Szoboszlai,Pass (Live),Alexis Mac Allister,Pass (Live)
9,57.0,Mohamed Salah,Liverpool,0.32,0.0,Off Target,14.0,Left Foot,,Mohamed Salah,Take-On,Mohamed Salah,Interception
10,58.0,Mohamed Salah,Liverpool,0.06,0.0,Blocked,17.0,Left Foot,,Alexis Mac Allister,Pass (Live),Dominik Szoboszlai,Pass (Live)
11,59.0,Ibrahima Konaté,Liverpool,0.04,0.0,Off Target,13.0,Right Foot,Volley,Mohamed Salah,Shot,,
12,63.0,Joshua Zirkzee,Manchester Utd,0.33,0.17,Saved,7.0,Head,,Marcus Rashford,Pass (Live),Bruno Fernandes,Pass (Live)
13,67.0,Cody Gakpo,Liverpool,0.06,0.0,Off Target,12.0,Head,,Dominik Szoboszlai,Pass (Live),Mohamed Salah,Pass (Live)
14,73.0,Lisandro Martínez,Manchester Utd,0.34,0.0,Off Target,10.0,Left Foot,Volley,Amad Diallo,Pass (Live),Diogo Dalot,Pass (Live)
15,78.0,Joshua Zirkzee,Manchester Utd,0.48,0.0,Off Target,5.0,Right Foot,Volley,Marcus Rashford,Pass (Live),Toby Collyer,Pass (Live)
16,81.0,Amad Diallo,Manchester Utd,0.03,0.0,Off Target,25.0,Left Foot,,Noussair Mazraoui,Pass (Live),Bruno Fernandes,Pass (Live)
17,86.0,Bruno Fernandes,Manchester Utd,0.02,0.0,Off Target,26.0,Right Foot,,Amad Diallo,Pass (Live),Noussair Mazraoui,Pass (Live)
18,88.0,Cody Gakpo,Liverpool,0.28,0.0,Off Target,4.0,Right Foot,Volley,Mohamed Salah,Pass (Live),Conor Bradley,Pass (Live)
19,89.0,Darwin Núñez,Liverpool,0.15,0.0,Off Target,23.0,Right Foot,,Darwin Núñez,Take-On,Dominik Szoboszlai,Pass (Live)
