player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,3,3,0,0,20,10,4,0,744,22,12,8,2.7,2.7,2.6,39,6,576,640,90.0,54,466,27,25,14,576,640,90.0,9585,2992,283,308,91.9,264,279,94.6,27,44,61.4,3,2.6,2.2,17,41,15,1,54,640,601,39,11,5,3,9,17,7,2,0,3,576,0,8,22,13,8,10,4,13,17,76.5,4,8,2,6,12,34,12,0,744,56,203,374,174,34,744,25,14,56.0,7,28.0,466,2277,1169,27,13,8,10,14,569,54,4,0,0,14,11,0,9,12,13,0,1,0,45,7,4,63.6
Alejandro Garnacho,1,0,0,0,2,1,0,0,12,0,0,1,0.3,0.3,0.1,1,0,6,6,100.0,0,12,1,1,0,6,6,100.0,84,7,4,4,100.0,2,2,100.0,0,0,,0,0.1,0.0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,12,0,1,5,7,3,12,1,0,0.0,0,0.0,12,59,33,1,1,0,0,3,10,5,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,
Amad Diallo,0,1,0,0,1,1,0,0,68,4,0,0,0.0,0.0,0.5,10,1,55,62,88.7,9,42,13,1,0,55,62,88.7,784,143,35,41,85.4,18,18,100.0,1,2,50.0,1,0.5,0.4,6,2,7,0,9,62,57,5,0,1,0,1,3,2,1,0,0,55,0,0,4,3,0,2,2,3,3,100.0,0,0,0,0,0,4,0,0,68,0,3,23,44,9,68,1,0,0.0,1,100.0,42,300,187,13,6,6,0,0,55,21,0,0,0,2,0,0,1,0,3,0,0,0,4,1,0,100.0
André Onana,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,35,85.7,0,29,0,0,0,30,35,85.7,696,423,5,5,100.0,21,21,100.0,4,9,44.4,0,0.0,0.0,0,0,0,0,0,35,33,2,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,39,29,39,0,0,0,39,0,0,,0,,29,172,101,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bruno Fernandes,0,1,0,0,5,0,1,0,61,4,0,2,0.2,0.2,0.3,3,1,36,42,85.7,10,35,4,5,3,36,42,85.7,564,167,19,21,90.5,14,14,100.0,3,6,50.0,1,0.3,0.3,1,5,2,1,10,42,40,2,0,0,0,2,0,1,0,0,1,36,0,1,4,3,1,2,1,1,3,33.3,2,2,0,2,0,4,0,0,61,1,4,30,27,4,61,5,3,60.0,2,40.0,35,155,82,4,1,1,3,4,47,7,1,0,0,0,0,0,2,0,3,0,0,0,2,0,1,0.0
Casemiro,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,1,22,24,91.7,5,20,0,0,0,22,24,91.7,432,144,7,7,100.0,12,14,85.7,2,2,100.0,0,0.0,0.0,0,3,2,0,5,24,24,0,0,1,1,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24,0,4,15,5,0,24,0,0,,0,,20,104,76,0,2,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Christian Eriksen,0,0,0,0,0,0,1,0,52,1,0,2,0.0,0.0,0.8,5,2,42,47,89.4,6,24,2,0,0,42,47,89.4,657,218,27,29,93.1,13,13,100.0,2,4,50.0,0,0.8,0.4,2,5,1,0,6,47,42,5,1,1,0,3,0,4,1,0,2,42,0,1,1,0,0,1,0,1,1,100.0,0,2,1,1,0,1,0,0,52,2,7,33,12,1,52,0,0,,0,,24,110,63,2,1,0,1,0,37,2,1,0,0,1,1,0,3,0,0,0,0,0,3,0,0,
Diogo Dalot,0,1,0,0,0,0,0,0,93,1,2,0,0.0,0.0,0.4,3,1,78,86,90.7,3,61,0,2,1,78,86,90.7,1326,427,35,38,92.1,40,44,90.9,3,3,100.0,1,0.4,0.5,2,2,1,0,3,86,78,8,3,0,1,1,5,0,0,0,0,78,0,2,1,1,0,1,0,1,2,50.0,1,0,0,0,2,3,2,0,93,2,36,41,16,4,93,2,1,50.0,0,0.0,61,212,78,0,1,0,2,0,69,4,0,0,0,4,2,0,1,2,1,0,1,0,6,0,0,
Harry Maguire,0,0,0,0,0,0,1,0,25,0,0,0,0.0,0.0,0.0,0,0,25,25,100.0,2,18,0,1,1,25,25,100.0,415,182,10,10,100.0,14,14,100.0,1,1,100.0,0,0.0,0.0,0,3,0,0,2,25,24,1,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,0,8,17,0,0,25,1,1,100.0,0,0.0,18,111,44,0,0,0,0,0,22,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Jonny Evans,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,1,0,18,18,100.0,2,8,0,0,0,18,18,100.0,277,59,9,9,100.0,9,9,100.0,0,0,,0,0.0,0.0,0,3,0,0,2,18,15,3,1,0,0,0,2,0,0,0,0,18,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,19,0,2,15,3,0,19,0,0,,0,,8,24,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0
