player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,0,0,0,0,10,1,0,0,401,29,15,8,1.0,1.0,0.9,17,0,211,287,73.5,22,209,10,22,5,211,287,73.5,4422,1978,84,99,84.8,90,108,83.3,36,63,57.1,0,0.9,0.9,8,16,5,2,22,287,241,42,11,2,0,15,15,5,3,2,0,211,4,8,29,19,16,9,4,13,20,65.0,7,8,1,7,15,44,16,1,401,61,164,153,90,23,401,22,5,22.7,16,72.7,209,1008,417,10,7,4,9,6,209,22,0,0,0,15,11,4,15,15,19,0,0,0,43,14,11,56.0
Abdoulaye Doucouré,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,7,9,77.8,0,7,1,1,0,7,9,77.8,177,10,2,2,100.0,1,1,100.0,4,6,66.7,0,0.0,0.0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,1,5,5,3,2,13,1,0,0.0,1,100.0,7,36,15,1,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
Beto,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,1,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,4,1,1,0,3,0,4,0,0,,0,,2,18,11,1,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Dominic Calvert-Lewin,0,0,0,0,1,0,0,0,19,2,2,0,0.1,0.1,0.0,0,0,6,11,54.5,0,9,0,1,0,6,11,54.5,55,16,6,9,66.7,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,6,0,1,2,1,1,1,0,0,0,,0,0,0,0,2,4,0,0,19,0,3,12,4,1,19,1,0,0.0,1,100.0,9,36,7,0,0,0,2,2,15,2,0,0,0,2,1,1,0,2,1,0,0,0,2,5,2,71.4
Dwight McNeil,0,0,0,0,1,0,0,0,49,1,1,1,0.0,0.0,0.6,9,0,33,44,75.0,6,32,1,3,2,33,44,75.0,701,279,10,13,76.9,18,20,90.0,5,7,71.4,0,0.6,0.6,6,4,3,2,6,44,36,8,3,1,0,10,1,4,3,1,0,33,0,3,1,1,1,0,0,1,3,33.3,2,1,0,1,1,2,0,0,49,0,6,24,20,3,49,3,2,66.7,1,33.3,32,220,58,1,0,0,1,0,28,3,0,0,0,1,2,0,10,1,1,0,0,0,8,1,1,50.0
Harrison Armstrong,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,0,0,1,4,25.0,23,0,0,0,,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4,0,0,2,2,1,4,0,0,,0,,3,9,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Idrissa Gana Gueye,0,0,0,0,0,0,0,0,39,8,1,1,0.0,0.0,0.0,2,0,24,28,85.7,4,16,1,1,0,24,28,85.7,409,55,13,14,92.9,8,10,80.0,3,4,75.0,0,0.0,0.0,0,3,0,0,4,28,26,2,0,1,0,0,0,0,0,0,0,24,0,0,8,4,5,1,2,2,3,66.7,1,1,0,1,1,9,1,0,39,4,13,20,7,0,39,1,0,0.0,1,100.0,16,92,67,1,0,0,0,0,19,2,0,0,0,2,2,0,0,1,4,0,0,0,6,0,0,
Iliman Ndiaye,0,0,0,0,1,0,0,0,22,4,1,2,0.0,0.0,0.0,0,0,7,10,70.0,0,14,5,5,2,7,10,70.0,86,11,6,7,85.7,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,9,1,0,0,0,1,1,0,0,0,0,7,0,1,4,2,1,2,1,1,1,100.0,0,2,0,2,1,5,0,0,22,0,1,11,12,5,22,5,2,40.0,3,60.0,14,79,56,5,2,4,2,3,11,6,0,0,0,1,0,2,1,1,2,0,0,0,2,0,0,
Jack Harrison,0,0,0,0,2,0,0,0,11,0,1,0,0.5,0.5,0.0,0,0,3,7,42.9,1,9,1,1,0,3,7,42.9,38,19,2,5,40.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,11,0,2,4,5,2,11,1,0,0.0,1,100.0,9,35,17,1,1,0,0,0,8,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,
James Tarkowski,0,0,0,0,3,0,0,0,44,1,1,2,0.2,0.2,0.3,4,0,24,33,72.7,2,20,0,0,0,24,33,72.7,495,265,8,8,100.0,13,14,92.9,3,7,42.9,0,0.3,0.2,1,2,1,0,2,33,31,2,2,0,0,0,0,0,0,0,0,24,0,1,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,0,0,44,7,26,11,7,5,44,0,0,,0,,20,63,27,0,0,0,0,0,26,0,0,0,0,1,0,0,0,1,1,0,0,0,1,5,1,83.3
Jesper Lindstrøm,0,0,0,0,1,1,0,0,11,2,0,0,0.0,0.0,0.0,1,0,5,7,71.4,0,4,0,2,0,5,7,71.4,88,13,4,4,100.0,0,1,0.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,7,6,1,0,0,0,2,0,1,0,1,0,5,0,0,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,0,0,11,0,0,5,6,1,11,2,0,0.0,2,100.0,4,17,7,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,
