player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,1,1,9,5,3,0,655,10,7,11,2.5,1.8,1.1,16,4,476,574,82.9,42,317,20,12,4,476,574,82.9,8170,2729,211,238,88.7,225,252,89.3,30,61,49.2,1,1.1,1.2,7,30,10,3,42,574,526,46,15,0,3,21,14,10,5,3,0,476,2,6,10,9,3,5,2,4,11,36.4,7,11,2,9,7,17,12,1,655,57,202,295,162,35,654,12,4,33.3,7,58.3,317,1753,887,20,16,10,9,7,470,42,3,0,0,8,15,2,21,7,9,1,0,0,45,10,10,50.0
Alexis Mac Allister,0,0,0,0,0,0,0,0,57,2,1,5,0.0,0.0,0.1,3,0,41,48,85.4,4,23,3,1,0,41,48,85.4,659,163,21,25,84.0,19,20,95.0,1,1,100.0,0,0.1,0.2,1,5,1,1,4,48,47,1,1,0,0,1,0,0,0,0,0,41,0,1,2,1,1,1,0,1,3,33.3,2,5,0,5,1,3,0,0,57,2,11,36,11,3,57,1,0,0.0,1,100.0,23,75,31,3,2,1,0,1,38,4,0,0,0,1,1,0,1,1,1,0,0,0,7,0,3,0.0
Alisson,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,0,23,0,0,0,27,32,84.4,558,319,9,9,100.0,15,15,100.0,3,8,37.5,0,0.0,0.0,0,0,0,0,0,32,28,4,2,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,33,22,33,0,0,0,33,0,0,,0,,23,105,74,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrew Robertson,0,0,0,0,0,0,0,0,85,0,1,0,0.0,0.0,0.8,1,0,66,80,82.5,8,40,2,0,0,66,80,82.5,1201,385,26,28,92.9,34,38,89.5,5,12,41.7,0,0.8,0.6,1,4,2,1,8,80,64,16,1,0,0,9,7,8,4,2,0,66,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,85,1,16,39,30,4,85,0,0,,0,,40,204,131,2,3,0,1,0,58,4,0,0,0,0,1,0,9,1,0,0,0,0,6,0,0,
Cody Gakpo,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,8,0,1,1,7,9,77.8,86,3,5,5,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,9,9,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,3,7,2,10,1,1,100.0,0,0.0,8,33,12,0,0,0,0,0,11,3,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,100.0
Curtis Jones,0,0,0,0,1,1,0,0,14,0,0,2,0.1,0.1,0.0,1,0,4,7,57.1,1,7,0,0,0,4,7,57.1,68,14,2,2,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,1,0,1,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,14,0,3,6,5,1,14,0,0,,0,,7,30,8,0,0,0,2,0,10,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Diogo Jota,0,1,0,0,0,0,1,0,30,0,0,0,0.0,0.0,0.1,2,2,18,26,69.2,0,11,1,2,1,18,26,69.2,258,65,8,12,66.7,7,8,87.5,1,1,100.0,1,0.1,0.1,1,0,1,1,0,26,25,0,0,0,0,1,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,30,1,2,14,15,1,30,2,1,50.0,1,50.0,11,126,14,1,2,0,1,1,20,4,1,0,0,2,2,0,1,0,0,1,0,0,3,2,3,40.0
Dominik Szoboszlai,0,0,0,0,1,1,0,0,35,0,0,0,0.8,0.8,0.0,1,0,26,31,83.9,2,14,1,1,0,26,31,83.9,390,49,14,18,77.8,10,11,90.9,1,1,100.0,0,0.0,0.0,0,2,1,0,2,31,29,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,35,1,6,22,7,1,35,1,0,0.0,1,100.0,14,70,29,1,0,0,0,0,29,2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,
Ibrahima Konaté,1,0,0,0,2,1,1,0,74,0,2,1,0.2,0.2,0.0,0,0,59,67,88.1,2,39,0,0,0,59,67,88.1,1025,397,23,23,100.0,34,37,91.9,2,6,33.3,0,0.0,0.0,0,5,0,0,2,67,66,1,1,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,1,74,8,34,37,3,2,74,0,0,,0,,39,206,100,0,0,0,0,0,60,0,1,0,0,1,1,0,0,2,0,0,0,0,2,4,2,66.7
Joe Gomez,0,0,0,0,0,0,0,0,6,1,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,3,3,100.0,68,0,0,0,,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,1,0,6,1,2,3,1,0,6,0,0,,0,,2,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Luis Díaz,0,0,0,0,1,0,0,0,37,0,1,0,0.1,0.1,0.0,2,1,24,28,85.7,5,22,4,1,0,24,28,85.7,400,95,12,14,85.7,11,12,91.7,1,2,50.0,0,0.0,0.1,1,2,1,0,5,28,27,1,1,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,37,1,4,12,21,7,37,1,0,0.0,1,100.0,22,157,80,4,2,4,4,1,27,11,0,0,0,1,1,0,1,1,0,0,0,0,4,0,0,
Mohamed Salah,1,0,1,1,2,1,0,0,38,2,0,1,1.3,0.5,0.2,2,0,19,29,65.5,2,16,2,3,2,19,29,65.5,297,49,9,14,64.3,7,9,77.8,1,3,33.3,0,0.2,0.0,2,1,1,0,2,29,28,1,1,0,0,2,0,0,0,0,0,19,0,2,2,2,0,0,2,1,1,100.0,0,1,0,1,0,2,1,0,38,2,6,11,22,11,37,3,2,66.7,1,33.3,16,117,36,2,0,4,1,3,29,11,0,0,0,1,1,0,2,0,2,0,0,0,5,0,0,
Ryan Gravenberch,0,0,0,0,0,0,0,0,70,3,0,0,0.0,0.0,0.0,2,1,57,62,91.9,6,36,3,1,0,57,62,91.9,862,205,28,32,87.5,26,27,96.3,1,1,100.0,0,0.0,0.0,0,4,1,0,6,62,61,1,1,0,0,0,0,0,0,0,0,57,0,0,3,3,1,2,0,0,0,,0,0,0,0,0,3,0,0,70,0,13,40,18,1,70,1,0,0.0,0,0.0,36,186,89,3,2,0,0,0,53,0,0,0,0,0,4,0,0,0,3,0,0,0,5,1,0,100.0
Trent Alexander-Arnold,0,0,0,0,2,1,1,0,73,2,1,0,0.1,0.1,0.0,1,0,46,66,69.7,6,28,4,2,0,46,66,69.7,848,293,22,23,95.7,18,27,66.7,6,13,46.2,0,0.0,0.1,1,3,1,0,6,66,53,13,4,0,1,5,7,2,1,1,0,46,0,1,2,2,1,1,0,1,1,100.0,0,0,0,0,1,3,0,0,73,4,23,30,20,2,73,2,0,0.0,2,100.0,28,168,115,4,4,1,0,1,46,2,1,0,0,1,0,0,5,1,2,0,0,0,7,1,0,100.0
Virgil van Dijk,0,0,0,0,0,0,0,0,93,0,1,1,0.0,0.0,0.0,1,0,79,86,91.9,6,48,0,0,0,79,86,91.9,1450,692,32,33,97.0,38,39,97.4,7,11,63.6,0,0.0,0.0,0,4,0,0,6,86,79,6,3,0,1,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,5,0,93,14,49,42,2,0,93,0,0,,0,,48,266,168,0,1,0,0,0,65,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,33.3
